"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.05,0,0,0,0.05,"Rising",1,0.561166132264529,0.144079344234139,1.64650206682671,0.646502066826709,"Low (0-0.25)"
0.1,0,0,0,0.1,"Rising",1,0.619276553106213,0.286136259586175,2.70869396087426,1.70869396087426,"Low (0-0.25)"
0.15,0,0,0,0.15,"Rising",1,0.671375551102204,0.424392804652986,4.44997739316141,3.44997739316141,"Low (0-0.25)"
0.2,0,0,0,0.2,"Rising",1,0.715459318637275,0.557251858794971,7.29407908529315,6.29407908529315,"Low (0-0.25)"
0.25,0,0,0,0.25,"Rising",1,0.753531663326653,0.683294212837956,11.9115633193985,10.9115633193985,"Low (0-0.25)"
0.3,0,0,0,0.3,"Rising",1,0.78358877755511,0.801168903367652,19.3344642257936,18.3344642257936,"Low (0-0.25)"
0.35,0,0,0,0.35,"Rising",1,0.807634468937876,0.90937041571906,31.0758078677517,30.0758078677517,"Low (0-0.25)"
0.4,0,0,0,0.4,"Rising",1,0.82566873747495,1.00591155527334,49.1648318925275,48.1648318925275,"Low (0-0.25)"
0.45,0,0,0,0.45,"Rising",1,0.839695390781563,1.08793792613029,75.8683612829491,74.8683612829491,"Low (0-0.25)"
0.5,0,0,0,0.5,"Rising",1,0.849714428857716,1.15142960012298,112.672010566773,111.672010566773,"Low (0-0.25)"
0.05,0.05,0,1,0,"Uniform",1e-04,0.499048096192385,0.000289441438244409,0.99900084940039,-0.000999150599610329,"High (0.75-1)"
0.1,0.05,0,0.5,0.05,"Rising",1,0.561166132264529,0.143703299727653,1.64436944861959,0.644369448619586,"Med-Low (0.25-0.5)"
0.15,0.05,0,0.333333333333333,0.1,"Rising",1,0.619276553106213,0.285635793042832,2.70405388602243,1.70405388602243,"Med-Low (0.25-0.5)"
0.2,0.05,0,0.25,0.15,"Rising",1,0.671375551102204,0.423711491486083,4.4397025452329,3.4397025452329,"Low (0-0.25)"
0.25,0.05,0,0.2,0.2,"Rising",1,0.715459318637275,0.556305235679525,7.27098160351805,6.27098160351805,"Low (0-0.25)"
0.3,0.05,0,0.166666666666667,0.25,"Rising",1,0.753531663326653,0.681955989818157,11.8590476269515,10.8590476269515,"Low (0-0.25)"
0.35,0.05,0,0.142857142857143,0.3,"Rising",1,0.78358877755511,0.799251731941526,19.214329655121,18.214329655121,"Low (0-0.25)"
0.4,0.05,0,0.125,0.35,"Rising",1,0.805630661322645,0.906601443258646,30.8013681357046,29.8013681357046,"Low (0-0.25)"
0.45,0.05,0,0.111111111111111,0.4,"Rising",1,0.82566873747495,1.00190734390192,48.5454781302018,47.5454781302018,"Low (0-0.25)"
0.5,0.05,0,0.1,0.45,"Rising",1,0.839695390781563,1.08219382180146,74.5087985866659,73.5087985866659,"Low (0-0.25)"
0.1,0.1,0,1,0,"Uniform",1e-04,0.499048096192385,0.000578738268034973,0.998003195605604,-0.00199680439439634,"High (0.75-1)"
0.15,0.1,0,0.666666666666667,0.05,"Rising",1,0.561166132264529,0.143327515068145,1.64224097132754,0.642240971327545,"Med-High (0.5-0.75)"
0.2,0.1,0,0.5,0.1,"Rising",1,0.619276553106213,0.285135811715232,2.699425724312,1.699425724312,"Med-Low (0.25-0.5)"
0.25,0.1,0,0.4,0.15,"Rising",1,0.671375551102204,0.423031116949782,4.42946324370287,3.42946324370287,"Med-Low (0.25-0.5)"
0.3,0.1,0,0.333333333333333,0.2,"Rising",1,0.715459318637275,0.555360485859632,7.24799366155321,6.24799366155321,"Med-Low (0.25-0.5)"
0.35,0.1,0,0.285714285714286,0.25,"Rising",1,0.751527855711423,0.680621604014396,11.8068784723932,10.8068784723932,"Med-Low (0.25-0.5)"
0.4,0.1,0,0.25,0.3,"Rising",1,0.78158496993988,0.797342575467597,19.095311310694,18.095311310694,"Low (0-0.25)"
0.45,0.1,0,0.222222222222222,0.35,"Rising",1,0.805630661322645,0.903849400255921,30.5305479310126,29.5305479310126,"Low (0-0.25)"
0.5,0.1,0,0.2,0.4,"Rising",1,0.82366492985972,0.997938897508769,47.9377545940086,46.9377545940086,"Low (0-0.25)"
0.15,0.15,0,1,0,"Uniform",1e-04,0.499048096192385,0.000867890652043131,0.99700703562731,-0.00299296437268993,"High (0.75-1)"
0.2,0.15,0,0.75,0.05,"Rising",1,0.561166132264529,0.142951989876886,1.6401166242368,0.640116624236804,"High (0.75-1)"
0.25,0.15,0,0.6,0.1,"Rising",1,0.619276553106213,0.284636314649737,2.69480943499566,1.69480943499566,"Med-High (0.5-0.75)"
0.3,0.15,0,0.5,0.15,"Rising",1,0.671375551102204,0.422351678516684,4.41925932479274,3.41925932479274,"Med-High (0.5-0.75)"
0.35,0.15,0,0.428571428571429,0.2,"Rising",1,0.715459318637275,0.554417602323323,7.22511456783164,6.22511456783164,"Med-Low (0.25-0.5)"
0.4,0.15,0,0.375,0.25,"Rising",1,0.751527855711423,0.67929103520701,11.7550528134497,10.7550528134497,"Med-Low (0.25-0.5)"
0.45,0.15,0,0.333333333333333,0.3,"Rising",1,0.78158496993988,0.795441373899432,18.9773954066799,17.9773954066799,"Med-Low (0.25-0.5)"
0.5,0.15,0,0.3,0.35,"Rising",1,0.805630661322645,0.901114105238965,30.2632838826843,29.2632838826843,"Med-Low (0.25-0.5)"
0.2,0.2,0,1,0,"Uniform",1e-04,0.499048096192385,0.00115689875266942,0.996012366484635,-0.00398763351536468,"High (0.75-1)"
0.25,0.2,0,0.8,0.05,"Rising",1,0.561166132264529,0.142576723776045,1.63799639666821,0.637996396668208,"High (0.75-1)"
0.3,0.2,0,0.666666666666667,0.1,"Rising",1,0.619276553106213,0.284137300895564,2.69020497750017,1.69020497750017,"Med-High (0.5-0.75)"
