#OTU ID	BRA10522F	BRA10523F	BRA11061F	BRA11062F	BRA11071F	BRA11072F	BRA11081F	BRA11082F	BRA11481F	BRA11482F	BRA11623F	BRA11625F	BRA11631F	BRA11673F	BRA11674F	BRA11681F	BRA11682F	BRA11711F	BRA11712F	BRA11723F	BRA11731F	BRA11732F	BRA11741F	BRA11742F	BRA11743F	BRA11751F	BRA11821F	BRA11841F	BRA11842F	BRA11851F	BRA11852F	BRA11853F	BRA11861F	BRA11862F	BRA11863F	BRA11864F	BRA11881F	BRA11883F	BRA11884F	BRA11993F	BRA11994F	BRA12002F	BRA12012F	BRA12031F	BRA12032F	BRA12051F	BRA12053F	BRA12061F	BRA12071F	BRA12111F	BRA12332F	BRA12361F	BRA12543F	BRA12563F	BRA12571F	BRA12573F	BRA12581F	BRA12582F	BRA12583F	BRA12641F	BRA12651F	BRA12662F	BRA12691F	BRA12791F	BRA12801F	BRA12813F	BRA12821F	BRA12841F	BRA12851F	BRA12852F	BRA12881F	BRA12882F	BRA12883F	BRA12891F	BRA12892F	BRA12911F	BRA4611F	BRA4612F	BRA4613F	BRA4614F	BRA4632F	BRA4635F	BRA5171F	BRA5233F	BRA5421F	BRA5422F	BRA9742F	BRA9743F	BRA9744F	BRA9751F	BRA9761F	BRA9771F	BRA9772F	BRA9773F	BRA9783F	BRA9792F	BRA9793F	BRA9811F	BRA9812F	BRA9813F	BRA9841F	BRA9852F
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae	166	237	120	264	248	25	25	1	55	5	144	60	64	113	23	116	82	114	140	96	205	145	54	241	293	311	144	237	39	279	95	62	43	238	142	311	30	12	91	85	27	79	102	303	102	352	165	103	2033	314	646	260	138	229	314	586	1243	307	69	422	156	83	92	46	3	2	23	1076	9886	5523	1268	4102	1818	3635	1518	4703	16	0	10	1	108	57	248	49	95	532	18	60	75	220	9	51	307	119	346	137	12	13	53	19	632	228
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae	249	149	315	1118	435	172	11	47	571	1077	174	3139	1759	186	99	698	28315	182	320	70	247	265	14	23	38	103	970	172	65	29956	397	577	0	418	49	205	712	30742	503	107	502	1438	46	431	2345	223	208	50	76	126	1584	639	242	164	100	198	172	294	145	256	140	89	2568	297	1799	35	39	9	86	202	2466	7560	2965	1101	1582	1377	2375	688	111	120	175	219	781	142	107	439	2151	1877	812	46	347	138	332	474	5	644	344	366	980	381	411	374
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__Oligoflexaceae	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	6	9	1	0	0	0	0	0	0	0	0	0	0	0	3	0	16	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	27	0	0	0	7	9	3	0	0	0	0	0	0	0	0	0	39	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae	32	14	18	14	33	3	2	1	2	0	67	50	75	38	54	339	195	464	1032	206	26	24	266	107	47	622	10	219	165	187	192	877	1	486	127	65	3	1	2	10	2	12	2	14	41	6	5	2	9	11	0	0	2	40	47	23	13	19	4	31	0	185	11	1	2	0	25	0	59	31	12	9	31	18	4	25	1	4	10	2	49	45	215	777	61	6	126	60	53	0	6	40	5	7	1	13	10	6	17	71	37	16
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae	72	64	36	43	44	4	1	0	17	2242	114	200	27	61	5	42	71	18	11	37	27	39	42	64	46	5	27	0	1	2	9	19	3	25	11	182	5	2	13	31	10	12	17	7	105	20	114	19	22	3	29	14	81	18	8	8	9	5	23	1	22	139	4	546	3	0	812	23324	38	37	18	83	51	9	8	42	0	0	14	3	6	2	238	8	1	5	58	54	164	5	54	25	42	325	27	173	39	47	181	167	322	31
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Myxococcaceae	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__EF100-94H03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__	6	0	14	0	0	6	0	0	12	0	101	125	36	11	53	10	0	0	13	9	0	0	3	0	0	3	2	0	0	35	0	0	0	0	3	0	1	1	0	13	31	1	0	1	0	7	21	39	2	67	15	7	0	0	0	0	0	5	0	1	1	5	2	4	0	1	9	0	28	29	67	18	49	31	27	20	78	31	2	15	18	11	132	10	0	2	160	215	59	0	8	13	2	4	0	2	37	13	133	50	10	1
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	1	3	36	67	76	1	45	20	4	40	5	10	131	74	39	99	79	2045	1979	227	55	44	0	4	16	380	19	527	54	54	166	270	9	113	79	7	0	5	7	228	120	0	16	30	3	25	1	9	12	237	2	4	0	52	20	98	29	15	74	12	2	4	29	4	29	10	32	6	64	48	206	50	188	143	164	247	9	13	20	14	23	17	420	84	6	13	194	142	247	0	4	3	4	5	0	4	28	1	20	9	5	27
D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae	2967	14899	323	265	17920	25750	19136	24086	20543	220	25986	11208	3841	433	457	32774	5021	823	967	908	17467	28059	22604	21100	20589	11489	435	14568	24276	298	51	434	25	812	599	619	27835	18	181	124	102	16149	391	39217	18	7105	2934	513	12	4770	1533	3189	25403	13748	10741	18265	522	1519	573	26	573	680	554	43654	274	25	29718	2733	8676	6506	11413	18140	10941	20316	15733	7662	9076	8653	2316	20759	2938	13185	15271	23336	4492	2968	51055	22184	26480	42301	20719	32193	25611	49109	643	17197	40864	43376	31563	42094	37556	21832
