#OTU ID	BRA10151H	BRA10152H	BRA10521H	BRA10522H	BRA10523H	BRA10972H	BRA10974H	BRA11061H	BRA11062H	BRA11071H	BRA11072H	BRA11081H	BRA11082H	BRA11481H	BRA11623H	BRA11625H	BRA11631H	BRA11632H	BRA11671H	BRA11673H	BRA11674H	BRA11681H	BRA11682H	BRA11711H	BRA11712H	BRA11713H	BRA11721H	BRA11722H	BRA11723H	BRA11731H	BRA11732H	BRA11733H	BRA11741H	BRA11742H	BRA11743H	BRA11751H	BRA11752H	BRA11841H	BRA11842H	BRA11843H	BRA11851H	BRA11852H	BRA11853H	BRA11854H	BRA11861H	BRA11862H	BRA11863H	BRA11864H	BRA11872H	BRA11873H	BRA11874H	BRA11881H	BRA11883H	BRA11884H	BRA11971H	BRA11972H	BRA11973H	BRA11981H	BRA11993H	BRA11994H	BRA12001H	BRA12002H	BRA12011H	BRA12012H	BRA12013H	BRA12014H	BRA12021H	BRA12022H	BRA12023H	BRA12031H	BRA12032H	BRA12041H	BRA12042H	BRA12043H	BRA12051H	BRA12052H	BRA12053H	BRA12061H	BRA12062H	BRA12071H	BRA12111H	BRA12331H	BRA12332H	BRA12351H	BRA12353H	BRA12361H	BRA12362H	BRA12371H	BRA12381H	BRA12392H	BRA12531H	BRA12532H	BRA12533H	BRA12541H	BRA12542H	BRA12551H	BRA12552H	BRA12553H	BRA12571H	BRA12572H	BRA12573H	BRA12581H	BRA12582H	BRA12583H	BRA12591H	BRA12601H	BRA12602H	BRA12632H	BRA12641H	BRA12651H	BRA12661H	BRA12662H	BRA12671H	BRA12672H	BRA12681H	BRA12691H	BRA12791H	BRA12792H	BRA12801H	BRA12802H	BRA12811H	BRA12812H	BRA12813H	BRA12821H	BRA12822H	BRA12831H	BRA12832H	BRA12841H	BRA12851H	BRA12852H	BRA12861H	BRA12862H	BRA12871H	BRA12881H	BRA12882H	BRA12883H	BRA12891H	BRA12892H	BRA12901H	BRA12911H	BRA12913H	BRA12921H	BRA4611H	BRA4612H	BRA4613H	BRA4614H	BRA4631H	BRA4632H	BRA4635H	BRA4636H	BRA4751H	BRA4752H	BRA4782H	BRA4952H	BRA5182H	BRA5211H	BRA5212H	BRA5221H	BRA5222H	BRA5223H	BRA5224H	BRA5232H	BRA5233H	BRA5421H	BRA5422H	BRA5431H	BRA5433H	BRA5441H	BRA5442H	BRA5451H	BRA5452H	BRA5601H	BRA5621H	BRA5623H	BRA5672H	BRA5673H	BRA8221H	BRA8251H	BRA8252H	BRA8253H	BRA8272H	BRA8273H	BRA9742H	BRA9743H	BRA9744H	BRA9761H	BRA9762H	BRA9771H	BRA9772H	BRA9773H	BRA9781H	BRA9782H	BRA9783H	BRA9791H	BRA9792H	BRA9793H	BRA9811H	BRA9812H	BRA9813H	BRA9841H	BRA9851H	BRA9852H	BRA9855H	BRA9861H	BRA9872H	BRA9873H
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae	2007	166	4840	3184	8655	30295	18075	206	13198	42328	5513	62	201	9972	812	415	71	193	222	211	1000	2975	846	13897	13555	8173	1430	11132	1832	6425	14737	1040	573	894	312	9015	4382	17929	1122	12353	295	271	127	6582	3731	11672	675	325	10523	14556	25164	23257	148	1977	8592	14168	744	190	407	399	10339	13060	15854	7871	8246	20151	155	181	148	795	432	932	305	36715	1769	5867	2351	5229	2112	5757	170	8045	5467	770	457	275	30	6682	9652	305	211	18319	503	1289	425	1383	10323	4707	2698	4649	5654	2196	224	3946	3667	321	20	105	6294	3971	5017	15453	6308	2172	1893	425	97	397	510	348	463	473	549	139	1903	14751	16697	5082	9703	29247	6947	11133	3772	6871	2179	4933	5034	6162	1750	3320	201	180	512	57	24	3664	12	168	77	234	132	465	145	15	677	120	159	740	462	1671	1657	649	162	6020	6815	14265	6923	15370	19359	7266	18957	495	4943	2003	7251	122	7	7662	14101	19642	6	898	50	283	49	22	1	90	134	238	847	304	288	53	30	61	110	139	28	355	1434	1239	108	12	264	1164
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae	12542	1464	4060	11114	4995	234	1248	22725	597	1945	221	468	923	2313	1904	4993	8500	14033	814	3944	260	3536	14194	145	1107	455	388	249	212	406	450	86	42	227	44	196	633	199	7541	514	29227	6519	1570	268	906	311	403	37	266	284	3	512	4350	3610	2423	1607	1750	12742	45	12312	1368	760	4312	837	752	314	6874	9601	2702	1184	23515	818	703	558	2460	1807	2360	204	298	997	1705	3226	6529	6375	2317	552	87	13444	420	275	9631	308	2652	1560	311	5748	2656	4566	899	512	4077	504	87	2	2179	8774	13413	78	902	2320	200	451	1949	504	15771	6301	1911	1023	27593	1295	557	1390	1470	1096	368	624	833	722	70	2183	1884	1098	1725	24684	10262	16387	1157	4891	17784	3042	682	576	4357	19804	11468	7590	9081	16381	24005	3478	2703	1148	1006	263	293	19789	927	1610	3358	13875	1594	1137	3859	281	377	487	200	1418	1634	643	3812	2193	1245	8246	1836	724	25	693	2735	2637	40	368	13266	2200	5593	1705	759	1316	2214	728	1902	1158	956	2060	7317	6414	4497	1443	11688	7380	440	4984	7028	4907	2540	345
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__Oligoflexaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	28	0	3	8	283	3	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	21	0	0	0	11	0	10	0	15	0	0	0	580	11	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	14	0	0	0	3	0	0	0	0	0	0	3	0	0	0	7	2	4	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	7	16	23	3	5	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae	1692	2806	12	9	103	18	329	6	2	5	20	56	17	11	38	63	51	20	678	97	91	209	111	21	256	42	54	121	54	122	43	28	442	60	53	286	956	87	55	180	374	192	242	36	174	92	582	32	209	79	157	4	8	24	58	0	0	3	75	22	29	804	8	9	1	24	2	6	3	29	7	12	9	114	7	25	4	18	8	6	3	3	0	2	9	0	4	163	0	7	5	7	18	31	26	25	1	5	3235	80	358	25	17	0	27	81	10	0	28	11	4	1	0	2	4	0	0	1	48	1	4	1	8	4	0	0	4	2	119	46	22	25	43	18	12	6	48	9	5	1	30	1	10	13	26	20	104	25	15	685	48	21	87	11	65	4	60	188	1027	134	126	83	166	1651	3	36	103	49	8	62	174	79	8	154	371	9	6	543	48	37	443	233	42	29	53	4	4	18	12	22	76	117	72	2	27	174	37	16	9	4	91	43	5	94	84	9
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae	8141	5233	1	123	234	3	129	98	7	8	11	8	34	292	120	370	32	24	11	95	31	576	56	20	55	36	43	5035	375	113	6	78	80	359	44	25	3557	15	5	26	7	21	11	20	46	114	37	22	1242	285	184	0	131	14	32	15	50	21	0	306	698	2162	90	318	19	44	1714	273	33	88	225	28592	88	203	60	333	10	36	28	168	0	124	91	19	4	6	2	7	0	2	8	3	29	15	12	437	37	361	42	3	5	56	4	0	13	39	0	17	24	92	20	9	3	10	33	9	0	10	7	5	15	2	3	0	221	190	181	207	28	659	38	36	16	76	25	41	8	70	20	14	34	25	0	0	0	0	1	26	14	0	35	26	16	0	8	407	240	2154	1494	4538	1945	105	71	4	0	26	21	244	1872	45	175	11	175	33	94	188	6	36	42	69	131	78	297	83	130	15	149	18	374	121	135	666	73	544	1337	102	71	291	3725	12	92	96	269	0	251	237
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Myxococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__EF100-94H03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__	0	4	3	3	11	0	20	18	3	4	123	1	15	23	20	32	19	40	30	25	37	24	7	6	119	18	3	26	64	42	13	6	3	0	0	3	0	0	0	0	29	43	6	6	53	1	1	0	1	2	4	0	20	16	7	7	26	2	54	86	62	0	20	81	3	5	13	34	38	3	2	37	2	3	178	1838	2592	27	38	8	50	16	23	27	79	2	2	10	7	3	9	13	25	23	4	11	4	2	31	4	1	0	0	1	35	37	93	0	22	9	3	9	28	19	19	7	2	7	34	0	5	18	9	15	8	8	2	0	56	49	15	7	40	31	21	17	21	58	19	11	25	16	45	72	22	756	268	18	3	30	6	7	3	66	8	134	46	53	33	37	68	31	13	1	15	4	11	8	4	5	10	6	8	10	233	0	0	8	0	4	2	6	454	43	115	124	8	54	7	22	14	9	170	3	44	97	28	46	46	0	82	50	8	181	90	3
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	12	1145	10	24	51	0	11	11	30	3	70	152	287	23	8	73	81	325	2499	261	125	88	550	20	387	357	165	308	248	8319	28	23	7	66	7	124	29	69	55	354	301	1042	821	94	2268	211	166	45	51	47	25	0	17	1102	55	282	51	2945	1155	123	133	8	330	128	4527	49	134	428	182	34	47	47	60	173	161	191	23	163	132	131	1310	13	12	3	36	41	3286	128	111	14	441	179	65	71	37	45	8	13	4888	531	292	8	8	0	54	127	240	0	35	150	14	34	0	20	451	63	1141	1045	74	673	135	78	98	1458	947	45	110	188	461	246	28	20	49	124	52	17	158	692	101	45	992	36	169	392	251	578	655	73	345	335	32	9	301	383	41	393	238	50	30	102	556	220	911	15686	4	24	87	36	37	104	36	176	77	115	164	0	0	11	27	35	50	9	141	80	98	300	75	428	12	116	50	25	1812	24	119	516	115	114	5	6	36	357	92	248	12	9
D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae	797	14640	8431	19396	9711	229	1300	219	69	138	354	740	2201	6536	19011	12084	4853	4499	469	2540	453	5464	2329	188	221	747	488	349	389	384	754	216	15705	23729	17058	13642	8530	2007	181	471	186	6	159	325	223	5	441	44	38	720	274	3911	243	295	372	41	57	623	8851	5438	262	1730	607	814	224	1775	3611	22367	4152	25809	181	296	26	170	4275	1806	80	1652	1176	1496	627	1524	3144	790	10318	10258	2947	5400	918	2583	7405	1303	13326	28548	30092	3112	23979	3222	6257	750	271	2669	499	3	18171	1521	51	1696	10950	18990	5488	216	44	6	1464	293	498	3589	745	154	758	540	340	459	312	2383	320	142	8576	4066	5834	8386	22072	8003	13695	13778	23643	7563	9988	7321	215	7	2209	5089	2129	3817	1840	2602	1685	1027	25742	31053	21765	23811	33577	2555	2033	1794	11892	1592	1655	31798	14131	296	1647	2530	22501	5747	2328	5066	4025	7710	1813	2633	1386	723	45222	1671	998	1010	15486	20618	22073	13702	13520	13050	29831	7897	34725	3784	30969	34260	11072	13311	39764	32067	46072	56193	24761	9090	3665	7278	6703	8593	13049	26230
