#OTU ID	BRA10151M	BRA10522M	BRA10523M	BRA10972M	BRA11062M	BRA11071M	BRA11072M	BRA11081M	BRA11082M	BRA11481M	BRA11623M	BRA11625M	BRA11631M	BRA11673M	BRA11674M	BRA11681M	BRA11682M	BRA11711M	BRA11712M	BRA11713M	BRA11721M	BRA11723M	BRA11731M	BRA11741M	BRA11742M	BRA11743M	BRA11751M	BRA11752M	BRA11821M	BRA11823M	BRA11841M	BRA11851M	BRA11852M	BRA11854M	BRA11861M	BRA11862M	BRA11863M	BRA11872M	BRA11881M	BRA11883M	BRA11972M	BRA11981M	BRA12001M	BRA12002M	BRA12011M	BRA12012M	BRA12013M	BRA12021M	BRA12022M	BRA12023M	BRA12032M	BRA12042M	BRA12043M	BRA12051M	BRA12052M	BRA12062M	BRA12111M	BRA12331M	BRA12332M	BRA12351M	BRA12352M	BRA12353M	BRA12541M	BRA12542M	BRA12551M	BRA12552M	BRA12553M	BRA12562M	BRA12563M	BRA12572M	BRA12573M	BRA12582M	BRA12591M	BRA12601M	BRA12602M	BRA12632M	BRA12641M	BRA12651M	BRA12661M	BRA12662M	BRA12673M	BRA12681M	BRA12691M	BRA12792M	BRA12803M	BRA12821M	BRA12831M	BRA12832M	BRA12851M	BRA12852M	BRA12862M	BRA12871M	BRA12883M	BRA12891M	BRA12912M	BRA12922M	BRA4611M	BRA4612M	BRA4631M	BRA4632M	BRA4752M	BRA4771M	BRA5182M	BRA5221M	BRA5222M	BRA5231M	BRA5601M	BRA5624M	BRA5671M	BRA5672M	BRA8221M	BRA8271M	BRA8272M	BRA9742M	BRA9743M	BRA9744M	BRA9751M	BRA9761M	BRA9762M	BRA9771M	BRA9772M	BRA9773M	BRA9783M	BRA9791M	BRA9792M	BRA9793M	BRA9811M	BRA9812M	BRA9813M	BRA9841M	BRA9852M	BRA9872M	BRA9873M
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae	39	527	1032	18477	127	10616	758	202	20	254	266	258	54	49	491	455	8	379	28751	907	272	3637	10988	354	151	156	249	189	29359	1751	11965	105	309	16110	765	344	187	10703	101	91	1090	30	151	355	243	2146	345	26	36	68	64	291	209	669	1714	4	102	3187	307	247	744	158	153	53	159	38	609	1679	174	306	3983	367	4401	256	131	183	602	107	164	350	290	19	83	8	17	17	1845	9954	23927	14841	1544	6095	509	5369	136	5	168	11	79	99	667	74	153	226	408	98	178	33	32	138	98	259	141	16	66	30	335	1	63	14	111	76	281	77	27	38	30	125	25	122	84	343	244
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae	4972	1465	15629	221	697	522	67	299	834	534	1771	1094	6270	358	73	1439	19	1036	948	238	9	19	3225	11	169	150	144	50	18	371	893	7137	2286	204	473	69	8	410	19293	28271	852	13832	251	19619	179	733	696	3431	4921	1996	414	0	336	5269	3000	10	468	2477	1868	3377	9364	1402	378	603	1128	17	609	503	88	702	239	233	316	147	31	324	42	26	48	157	192	1004	29194	317	1467	2500	535	6	39	569	1310	728	10297	371	2468	13008	19940	206	110	1068	1667	26236	4541	803	946	1111	298	114	561	576	94	308	36	3667	1022	445	522	316	221	1071	271	1799	288	3487	3215	986	1334	893	2316	639	1981	1383	1023
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__Oligoflexaceae	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	11	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	3	21	0	0	0	0	0	0	0	0	0	15	0	1	0	7	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae	161	111	147	68	25	3	4	7	12	43	12	337	31	350	30	44	237	164	162	90	29	25	53	96	144	90	397	1166	176	293	1732	2347	463	86	294	227	7	21	5	197	6	50	7	7	7	43	2	14	4	13	2	0	11	1	21	0	0	4	0	0	0	0	0	9	23	0	47	14	50	17	33	179	73	0	0	36	0	0	108	9	12	0	24	4	24	24	10	1	12	59	19	9	12	1	25	0	30	14	30	5	49	5	11	38	50	30	140	17	17	103	40	55	31	17	57	125	37	0	5	1	9	26	85	6	47	23	11	41	9	3	3	180	117
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae	249	25	197	15	0	138	0	17	0	445	42	348	36	4	4	25	0	12	16	9	43	22	52	23	67	47	72	9	26	43	352	9	51	12	328	54	23	13	3	5	29	11	25	9	7	37	37	259	0	14	37	6	14	22	76	0	10	71	10	8	32	1	32	3	37	11	40	21	5	19	14	11	25	26	8	162	0	5	5	74	10	85	5	141	13	22	59	99	48	14	46	31	41	17	39	9	1	8	28	19	28	16	41	129	213	95	114	29	16	98	16	38	4	35	68	75	36	3	20	31	27	2	58	45	83	68	191	203	156	2	5	330	521
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Myxococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__EF100-94H03	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__	0	2	2	1	19	0	5	5	2	2	98	6	11	7	0	133	0	20	11	10	0	0	1	0	0	1	0	0	0	13	0	20	0	0	0	0	0	0	2	8	6	2	0	0	2	61	1	23	3	12	0	0	19	98	26	2	12	11	23	13	164	2	3	8	2	0	3	12	0	0	2	3	5	0	1	5	0	0	0	2	9	0	15	1	9	33	0	0	4	16	13	7	47	4	1	3	7	1	3	16	12	11	6	6	7	104	7	21	4	3	7	1	2	122	223	56	6	6	6	6	16	17	4	6	87	360	24	30	47	10	3	8	1
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae	0	44	67	0	9	4	2	202	29	3	13	62	62	2371	22	60	581	376	307	118	24	41	55	9	2	116	303	15	186	122	331	69	472	61	265	323	14	19	6	26	25	30	3	22	73	123	171	180	1331	45	4	0	17	10	11	2	377	8	0	5	46	12	65	34	24	1	75	27	51	6	26	88	53	1	5	57	21	0	71	28	8	69	12	24	26	50	2	2	9	59	13	3	37	22	38	3	37	1	0	48	71	20	17	209	32	244	16	6	23	3	1	11	0	15	142	75	26	5	4	9	19	0	12	4	191	337	47	15	27	3	11	9	18
D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae	6607	31761	21752	327	116	2950	439	5633	17905	2699	21387	12027	5852	333	332	21908	133	1036	582	487	72	858	978	24123	14853	7538	4132	10838	2808	885	2802	133	493	320	43	334	200	377	11370	372	349	157	313	6202	165	26422	321	13277	15343	19938	259	1	272	24913	633	2893	2681	16265	2511	897	2859	19843	23222	20819	4628	141	27118	1275	1490	35218	13063	239	2371	540	195	1324	72	35	18	1179	312	1391	519	23556	579	10763	3884	59	18330	1293	6064	32971	19289	29028	3956	19	845	1278	1729	9997	16134	13408	7489	2310	4202	5940	16734	27965	20339	5230	1956	16725	24480	37560	15966	55170	18643	30015	26110	26806	40133	12761	9409	21657	41781	31713	51178	33808	26109	30081	29082	29010	32182
