sample-id	species	gutregion
BRA10151H	Chasmagnathus_convexus	H
BRA10151M	Chasmagnathus_convexus	M
BRA10152H	Chasmagnathus_convexus	H
BRA10521H	Parasesarma_ungulatum	H
BRA10522F	Parasesarma_ungulatum	F
BRA10522H	Parasesarma_ungulatum	H
BRA10522M	Parasesarma_ungulatum	M
BRA10523F	Parasesarma_ungulatum	F
BRA10523H	Parasesarma_ungulatum	H
BRA10523M	Parasesarma_ungulatum	M
BRA10972H	Macrophthalmus_tomentosus	H
BRA10972M	Macrophthalmus_tomentosus	M
BRA10974H	Macrophthalmus_tomentosus	H
BRA11061F	Gelasimus_borealis	F
BRA11061H	Gelasimus_borealis	H
BRA11062F	Gelasimus_borealis	F
BRA11062H	Gelasimus_borealis	H
BRA11062M	Gelasimus_borealis	M
BRA11071F	Paraleptuca_splendida	F
BRA11071H	Paraleptuca_splendida	H
BRA11071M	Paraleptuca_splendida	M
BRA11072F	Paraleptuca_splendida	F
BRA11072H	Paraleptuca_splendida	H
BRA11072M	Paraleptuca_splendida	M
BRA11081F	Mictyris_brevidactylus	F
BRA11081H	Mictyris_brevidactylus	H
BRA11081M	Mictyris_brevidactylus	M
BRA11082F	Mictyris_brevidactylus	F
BRA11082H	Mictyris_brevidactylus	H
BRA11082M	Mictyris_brevidactylus	M
BRA11481F	Parasesarma_affine	F
BRA11481H	Parasesarma_affine	H
BRA11481M	Parasesarma_affine	M
BRA11482F	Parasesarma_affine	F
BRA11623F	Parasesarma_pictum	F
BRA11623H	Parasesarma_pictum	H
BRA11623M	Parasesarma_pictum	M
BRA11625F	Parasesarma_pictum	F
BRA11625H	Parasesarma_pictum	H
BRA11625M	Parasesarma_pictum	M
BRA11631F	Parasesarma_bidens	F
BRA11631H	Parasesarma_bidens	H
BRA11631M	Parasesarma_bidens	M
BRA11632H	Parasesarma_bidens	H
BRA11671H	Thalamita_danae	H
BRA11673F	Thalamita_danae	F
BRA11673H	Thalamita_danae	H
BRA11673M	Thalamita_danae	M
BRA11674F	Thalamita_danae	F
BRA11674H	Thalamita_danae	H
BRA11674M	Thalamita_danae	M
BRA11681F	Hemigrapsus_penicillatus	F
BRA11681H	Hemigrapsus_penicillatus	H
BRA11681M	Hemigrapsus_penicillatus	M
BRA11682F	Hemigrapsus_penicillatus	F
BRA11682H	Hemigrapsus_penicillatus	H
BRA11682M	Hemigrapsus_penicillatus	M
BRA11711F	Gelasimus_borealis	F
BRA11711H	Gelasimus_borealis	H
BRA11711M	Gelasimus_borealis	M
BRA11712F	Gelasimus_borealis	F
BRA11712H	Gelasimus_borealis	H
BRA11712M	Gelasimus_borealis	M
BRA11713H	Gelasimus_borealis	H
BRA11713M	Gelasimus_borealis	M
BRA11721H	Austruca_lactea	H
BRA11721M	Austruca_lactea	M
BRA11722H	Austruca_lactea	H
BRA11723F	Austruca_lactea	F
BRA11723H	Austruca_lactea	H
BRA11723M	Austruca_lactea	M
BRA11731F	Paraleptuca_splendida	F
BRA11731H	Paraleptuca_splendida	H
BRA11731M	Paraleptuca_splendida	M
BRA11732F	Paraleptuca_splendida	F
BRA11732H	Paraleptuca_splendida	H
BRA11733H	Paraleptuca_splendida	H
BRA11741F	Orisarma_patshuni	F
BRA11741H	Orisarma_patshuni	H
BRA11741M	Orisarma_patshuni	M
BRA11742F	Orisarma_patshuni	F
BRA11742H	Orisarma_patshuni	H
BRA11742M	Orisarma_patshuni	M
BRA11743F	Orisarma_patshuni	F
BRA11743H	Orisarma_patshuni	H
BRA11743M	Orisarma_patshuni	M
BRA11751F	Chiromantes_haematocheir	F
BRA11751H	Chiromantes_haematocheir	H
BRA11751M	Chiromantes_haematocheir	M
BRA11752H	Chiromantes_haematocheir	H
BRA11752M	Chiromantes_haematocheir	M
BRA11821F	Macrophthalmus_definitus	F
BRA11821M	Macrophthalmus_definitus	M
BRA11823M	Macrophthalmus_definitus	M
BRA11841F	Metaplax_longipes	F
BRA11841H	Metaplax_longipes	H
BRA11841M	Metaplax_longipes	M
BRA11842F	Metaplax_longipes	F
BRA11842H	Metaplax_longipes	H
BRA11843H	Metaplax_longipes	H
BRA11851F	Ilyoplax_formosensis	F
BRA11851H	Ilyoplax_formosensis	H
BRA11851M	Ilyoplax_formosensis	M
BRA11852F	Ilyoplax_formosensis	F
BRA11852H	Ilyoplax_formosensis	H
BRA11852M	Ilyoplax_formosensis	M
BRA11853F	Ilyoplax_formosensis	F
BRA11853H	Ilyoplax_formosensis	H
BRA11854H	Ilyoplax_formosensis	H
BRA11854M	Ilyoplax_formosensis	M
BRA11861F	Ilyoplax_ningpoensis	F
BRA11861H	Ilyoplax_ningpoensis	H
BRA11861M	Ilyoplax_ningpoensis	M
