sample_id	species
1	BRA10522F	Parasesarma_ungulatum
2	BRA10523F	Parasesarma_ungulatum
3	BRA11061F	Gelasimus_borealis
4	BRA11062F	Gelasimus_borealis
5	BRA11071F	Paraleptuca_splendida
6	BRA11072F	Paraleptuca_splendida
7	BRA11081F	Mictyris_brevidactylus
8	BRA11082F	Mictyris_brevidactylus
9	BRA11481F	Parasesarma_affine
10	BRA11482F	Parasesarma_affine
11	BRA11623F	Parasesarma_pictum
12	BRA11625F	Parasesarma_pictum
13	BRA11631F	Parasesarma_bidens
14	BRA11673F	Thalamita_danae
15	BRA11674F	Thalamita_danae
16	BRA11681F	Hemigrapsus_penicillatus
17	BRA11682F	Hemigrapsus_penicillatus
18	BRA11711F	Gelasimus_borealis
19	BRA11712F	Gelasimus_borealis
20	BRA11723F	Austruca_lactea
21	BRA11731F	Paraleptuca_splendida
22	BRA11732F	Paraleptuca_splendida
23	BRA11741F	Orisarma_patshuni
24	BRA11742F	Orisarma_patshuni
25	BRA11743F	Orisarma_patshuni
26	BRA11751F	Chiromantes_haematocheir
27	BRA11821F	Macrophthalmus_definitus
28	BRA11841F	Metaplax_longipes
29	BRA11842F	Metaplax_longipes
30	BRA11851F	Ilyoplax_formosensis
31	BRA11852F	Ilyoplax_formosensis
32	BRA11853F	Ilyoplax_formosensis
33	BRA11861F	Ilyoplax_ningpoensis
34	BRA11862F	Ilyoplax_ningpoensis
35	BRA11863F	Ilyoplax_ningpoensis
36	BRA11864F	Ilyoplax_ningpoensis
37	BRA11881F	Scylla_paramamosain
38	BRA11883F	Scylla_paramamosain
39	BRA11884F	Scylla_paramamosain
40	BRA11993F	Mictyris_brevidactylus
41	BRA11994F	Mictyris_brevidactylus
42	BRA12002F	Metaplax_tredecim
43	BRA12012F	Gelasimus_borealis
44	BRA12031F	Scylla_paramamosain
45	BRA12032F	Scylla_paramamosain
46	BRA12051F	Hemigrapsus_takanoi
47	BRA12053F	Hemigrapsus_takanoi
48	BRA12061F	Austruca_lactea
49	BRA12071F	Tubuca_arcuata
50	BRA12111F	Tmethypocoelis_ceratophora
51	BRA12332F	Metaplax_tredecim
52	BRA12361F	Mictyris_brevidactylus
53	BRA12543F	Parasesarma_pictum
54	BRA12563F	Macrophthalmus_definitus
55	BRA12571F	Macrophthalmus_banzai
56	BRA12573F	Macrophthalmus_banzai
57	BRA12581F	Gelasimus_borealis
58	BRA12582F	Gelasimus_borealis
59	BRA12583F	Gelasimus_borealis
60	BRA12641F	Parasesarma_ungulatum
61	BRA12651F	Metaplax_longipes
62	BRA12662F	Metopograpsus_quadridentatus
63	BRA12691F	Thalamita_crenata
64	BRA12791F	Mictyris_brevidactylus
65	BRA12801F	Scopimera_intermedia
66	BRA12813F	Tmethypocoelis_ceratophora
67	BRA12821F	Mictyris_brevidactylus
68	BRA12841F	Tubuca_arcuata
69	BRA12851F	Paraleptuca_splendida
70	BRA12852F	Paraleptuca_splendida
71	BRA12881F	Parasesarma_bidens
72	BRA12882F	Parasesarma_bidens
73	BRA12883F	Parasesarma_bidens
74	BRA12891F	Parasesarma_pictum
75	BRA12892F	Parasesarma_pictum
76	BRA12911F	Macrophthalmus_convexus
77	BRA4611F	Lithoselatium_kusu
78	BRA4612F	Lithoselatium_kusu
79	BRA4613F	Lithoselatium_kusu
80	BRA4614F	Lithoselatium_kusu
81	BRA4632F	Selatium_brockii
82	BRA4635F	Selatium_brockii
83	BRA5171F	Orisarma_dehaani
84	BRA5233F	Parasesarma_pictum
85	BRA5421F	Metopograpsus_frontalis
86	BRA5422F	Metopograpsus_frontalis
87	BRA9742F	Episesarma_versicolor
88	BRA9743F	Episesarma_versicolor
89	BRA9744F	Episesarma_versicolor
90	BRA9751F	Episesarma_versicolor
91	BRA9761F	Episesarma_singaporense
92	BRA9771F	Episesarma_singaporense
93	BRA9772F	Episesarma_singaporense
94	BRA9773F	Episesarma_singaporense
95	BRA9783F	Episesarma_mederi
96	BRA9792F	Episesarma_mederi
97	BRA9793F	Episesarma_mederi
98	BRA9811F	Episesarma_chentongense
99	BRA9812F	Episesarma_chentongense
100	BRA9813F	Episesarma_chentongense
101	BRA9841F	Parasesarma_eumolpe
102	BRA9852F	Parasesarma_peninsulare
