sample_id	species
1	BRA10151H	Chasmagnathus_convexus
2	BRA10152H	Chasmagnathus_convexus
3	BRA10521H	Parasesarma_ungulatum
4	BRA10522H	Parasesarma_ungulatum
5	BRA10523H	Parasesarma_ungulatum
6	BRA10972H	Macrophthalmus_tomentosus
7	BRA10974H	Macrophthalmus_tomentosus
8	BRA11061H	Gelasimus_borealis
9	BRA11062H	Gelasimus_borealis
10	BRA11071H	Paraleptuca_splendida
11	BRA11072H	Paraleptuca_splendida
12	BRA11081H	Mictyris_brevidactylus
13	BRA11082H	Mictyris_brevidactylus
14	BRA11481H	Parasesarma_affine
15	BRA11623H	Parasesarma_pictum
16	BRA11625H	Parasesarma_pictum
17	BRA11631H	Parasesarma_bidens
18	BRA11632H	Parasesarma_bidens
19	BRA11671H	Thalamita_danae
20	BRA11673H	Thalamita_danae
21	BRA11674H	Thalamita_danae
22	BRA11681H	Hemigrapsus_penicillatus
23	BRA11682H	Hemigrapsus_penicillatus
24	BRA11711H	Gelasimus_borealis
25	BRA11712H	Gelasimus_borealis
26	BRA11713H	Gelasimus_borealis
27	BRA11721H	Austruca_lactea
28	BRA11722H	Austruca_lactea
29	BRA11723H	Austruca_lactea
30	BRA11731H	Paraleptuca_splendida
31	BRA11732H	Paraleptuca_splendida
32	BRA11733H	Paraleptuca_splendida
33	BRA11741H	Orisarma_patshuni
34	BRA11742H	Orisarma_patshuni
35	BRA11743H	Orisarma_patshuni
36	BRA11751H	Chiromantes_haematocheir
37	BRA11752H	Chiromantes_haematocheir
38	BRA11841H	Metaplax_longipes
39	BRA11842H	Metaplax_longipes
40	BRA11843H	Metaplax_longipes
41	BRA11851H	Ilyoplax_formosensis
42	BRA11852H	Ilyoplax_formosensis
43	BRA11853H	Ilyoplax_formosensis
44	BRA11854H	Ilyoplax_formosensis
45	BRA11861H	Ilyoplax_ningpoensis
46	BRA11862H	Ilyoplax_ningpoensis
47	BRA11863H	Ilyoplax_ningpoensis
48	BRA11864H	Ilyoplax_ningpoensis
49	BRA11872H	Tubuca_arcuata
50	BRA11873H	Tubuca_arcuata
51	BRA11874H	Tubuca_arcuata
52	BRA11881H	Scylla_paramamosain
53	BRA11883H	Scylla_paramamosain
54	BRA11884H	Scylla_paramamosain
55	BRA11971H	Gelasimus_borealis
56	BRA11972H	Gelasimus_borealis
57	BRA11973H	Gelasimus_borealis
58	BRA11981H	Austruca_lactea
59	BRA11993H	Mictyris_brevidactylus
60	BRA11994H	Mictyris_brevidactylus
61	BRA12001H	Metaplax_tredecim
62	BRA12002H	Metaplax_tredecim
63	BRA12011H	Gelasimus_borealis
64	BRA12012H	Gelasimus_borealis
65	BRA12013H	Gelasimus_borealis
66	BRA12014H	Gelasimus_borealis
67	BRA12021H	Parasesarma_bidens
68	BRA12022H	Parasesarma_bidens
69	BRA12023H	Parasesarma_bidens
70	BRA12031H	Scylla_paramamosain
71	BRA12032H	Scylla_paramamosain
72	BRA12041H	Metopograpsus_quadridentatus
73	BRA12042H	Metopograpsus_quadridentatus
74	BRA12043H	Metopograpsus_quadridentatus
75	BRA12051H	Hemigrapsus_takanoi
76	BRA12052H	Hemigrapsus_takanoi
77	BRA12053H	Hemigrapsus_takanoi
78	BRA12061H	Austruca_lactea
79	BRA12062H	Austruca_lactea
80	BRA12071H	Tubuca_arcuata
81	BRA12111H	Tmethypocoelis_ceratophora
82	BRA12331H	Metaplax_tredecim
83	BRA12332H	Metaplax_tredecim
84	BRA12351H	Sarmatium_germaini
85	BRA12353H	Sarmatium_germaini
86	BRA12361H	Mictyris_brevidactylus
87	BRA12362H	Mictyris_brevidactylus
88	BRA12371H	Metopograpsus_frontalis
89	BRA12381H	Tubuca_arcuata
90	BRA12392H	Tmethypocoelis_ceratophora
91	BRA12531H	Parasesarma_bidens
92	BRA12532H	Parasesarma_bidens
93	BRA12533H	Parasesarma_bidens
94	BRA12541H	Parasesarma_pictum
