sample_id	species
1	BRA10151M	Chasmagnathus_convexus
2	BRA10522M	Parasesarma_ungulatum
3	BRA10523M	Parasesarma_ungulatum
4	BRA10972M	Macrophthalmus_tomentosus
5	BRA11062M	Gelasimus_borealis
6	BRA11071M	Paraleptuca_splendida
7	BRA11072M	Paraleptuca_splendida
8	BRA11081M	Mictyris_brevidactylus
9	BRA11082M	Mictyris_brevidactylus
10	BRA11481M	Parasesarma_affine
11	BRA11623M	Parasesarma_pictum
12	BRA11625M	Parasesarma_pictum
13	BRA11631M	Parasesarma_bidens
14	BRA11673M	Thalamita_danae
15	BRA11674M	Thalamita_danae
16	BRA11681M	Hemigrapsus_penicillatus
17	BRA11682M	Hemigrapsus_penicillatus
18	BRA11711M	Gelasimus_borealis
19	BRA11712M	Gelasimus_borealis
20	BRA11713M	Gelasimus_borealis
21	BRA11721M	Austruca_lactea
22	BRA11723M	Austruca_lactea
23	BRA11731M	Paraleptuca_splendida
24	BRA11741M	Orisarma_patshuni
25	BRA11742M	Orisarma_patshuni
26	BRA11743M	Orisarma_patshuni
27	BRA11751M	Chiromantes_haematocheir
28	BRA11752M	Chiromantes_haematocheir
29	BRA11821M	Macrophthalmus_definitus
30	BRA11823M	Macrophthalmus_definitus
31	BRA11841M	Metaplax_longipes
32	BRA11851M	Ilyoplax_formosensis
33	BRA11852M	Ilyoplax_formosensis
34	BRA11854M	Ilyoplax_formosensis
35	BRA11861M	Ilyoplax_ningpoensis
36	BRA11862M	Ilyoplax_ningpoensis
37	BRA11863M	Ilyoplax_ningpoensis
38	BRA11872M	Tubuca_arcuata
39	BRA11881M	Scylla_paramamosain
40	BRA11883M	Scylla_paramamosain
41	BRA11972M	Gelasimus_borealis
42	BRA11981M	Austruca_lactea
43	BRA12001M	Metaplax_tredecim
44	BRA12002M	Metaplax_tredecim
45	BRA12011M	Gelasimus_borealis
46	BRA12012M	Gelasimus_borealis
47	BRA12013M	Gelasimus_borealis
48	BRA12021M	Parasesarma_bidens
49	BRA12022M	Parasesarma_bidens
50	BRA12023M	Parasesarma_bidens
51	BRA12032M	Scylla_paramamosain
52	BRA12042M	Metopograpsus_quadridentatus
53	BRA12043M	Metopograpsus_quadridentatus
54	BRA12051M	Hemigrapsus_takanoi
55	BRA12052M	Hemigrapsus_takanoi
56	BRA12062M	Austruca_lactea
57	BRA12111M	Tmethypocoelis_ceratophora
58	BRA12331M	Metaplax_tredecim
59	BRA12332M	Metaplax_tredecim
60	BRA12351M	Sarmatium_germaini
61	BRA12352M	Sarmatium_germaini
62	BRA12353M	Sarmatium_germaini
63	BRA12541M	Parasesarma_pictum
64	BRA12542M	Parasesarma_pictum
65	BRA12551M	Metaplax_tredecim
66	BRA12552M	Metaplax_tredecim
67	BRA12553M	Metaplax_tredecim
68	BRA12562M	Macrophthalmus_definitus
69	BRA12563M	Macrophthalmus_definitus
70	BRA12572M	Macrophthalmus_banzai
71	BRA12573M	Macrophthalmus_banzai
72	BRA12582M	Gelasimus_borealis
73	BRA12591M	Tubuca_arcuata
74	BRA12601M	Thalamita_crenata
75	BRA12602M	Thalamita_crenata
76	BRA12632M	Parasesarma_bidens
77	BRA12641M	Parasesarma_ungulatum
78	BRA12651M	Metaplax_longipes
79	BRA12661M	Metopograpsus_quadridentatus
80	BRA12662M	Metopograpsus_quadridentatus
81	BRA12673M	Gelasimus_vocans
82	BRA12681M	Scylla_paramamosain
83	BRA12691M	Thalamita_crenata
84	BRA12792M	Mictyris_brevidactylus
85	BRA12803M	Scopimera_intermedia
86	BRA12821M	Mictyris_brevidactylus
87	BRA12831M	Gelasimus_borealis
88	BRA12832M	Gelasimus_borealis
89	BRA12851M	Paraleptuca_splendida
90	BRA12852M	Paraleptuca_splendida
91	BRA12862M	Metopograpsus_frontalis
92	BRA12871M	Metopograpsus_quadridentatus
93	BRA12883M	Parasesarma_bidens
94	BRA12891M	Parasesarma_pictum
95	BRA12912M	Macrophthalmus_convexus
96	BRA12922M	Macrophthalmus_definitus
97	BRA4611M	Lithoselatium_kusu
98	BRA4612M	Lithoselatium_kusu
99	BRA4631M	Selatium_brockii
100	BRA4632M	Selatium_brockii
101	BRA4752M	Neosarmatium_indicum
102	BRA4771M	Sarmatium_germaini
103	BRA5182M	Parasesarma_bidens
104	BRA5221M	Chasmagnathus_convexus
105	BRA5222M	Chasmagnathus_convexus
106	BRA5231M	Parasesarma_pictum
107	BRA5601M	Neosarmatium_indicum
108	BRA5624M	Parasesarma_ungulatum
109	BRA5671M	Episesarma_versicolor
110	BRA5672M	Episesarma_versicolor
111	BRA8221M	Orisarma_dehaani
112	BRA8271M	Orisarma_sinense
113	BRA8272M	Orisarma_sinense
114	BRA9742M	Episesarma_versicolor
115	BRA9743M	Episesarma_versicolor
116	BRA9744M	Episesarma_versicolor
117	BRA9751M	Episesarma_versicolor
118	BRA9761M	Episesarma_singaporense
119	BRA9762M	Episesarma_singaporense
120	BRA9771M	Episesarma_singaporense
121	BRA9772M	Episesarma_singaporense
122	BRA9773M	Episesarma_singaporense
123	BRA9783M	Episesarma_mederi
124	BRA9791M	Episesarma_mederi
125	BRA9792M	Episesarma_mederi
126	BRA9793M	Episesarma_mederi
127	BRA9811M	Episesarma_chentongense
128	BRA9812M	Episesarma_chentongense
129	BRA9813M	Episesarma_chentongense
130	BRA9841M	Parasesarma_eumolpe
131	BRA9852M	Parasesarma_peninsulare
132	BRA9872M	Neosarmatium_smithi
133	BRA9873M	Neosarmatium_smithi
