Scylla_paramamosain	OR529441
Thalamita_crenata	OR529442
Thalamita_danae	OR529443
Metopograpsus_frontalis	KJ132448
Metopograpsus_quadridentatus	KJ132463
Chiromantes_haematocheir	OR529444
Episesarma_chentongense	OR529445
Episesarma_mederi	OR529446
Episesarma_singaporense	OR529447
Episesarma_versicolor	OR529448
Lithoselatium_kusu	OR529449
Neosarmatium_smithi	OR529451
Orisarma_dehaani	ON379389
Orisarma_patshuni	OR529452
Orisarma_sinense	OR529453
Parasesarma_affine	OR529454
Parasesarma_bidens	KJ132467
Parasesarma_eumolpe	OR529455
Parasesarma_peninsulare	OR529456
Parasesarma_pictum	OR529457
Parasesarma_ungulatum	OR529458
Sarmatium_germaini	OR529459
Selatium_brockii	OR529460
Chasmagnathus_convexus	ON379392
Hemigrapsus_penicillatus	ON379394
Hemigrapsus_takanoi	OR529461
Metaplax_longipes	OR529462
Metaplax_tredecim	ON379396
Ilyoplax_formosensis	OR529463
Ilyoplax_ningpoensis	OR529464
Scopimera_intermedia	KJ132490
Macrophthalmus_banzai	OR529465
Macrophthalmus_convexus	OR529466
Macrophthalmus_definitus	KJ132439
Macrophthalmus_tomentosus	OR529467
Mictyris_brevidactylus	KJ132438
Austruca_lactea	KJ132504
Gelasimus_borealis	KJ132502
Gelasimus_vocans	ON379409
Paraleptuca_splendida	OR529468
Tubuca_arcuata	ON379412
