Scylla_paramamosain	OR523143
Thalamita_crenata	OR523144
Thalamita_danae	OR523145
Metopograpsus_frontalis	KJ132721
Metopograpsus_quadridentatus	KJ132736
Chiromantes_haematocheir	OR523146
Episesarma_chentongense	OR523147
Episesarma_singaporense	OR523148
Episesarma_versicolor	OR523149
Lithoselatium_kusu	OR523150
Neosarmatium_indicum	OR523151
Neosarmatium_smithi	OR523152
Orisarma_dehaani	ON379501
Orisarma_patshuni	OR523153
Orisarma_sinense	OR523154
Parasesarma_affine	OR523155
Parasesarma_bidens	KJ132740
Parasesarma_eumolpe	OR523156
Parasesarma_peninsulare	OR523157
Parasesarma_pictum	OR523158
Parasesarma_ungulatum	ON379503
Sarmatium_germaini	ON379504
Selatium_brockii	ON379505
Chasmagnathus_convexus	ON379508
Hemigrapsus_penicillatus	ON379510
Hemigrapsus_takanoi	OR523159
Metaplax_tredecim	ON379512
Ilyoplax_formosensis	OR523160
Ilyoplax_ningpoensis	OR523161
Scopimera_intermedia	KJ132765
Tmethypocoelis_ceratophora	KJ132770
Macrophthalmus_banzai	OR523162
Macrophthalmus_convexus	OR523163
Macrophthalmus_definitus	KJ132712
Macrophthalmus_tomentosus	OR523164
Mictyris_brevidactylus	KJ132711
Austruca_lactea	KJ132778
Gelasimus_borealis	KJ132776
Gelasimus_vocans	ON379526
Paraleptuca_splendida	OR523165
Tubuca_arcuata	ON379529
