Scylla_paramamosain	OR531537
Thalamita_crenata	OR531538
Thalamita_danae	OR531539
Metopograpsus_frontalis	ON379570
Metopograpsus_quadridentatus	ON379571
Chiromantes_haematocheir	OR531540
Episesarma_chentongense	OR531542
Episesarma_mederi	OR531543
Episesarma_singaporense	OR531544
Episesarma_versicolor	ON379580
Neosarmatium_indicum	OR531545
Orisarma_dehaani	ON379583
Orisarma_patshuni	OR531546
Orisarma_sinense	OR531547
Parasesarma_bidens	ON379585
Parasesarma_eumolpe	OR531548
Parasesarma_peninsulare	OR531549
Parasesarma_pictum	OR531550
Sarmatium_germaini	ON379586
Selatium_brockii	OR531551
Metaplax_tredecim	ON379592
Ilyoplax_ningpoensis	OR531552
Tmethypocoelis_ceratophora	ON379603
Macrophthalmus_banzai	OR531553
Macrophthalmus_definitus	ON379607
Austruca_lactea	ON379610
Gelasimus_borealis	ON379611
Gelasimus_vocans	ON379612
Tubuca_arcuata	ON379618
