Scylla_paramamosain	OR531554
Thalamita_crenata	OR531555
Thalamita_danae	OR531556
Metopograpsus_frontalis	KJ132857
Metopograpsus_quadridentatus	KJ132873
Chiromantes_haematocheir	OR531557
Episesarma_chentongense	OR531558
Episesarma_mederi	OR531559
Episesarma_singaporense	OR531560
Episesarma_versicolor	ON379642
Lithoselatium_kusu	OR531561
Neosarmatium_indicum	OR531562
Neosarmatium_smithi	OR531563
Orisarma_dehaani	ON379646
Orisarma_patshuni	OR531564
Orisarma_sinense	OR531565
Parasesarma_affine	OR531566
Parasesarma_bidens	KJ132877
Parasesarma_eumolpe	OR531567
Parasesarma_peninsulare	OR531568
Parasesarma_pictum	OR531569
Parasesarma_ungulatum	ON379648
Sarmatium_germaini	ON379649
Selatium_brockii	ON379650
Chasmagnathus_convexus	ON379653
Hemigrapsus_penicillatus	ON379655
Hemigrapsus_takanoi	OR531570
Metaplax_tredecim	ON379657
Ilyoplax_ningpoensis	OR531571
Scopimera_intermedia	KJ132904
Tmethypocoelis_ceratophora	KJ132910
Macrophthalmus_banzai	OR531572
Macrophthalmus_convexus	OR531573
Macrophthalmus_definitus	KJ132848
Macrophthalmus_tomentosus	OR531574
Mictyris_brevidactylus	KJ132847
Austruca_lactea	KJ132918
Gelasimus_vocans	ON379672
Paraleptuca_splendida	OR531575
Tubuca_arcuata	ON379675
