Scylla_paramamosain	OR531576
Thalamita_crenata	OR531577
Thalamita_danae	OR531578
Metopograpsus_frontalis	KJ132996
Metopograpsus_quadridentatus	ON379704
Chiromantes_haematocheir	OR531579
Episesarma_chentongense	OR531580
Episesarma_mederi	OR531581
Episesarma_singaporense	OR531582
Episesarma_versicolor	ON379714
Lithoselatium_kusu	OR531583
Neosarmatium_indicum	OR531584
Neosarmatium_smithi	OR531585
Orisarma_dehaani	ON379718
Orisarma_patshuni	OR531586
Orisarma_sinense	OR531587
Parasesarma_affine	OR531588
Parasesarma_bidens	KJ133014
Parasesarma_eumolpe	OR531589
Parasesarma_peninsulare	OR531590
Parasesarma_pictum	OR531591
Parasesarma_ungulatum	ON379720
Sarmatium_germaini	ON379721
Selatium_brockii	ON379722
Chasmagnathus_convexus	ON379725
Hemigrapsus_penicillatus	ON379727
Hemigrapsus_takanoi	OR531592
Metaplax_tredecim	ON379729
Ilyoplax_formosensis	OR531593
Ilyoplax_ningpoensis	OR531594
Scopimera_intermedia	KJ133041
Tmethypocoelis_ceratophora	KJ133047
Macrophthalmus_banzai	OR531595
Macrophthalmus_convexus	OR531596
Macrophthalmus_definitus	KJ132987
Macrophthalmus_tomentosus	OR531597
Mictyris_brevidactylus	KJ132986
Austruca_lactea	KJ133056
Gelasimus_borealis	KJ133054
Gelasimus_vocans	ON379742
Paraleptuca_splendida	OR531598
Tubuca_arcuata	ON379745
