Scylla_paramamosain	OR531599
Thalamita_crenata	OR531600
Thalamita_danae	OR531601
Metopograpsus_frontalis	KJ133143
Metopograpsus_quadridentatus	KJ133157
Chiromantes_haematocheir	OR531602
Episesarma_chentongense	OR531603
Episesarma_mederi	OR531604
Episesarma_singaporense	OR531605
Episesarma_versicolor	OR531606
Lithoselatium_kusu	OR531607
Neosarmatium_indicum	OR531608
Neosarmatium_smithi	OR531609
Orisarma_dehaani	ON379773
Orisarma_patshuni	OR531610
Orisarma_sinense	OR531611
Parasesarma_affine	OR531612
Parasesarma_bidens	KJ133161
Parasesarma_eumolpe	OR531613
Parasesarma_peninsulare	OR531614
Parasesarma_ungulatum	ON379775
Sarmatium_germaini	ON379776
Selatium_brockii	ON379777
Chasmagnathus_convexus	ON379779
Hemigrapsus_penicillatus	ON379781
Ilyoplax_ningpoensis	OR531616
Scopimera_intermedia	KJ133189
Tmethypocoelis_ceratophora	KJ133195
Macrophthalmus_banzai	OR531617
Macrophthalmus_convexus	OR531618
Macrophthalmus_definitus	KJ133135
Macrophthalmus_tomentosus	OR531619
Mictyris_brevidactylus	KJ133134
Austruca_lactea	KJ133203
Gelasimus_borealis	KJ133201
Gelasimus_vocans	ON379796
Tubuca_arcuata	ON379799
