Scylla_paramamosain	OR531620
Thalamita_crenata	OR531621
Thalamita_danae	OR531622
Metopograpsus_frontalis	KJ133274
Metopograpsus_quadridentatus	KJ133288
Chiromantes_haematocheir	OR531623
Episesarma_chentongense	OR531624
Episesarma_mederi	OR531625
Episesarma_singaporense	OR531626
Episesarma_versicolor	ON379819
Lithoselatium_kusu	OR531628
Neosarmatium_indicum	OR531629
Neosarmatium_smithi	OR531630
Orisarma_dehaani	ON379822
Orisarma_patshuni	OR531631
Orisarma_sinense	OR531632
Parasesarma_affine	OR531633
Parasesarma_bidens	KJ133292
Parasesarma_eumolpe	OR531634
Parasesarma_peninsulare	OR531635
Parasesarma_pictum	OR531636
Parasesarma_ungulatum	ON379824
Sarmatium_germaini	ON379825
Selatium_brockii	ON379826
Chasmagnathus_convexus	ON379829
Hemigrapsus_penicillatus	ON379831
Hemigrapsus_takanoi	OR531637
Metaplax_tredecim	ON379833
Ilyoplax_formosensis	OR531638
Ilyoplax_ningpoensis	OR531639
Scopimera_intermedia	KJ133317
Tmethypocoelis_ceratophora	KJ133323
Macrophthalmus_banzai	OR531640
Macrophthalmus_convexus	OR531641
Macrophthalmus_definitus	KJ133265
Macrophthalmus_tomentosus	OR531642
Mictyris_brevidactylus	EU427135
Austruca_lactea	KJ133330
Gelasimus_borealis	KJ133329
Gelasimus_vocans	ON379848
Paraleptuca_splendida	OR531643
Tubuca_arcuata	ON379851
