Scylla_paramamosain	OR531644
Thalamita_crenata	OR531645
Thalamita_danae	OR531646
Metopograpsus_frontalis	KJ133392
Metopograpsus_quadridentatus	KJ133404
Episesarma_chentongense	OR531647
Episesarma_singaporense	OR531648
Lithoselatium_kusu	OR531649
Neosarmatium_indicum	OR531650
Orisarma_patshuni	OR531651
Parasesarma_bidens	KJ133408
Parasesarma_peninsulare	OR531652
Parasesarma_ungulatum	ON379881
Selatium_brockii	ON379882
Chasmagnathus_convexus	ON379884
Hemigrapsus_penicillatus	ON379886
Ilyoplax_ningpoensis	OR531653
Scopimera_intermedia	KJ133429
Tmethypocoelis_ceratophora	KJ133435
Mictyris_brevidactylus	EU427204
Austruca_lactea	ON379897
Gelasimus_borealis	KJ133440
Gelasimus_vocans	ON379898
Tubuca_arcuata	ON379901
