Scylla_paramamosain	OR531654
Thalamita_crenata	OR531655
Thalamita_danae	OR531656
Metopograpsus_quadridentatus	ON379944
Chiromantes_haematocheir	OR531657
Episesarma_chentongense	OR531659
Episesarma_mederi	OR531660
Episesarma_singaporense	OR531661
Episesarma_versicolor	ON379955
Lithoselatium_kusu	OR531662
Neosarmatium_indicum	OR531663
Neosarmatium_smithi	OR531664
Orisarma_dehaani	ON379959
Orisarma_patshuni	OR531665
Orisarma_sinense	OR531666
Parasesarma_affine	OR531667
Parasesarma_bidens	ON379961
Parasesarma_eumolpe	OR531668
Parasesarma_peninsulare	OR531669
Parasesarma_pictum	OR531670
Parasesarma_ungulatum	ON379962
Sarmatium_germaini	ON379963
Selatium_brockii	OR531671
Hemigrapsus_takanoi	OR531672
Metaplax_longipes	OR531673
Metaplax_tredecim	ON379970
Ilyoplax_formosensis	OR531674
Ilyoplax_ningpoensis	OR531675
Scopimera_intermedia	ON379980
Tmethypocoelis_ceratophora	ON379983
Macrophthalmus_banzai	OR531676
Macrophthalmus_convexus	OR531677
Macrophthalmus_definitus	ON379987
Macrophthalmus_tomentosus	OR531678
Mictyris_brevidactylus	ON379989
Austruca_lactea	ON379991
Gelasimus_borealis	ON379992
Paraleptuca_splendida	OR531679
Tubuca_arcuata	ON379997
