CF	LGF	SGF	MGF	STF	LTF	WPF	VF	WF
Firmicutes	81.00%	12.60%	53.10%	34.60%	34.20%	35.20%	15.90%	12.40%	18.90%
Actinobacteria	9.80%	53.20%	24.50%	40.60%	38.60%	35.30%	28.50%	13.90%	27.90%
Proteobacteria	7.40%	27.20%	19.60%	15.90%	24.40%	28.80%	48.10%	54.90%	43.70%
Unclassified	1.10%	4.00%	1.50%	6.10%	0.70%	0.30%	1.30%	17.30%	6.00%
Chloroflexi	0.30%	2.20%	0.50%	2.00%	1.30%	0.30%	0.40%	0.10%	1.10%
Tenericutes	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.90%
Acidobacteria	0.10%	0.30%	0.30%	0.50%	0.40%	0.00%	0.20%	0.30%	0.20%
Planctomycetes	0.10%	0.20%	0.30%	0.30%	0.40%	0.10%	0.30%	0.10%	0.40%
Bacteroidetes	0.10%	0.00%	0.00%	0.00%	0.10%	0.00%	1.50%	0.20%	0.00%
Cyanobacteria	0.00%	0.10%	0.10%	0.00%	0.10%	0.00%	0.10%	0.50%	0.10%
Spirochaetes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%
Deinococcus-Thermus	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%
