Equus_kiang	Bos_taurus	Equus_caballus	Ovis_aries	Bos_grunniens	Pantholops_hodgsonii	Rhinopithecus_bieti	Eospalax_fontanierii_baileyi	Homo_sapiens	Sus_scrofa_domesticus	Ochotona_curzoniae	Canis_lupus_laniger	Pseudois_nayaur	Bos_mutus
p__Bacteroidota	40.46089676	49.84047796	32.35324623	38.28068274	43.94061503	27.57418317	21.33735714	15.23624941	46.38673279	58.86439909	14.81338347	16.0555581	44.8695646	19.86299487
p__Bacillota_A	34.21022169	34.11910146	47.85193467	46.84936467	37.73315331	61.70508424	63.14539539	81.59519894	44.01974111	19.3027206	62.67840587	31.17064725	33.73379585	28.07189276
p__Spirochaetota	8.039547563	0.649364416	5.286204061	1.575779981	0.473549066	0.192360327	2.945901362	0	0.027628221	8.539214912	2.102558667	0.170522334	2.136231481	0.172416688
p__Verrucomicrobiota	3.751952435	4.680793722	3.338321796	4.025549609	4.717335007	3.767350291	2.378368633	0.081829781	0.411990439	3.063692992	1.016327208	0.00037943	2.47331051	4.369177159
p__Bacillota_I	3.627995777	2.456686451	1.244105398	1.481545518	2.020524401	1.447458166	5.966468816	0.6018542	2.270232168	0.996878826	0.239582832	8.111870959	3.390421914	1.652399788
p__Fibrobacterota	3.076931505	0.157573579	1.327889768	0.478553479	0.109411732	0.005135448	0.250189486	0	0	1.700390317	0	0	0.23998137	0.104236451
p__Bacillota_C	1.156643094	0.465022842	0.962970361	0.551016591	0.61237935	0.529318829	0.207892285	0	1.360756607	1.481063875	0.123489217	0.66934824	0.616740626	0.424064936
p__Pseudomonadota	0.929597659	2.583845949	1.117060459	2.27353911	2.704647676	1.160975903	0.364292797	0.553152106	2.476734818	2.473352313	14.55794102	8.033817272	2.684988926	4.42775724
p__Halobacteriota	0.860968469	0.169906922	0.293123863	0.472487832	0.103979709	0.17863527	0	0	0	0	0	0	0.0859157	0.000227895
p__Bacillota	0.60706448	1.426186298	0.960636679	0.809793101	1.689478185	0.116439627	0.008013778	0.062705959	0.537219456	0.820819655	1.265640865	3.331322862	1.757082474	2.671904478
p__Riflebacteria	0.502864718	0	0.026118096	0	0	0	0	0	0	0.012524098	0	0	0	0
p__Patescibacteria	0.447032718	0.831734476	1.115056239	0.738086561	2.141125481	0.443736825	0.117028326	0.114367296	0	0.267219842	0.000952629	1.064153679	1.39290597	3.89359177
p__Actinomycetota	0.399772572	0.261163048	1.956645716	0.282176194	0.618788753	0.23091475	0.57631535	0.041172726	1.763484012	0.703904323	0.009169997	24.87073748	2.845989433	26.52979274
p__Cyanobacteriota	0.392398248	0.352159042	0.061139453	0.352242473	0.464506338	0.501166311	1.287904921	0.081504782	0.481976535	0.613045156	0.067627007	0.013901972	0.460167275	0.207919992
p__Synergistota	0.375686544	0	0.216448313	0	0	0	0	0	0	0	0	0	0	0
p__Thermoplasmatota	0.294470144	0.068001649	0.036498105	0.178947236	0.063980255	0.090292452	0.398516279	0	0	0.618480532	0	0	0.181082926	0.033133819
p__Bacillota_B	0.194811564	0.470118614	0.076188531	0.515196205	0.360250299	0.879527272	0.311795035	0.294782186	0.023183227	0	0.105486024	1.152831839	0.299606875	0.396985858
p__Myxococcota	0.173332538	0.041560057	0.050982906	0.05419203	0.016170542	0.002307419	0.056878561	0	0	0.099592753	0	0	0.034590274	0.112948434
p__Campylobacterota	0.156004799	0.009734237	0	0.040629175	0.001747415	0.019357742	0.377644432	0	0	0.196116771	2.637345126	0.071224653	0	1.14001E-05
p__Planctomycetota	0.102703294	0.077176851	0.204171559	0.228710904	0.11485057	0.126716096	0.239443134	0	0	0	0	0.000781661	0.222246576	0.275023878
p__Elusimicrobiota	0.063247351	0.186271964	0.016726682	0.261126848	0.099847612	0.089428591	0	0.020666822	0.042857938	0.174756016	0	0	0.106919285	0.038896984
p__Methanobacteriota	0.061349828	1.062549138	1.474893213	0.306636395	1.943888862	0.662446464	0.002636715	0	0.016985807	0	0	0.117441577	2.327194432	6.358553564
p__Desulfobacterota	0.053822363	0.084440228	0.000361942	0.232725324	0.048098241	0.248766921	4.96274E-05	1.31651579	0.180476879	0.035690411	0.38209007	0.0555644	0.12442802	0.023048641
p__Eremiobacterota	0.036250235	0	0.010271967	0	0	0	0.006868146	0	0	0.035857761	0	0	0	0
p__Armatimonadota	0.024433655	0	0.003365193	0	0	0	0.01680266	0	0	0	0	0.000758415	0.002061033	0.021293592
p__UBA3054	0	0.005184789	0	8.18535E-05	0.002679905	0	0	0	0	0	0	0	0	0.005542815
p__Sumerlaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.000285943	0.007458197
p__Gemmatimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0.010519206	0.041322243
p__Fusobacteriota	0	0	0	0	0	0	0	0	0	0	0	5.019113757	0	0
p__Deferribacterota	0	0	0	0.006733292	0	0.017758964	0	0	0	0	0	0.019077372	0	0
p__Chloroflexota	0	0.000946312	0.000282538	0.000500614	0.01899226	0	0	0	0	0	0	0.000809799	0.001016566	0.20876485
p__Chlamydiota	0	0	0	0.003702261	0	0.010638927	0	0	0	0.00027976	0	0.070136953	0	0
p__Bdellovibrionota	0	0	0.015356267	0	0	0	0.004237132	0	0	0	0	0	0	0.03054241
p__Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0.002952737	0.055778051
p__4484-113	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002318498
