G_AL1	G_AL2	G_AL3	G_AL4	G_AL5	G_AL6	G_AM1	G_AM10	G_AM11	G_AM12	G_AM13	G_AM14	G_AM15	G_AM16	G_AM17	G_AM2	G_AM3	G_AM4	G_AM5	G_AM6	G_AM7	G_AM8	G_AM9	G_BG100	G_BG101	G_BG102	G_BG103	G_BG104	G_BG105	G_BG106	G_BG107	G_BG108	G_BG109	G_BG110	G_BG111	G_BG112	G_BG113	G_BG114	G_BG115	G_BG116	G_BG117	G_BG118	G_BG119	G_BG120	G_BG121	G_BG122	G_BG123	G_BG124	G_BG125	G_BG126	G_BG127	G_BG128	G_BG44	G_BG45	G_BG46	G_BG47	G_BG48	G_BG49	G_BG50	G_BG51	G_BG52	G_BG53	G_BG54	G_BG55	G_BG56	G_BG57	G_BG58	G_BG59	G_BG60	G_BG61	G_BG62	G_BG63	G_BG64	G_BG65	G_BG66	G_BG67	G_BG68	G_BG69	G_BG70	G_BG71	G_BG72	G_BG73	G_BG74	G_BG75	G_BG76	G_BG77	G_BG78	G_BG79	G_BG80	G_BG81	G_BG82	G_BG83	G_BG84	G_BG85	G_BG86	G_BG87	G_BG88	G_BG89	G_BG90	G_BG91	G_BG92	G_BG93	G_BG94	G_BG95	G_BG96	G_BG97	G_BG98	G_BG99	G_BP1	G_BP2	G_BP3	G_BP4	G_BP5	G_BP6	G_BP7	G_BP8	G_FM10	G_FM100	G_FM101	G_FM102	G_FM103	G_FM104	G_FM105	G_FM106	G_FM107	G_FM108	G_FM109	G_FM11	G_FM110	G_FM111	G_FM12	G_FM13	G_FM14	G_FM15	G_FM16	G_FM17	G_FM18	G_FM19	G_FM2	G_FM20	G_FM21	G_FM22	G_FM23	G_FM24	G_FM25	G_FM26	G_FM27	G_FM28	G_FM29	G_FM3	G_FM30	G_FM31	G_FM32	G_FM33	G_FM34	G_FM35	G_FM36	G_FM37	G_FM38	G_FM39	G_FM4	G_FM40	G_FM41	G_FM42	G_FM43	G_FM44	G_FM45	G_FM46	G_FM47	G_FM48	G_FM49	G_FM5	G_FM50	G_FM51	G_FM52	G_FM53	G_FM54	G_FM55	G_FM56	G_FM57	G_FM58	G_FM59	G_FM6	G_FM60	G_FM61	G_FM62	G_FM63	G_FM64	G_FM65	G_FM66	G_FM67	G_FM68	G_FM69	G_FM7	G_FM70	G_FM71	G_FM72	G_FM73	G_FM74	G_FM75	G_FM76	G_FM77	G_FM78	G_FM79	G_FM8	G_FM80	G_FM81	G_FM82	G_FM83	G_FM84	G_FM85	G_FM86	G_FM87	G_FM88	G_FM89	G_FM9	G_FM90	G_FM91	G_FM92	G_FM93	G_FM94	G_FM95	G_FM96	G_FM97	G_FM98	G_FM99	G_HG1	G_HG10	G_HG11	G_HG12	G_HG13	G_HG14	G_HG15	G_HG16	G_HG17	G_HG18	G_HG19	G_HG2	G_HG20	G_HG21	G_HG22	G_HG23	G_HG24	G_HG25	G_HG26	G_HG27	G_HG28	G_HG29	G_HG3	G_HG4	G_HG5	G_HG6	G_HG7	G_HG8	G_HG9	G_KR1	G_KR2	G_KR3	G_KR4	G_KR5	G_KR6	G_KR7	G_KR8	G_MF1	G_MF10	G_MF11	G_MF12	G_MF13	G_MF14	G_MF15	G_MF16	G_MF17	G_MF18	G_MF19	G_MF2	G_MF20	G_MF21	G_MF22	G_MF23	G_MF24	G_MF25	G_MF3	G_MF4	G_MF5	G_MF6	G_MF7	G_MF8	G_MF9	G_OG1	G_OG2	G_OG3	G_OG4	G_OG5	G_OG6	G_OGR1	G_OGR2	G_OGR3	G_OGR4	G_OM1	G_OM10	G_OM11	G_OM12	G_OM13	G_OM14	G_OM15	G_OM16	G_OM17	G_OM18	G_OM19	G_OM2	G_OM20	G_OM21	G_OM22	G_OM23	G_OM24	G_OM3	G_OM4	G_OM5	G_OM6	G_OM7	G_OM8	G_OM9	G_OO1	G_OO2	G_OO3	G_OO4	G_OS1	G_OS2	G_OS3	G_OS4	G_OS5	G_OS6	G_PB1	G_PB10	G_PB11	G_PB12	G_PB13	G_PB14	G_PB2	G_PB3	G_PB4	G_PB5	G_PB6	G_PB7	G_PB8	G_PB9	G_PN1	G_PN10	G_PN11	G_PN12	G_PN13	G_PN14	G_PN15	G_PN16	G_PN17	G_PN18	G_PN19	G_PN2	G_PN20	G_PN21	G_PN22	G_PN23	G_PN24	G_PN25	G_PN26	G_PN3	G_PN4	G_PN5	G_PN6	G_PN7	G_PN8	G_PN9	G_QB1	G_QB10	G_QB11	G_QB12	G_QB13	G_QB14	G_QB15	G_QB16	G_QB17	G_QB18	G_QB19	G_QB2	G_QB3	G_QB4	G_QB5	G_QB6	G_QB7	G_QB8	G_QB9	G_RCH1	G_RCH2	G_RCH3	G_RCH4	G_RO1	G_RO10	G_RO11	G_RO2	G_RO3	G_RO4	G_RO5	G_RO6	G_RO7	G_RO8	G_RO9	G_SB1	G_SB2	G_SB3	G_SB4	G_SB5	G_SB6
Abditibacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	1217	135	0	714	282	0	9	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	8	2	0	0	5	34	20	0	0	0	0	0	0	0	0	0	0	0	84	146	508	197	78	0	0	1097	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	552	38	34	0	0	0	0	0	0	0	97	78	0	0	0	30	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	109	0	0	0	0	0	7	18	0	0	0	0	7	0	0	27	11	0	34	0	151	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	20	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	661	0	0	8	0	0	0	0	0	0	7	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	15	0	0	0	0	55	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	6497	0	0	0
Actinobacteriota	65	167	2559	101	0	627	152	543	976	5853	1784	12086	1240	4413	7145	458	9108	3186	3268	5176	15404	3333	2101	2748	8536	20662	31175	910	2986	4635	3924	12461	8141	20724	4647	6503	5026	5923	14414	15740	366	5359	323	1132	6798	286	573	2156	324	993	689	473	2480	1046	3994	256	421	338	10645	33586	4157	938	2715	261	564	2167	28822	822	679	706	1281	1763	5165	109	7899	14783	1776	7929	9318	7082	3192	1737	3664	4014	5536	1238	8023	2116	12024	7673	2503	14747	9403	11395	5552	2102	15948	8105	7584	4512	1091	18483	2230	9572	3037	8813	895	10950	312	2098	1493	1070	1415	6680	1564	1535	549	14836	3316	38921	30476	10330	166	11651	17593	22505	4447	2705	10107	37652	12755	14997	8313	87757	28563	17470	1801	18010	2533	3760	20034	37745	4024	1954	26082	7552	2004	1685	10291	3737	10195	3959	4397	4492	2711	1636	1504	4930	2392	6881	9985	1965	80226	60997	34316	16375	92	16222	35501	79861	34202	9707	2929	10009	18742	8303	3252	22519	4520	1297	3934	1867	3814	8211	16562	2940	14045	36628	24101	33280	23077	600	14386	4673	13828	9639	1084	11164	1167	29067	4131	51405	841	14990	2513	21962	4501	600	4623	293	3150	7421	4164	7053	10175	2527	55688	19481	2584	17994	1727	8242	9374	6711	23628	11174	1869	9775	614	2119	4458	1133	14148	365	11856	1951	166	750	83	3019	551	2969	720	341	1775	1172	1079	4158	1792	32119	1412	7049	441	7686	4523	7206	14967	3855	5286	24941	38	38702	10917	20199	8460	190	2941	2564	909	2076	9134	6813	7442	654	5175	638	233	2198	16104	876	24059	1396	28	4183	84	3643	733	0	1879	12938	4611	12243	286	1062	171	732	1544	588	58	207	770	726	33	3392	2304	24923	3375	13379	5563	7445	10422	3949	7993	6678	893	168	280	3073	5850	861	514	1642	1722	548	215	253	44057	144	2814	31033	44886	4045	1921	25551	40496	3875	19771	5345	98	7351	28172	9883	54669	2933	18792	47485	20356	61	11188	4797	2435	39094	7307	1339	5948	8708	1054	6048	1471	3213	757	14065	2408	2999	5302	16227	6071	12189	6093	6500	4440	3019	123	5872	7076	4205	11614	571	21755	1269	5045	12465	17918	9501	108	141	563	512	3220	8739	1255	1938	796	217	153	26420	7907	3472	14797	25062	14947	23839	9781	31553	14404	2597	66	72	2612	114	1802	196
Armatimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidota	37	120	694	632	23	313	130	312	936	1519	1947	1240	67	108608	14533	22563	22118	37825	8157	9193	596	50474	17969	400	4428	238	1122	32	729	164	2201	1261	4126	5163	8618	870	204	1059	324	6585	825	1556	1567	5123	964	2255	14924	1234	3219	1456	4357	1159	714	307	15020	528	248	312	1595	38501	12983	47	841	0	246	599	3747	208	1055	2104	189	197	578	81	12831	1750	325	958	8304	670	1289	803	4104	1393	8115	11448	12578	964	290	9235	1653	1443	1783	533	1080	410	77	323	231	4733	628	1176	48318	6009	75778	1249	1336	32318	4691	3647	4123	2500	37202	597	2499	13742	33566	279	350	808	227	8570	0	686	222	78	817	190	2675	81	7628	1018	14000	264	702	14124	1867	46925	16783	135805	316	8769	150	28	679	494	166	142	314	12279	17601	1392	107	365	1258	10560	1321	5742	1047	0	27598	116	0	507	5473	580	8325	734	137	5370	4021	261	188	23593	1521	5341	2843	6629	438	1260	37749	4057	2763	6601	3691	6799	855	173	82	33600	2987	66632	8398	1196	41319	15255	1768	37720	61052	311	2484	1569	133	1255	22895	623	1329	646	638	24657	5549	48602	1880	3573	920	5029	95	807	450	532	397	386	1447	261	4851	167	1039	664	0	485	1427	1557	216	141	55236	67	35558	638	1804	336	111	3184	620	5991	94419	17	2207	23816	3247	765	944	5371	17	474	479	486	1744	11397	3389	522	32799	1989	1456	3006	1117	51156	4676	9333	156016	18180	270	11579	60533	119202	14837	59975	63350	1559	758	5750	245	295	70459	1183	66993	11142	14350	0	45954	2929	12062	11629	3361	6498	2393	18559	3139	3411	14683	1393	18560	1605	66	113	2727	651	43033	278	1961	22567	31538	10149	413	1624	633	84	762	1361	1448	2887	78	76	294	721	41340	2648	623	76	605	579	4030	9378	130	4502	3427	289	29010	65577	100	26416	12325	413	5092	39654	30333	7465	91	92	97	75	410	905	6429	299	1247	650	10474	1551	12490	3922	2603	4954	6470	2681	700	1054	746	1068	1176	4444	12293	1183	145	750	454	1264	476	11627	5125	4566	2859	323	534	6132	240	203	145	515	990	3697	42	8852	787	49	1062	13727	191	836	24545	96	170	89	7601	72	3763	12096	4324	2415	1374	2121	5838	387
Bdellovibrionota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	78	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	75	0	0	0	6	0	0	65	29	0	0	0	0	0	1293	78	135	0	40	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	29	84	30	0	92	27	0	769	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	48	0	0	0	0	12	0	0	0	59	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	52	0	0	0	0	58	257	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	24	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	101	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	33	0	0	61	0	0	0	0	0	15	0	0	0	78	0	0	0	0	0	0	0	0	0	0	15	107	0	0	0	89	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campilobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	62	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0
Chloroflexi	0	0	0	0	0	81	0	0	0	33	0	0	0	0	0	0	0	0	0	0	66	0	0	69	154	0	1147	0	53	369	62	15	0	8	0	0	0	0	0	0	10	9	0	37	683	0	0	523	86	4	234	121	0	18	16	0	0	0	0	84	0	0	0	0	0	25	0	0	0	0	0	24	351	0	424	0	0	0	106	0	0	0	59	0	37	0	0	0	46	0	0	38	0	418	0	0	327	0	0	0	0	29	0	0	0	0	0	186	9	0	275	116	27	391	12	25	6	1225	50	252	97	155	0	7	1152	431	106	10	404	731	274	430	0	3620	65	292	25	52	44	35	0	1385	105	55	811	519	34	89	182	0	0	226	765	16	236	0	8	0	87	13	343	446	1016	4061	664	77	61	2708	28	0	296	44	32	0	47	92	40	162	120	0	50	0	6	153	153	183	248	664	495	378	213	0	274	236	242	885	11	0	10	1057	23	577	0	86	31	379	111	30	456	0	166	308	386	145	464	16	194	775	278	1981	22	146	229	20	1274	4632	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	342	0	129	0	16	0	0	80	0	44	456	0	121	0	295	69	0	0	8	0	20	507	79	544	31	136	0	145	67	102	0	0	11	0	163	0	18	0	0	0	0	0	0	33	30	748	7	0	0	6	5	0	0	0	42	74	0	0	0	289	463	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1051	13	0	0	78	16	0	1148	3427	163	50	0	5	33	1063	156	85	0	52	1201	228	0	0	0	0	63	72	0	2930	1088	46	8	32	57	0	34	168	0	188	267	278	0	35	30	0	0	0	103	0	0	59	0	282	0	85	76	350	772	26	0	39	0	11	0	0	0	0	0	0	0	0	0	497	32	63	0	390	1324	447	0	0	0	3841	0	0	27
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	17	50	0	0	0	0	0	0	37	0	20	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria	0	0	0	0	6	0	0	0	0	1215	0	0	0	0	0	0	0	89	0	463	77	316	173	75	0	39	0	11	0	94	0	0	55	0	0	7	0	0	0	0	0	0	0	5	9	3	32	0	0	2	5	0	0	6	0	0	0	11	0	15	1204	0	0	0	0	0	0	9	155	0	0	0	0	0	4718	0	326	23	0	55	0	189	0	329	0	0	310	0	0	0	0	347	615	81	29	284	146	37	0	312	131	18316	18	1053	52	1764	146	6389	0	38	124	17	134	19	344	1012	17	182	32	0	121	0	21	643	1627	509	209	0	121	361	0	137	0	669	451	13	0	0	0	0	0	117	24	60	287	1023	0	13	411	0	396	397	395	197	1903	0	0	25	0	0	0	0	93	0	622	41	46	626	0	0	66	0	0	33	2498	178	0	25	4938	0	1092	0	101	0	0	0	0	0	0	56	0	0	60	29	0	0	0	474	0	30	18	12	13	0	436	71	33	96	0	42	0	58	71	38	1567	0	2102	0	641	0	11	396	172	0	582	22	4627	12	0	0	35	0	0	6	0	0	0	2206	107	57	589	0	0	0	0	650	49	338	11401	0	0	0	0	0	0	0	8	0	0	0	106	337	0	16	0	0	42	0	12	1829	0	284	0	122	0	0	145	0	90	0	0	0	0	0	0	854	0	0	0	619	87	251	0	575	0	0	0	0	0	0	0	6	5	0	53	0	360	0	72	520	0	0	976	0	0	0	0	1335	77	0	0	0	0	1475	0	0	209	0	26	748	0	62	0	81	658	0	0	0	5	0	0	0	7	0	9	0	72	0	40	41	4694	0	188	75	2175	321	2529	239	0	95	491	229	9	64	0	0	184	0	310	0	193	23	0	154	0	0	305	77	0	0	85	80	0	0	0	0	0	352	0	0	0	0	0	0	0	985	0	56	67	80	0	0	67	34	0	9	0	0	1763	0	0	0
