group	sample	color
group1	Accipiter_cooperii	green
group1	Aceros_corrugatus	green
group1	Acrocephalus_arundinaceus	green
group1	Acrocephalus_cinnamomeus	green
group1	Actitis_hypoleucos	green
group1	Actitis_macularia	green
group1	Aegolius_acadicus	green
group1	Aethia_pygmaea	green
group1	Agelaius_phoeniceus	green
group1	Alauda_arvensis	green
group1	Alisterus_scapularis	green
group1	Amaurornis_phoenicurus	green
group1	Amazilia_tzacatl	green
group1	Amazonetta_brasiliensis	green
group1	Amblycercus_holosericeus	green
group1	Ammodramus_bairdii	green
group1	Anas_aucklandica	green
group1	Anas_crecca	green
group1	Anas_flavirostris	green
group1	Anas_rhynchotis	green
group1	Anser_caerulescens	green
group1	Anthreptes_collaris	green
group1	Anthropoides_paradiseus	green
group1	Anthus_novaeseelandiae	green
group1	Aplonis_panayensis	green
group1	Apteryx_australis	green
group1	Ara_chloropterus	green
group1	Ardea_herodias	green
group1	Ardeotis_kori	green
group1	Arenaria_interpres	green
group1	Artamus_leucorhynchus	green
group1	Athene_cunicularia	green
group1	Aythya_fuligula	green
group1	Batis_capensis	green
group1	Batrachostomus_javensis	green
group1	Bombycilla_garrulus	green
group1	Bonasa_umbellus	green
group1	Branta_canadensis	green
group1	Bubo_lacteus	green
group1	Bubulcus_ibis	green
group1	Bucephala_clangula	green
group1	Buceros_hydrocorax	green
group1	Buteo_lagopus	green
group1	Butorides_striata	green
group1	Cacatua_galerita	green
group1	Cacomantis_merulinus	green
group1	Calcarius_lapponicus	green
group1	Calcarius_ornatus	green
group1	Calidris_mauri	green
group1	Calidris_ptilocnemis	green
group1	Calidris_pugnax	green
group1	Calidris_pusilla	green
group1	Calidris_ruficollis	green
group1	Camaroptera_brachyura	green
group1	Camaroptera_brevicaudata	green
group1	Caprimulgus_macrurus	green
group1	Caprimulgus_pectoralis	green
group1	Cardinalis_cardinalis	green
group1	Cariama_cristata	green
group1	Casuarius_casuarius	green
group1	Catharus_ustulatus	green
group1	Centropus_senegalensis	green
group1	Centropus_superciliosus	green
group1	Centropus_unirufus	green
group1	Cercomela_familiaris	green
group1	Certhia_americana	green
group1	Ceyx_erithaca	green
group1	Ceyx_pictus	green
group1	Charadrius_mongolus	green
group1	Charadrius_obscurus	green
group1	Charadrius_vociferus	green
group1	Chauna_torquata	green
group1	Chiroxiphia_lanceolata	green
group1	Chloephaga_picta	green
group1	Chloroceryle_aenea	green
group1	Chloropsis_palawanensis	green
group1	Chondestes_grammacus	green
group1	Chordeiles_minor	green
group1	Chrysolophus_pictus	green
group1	Cinclus_mexicanus	green
group1	Cinnyricinclus_leucogaster	green
group1	Circus_cyaneus	green
group1	Cisticola_erythrops	green
group1	Cistothorus_palustris	green
group1	Claravis_pretiosa	green
group1	Collocalia_esculenta	green
group1	Columba_livia	green
group1	Columbina_passerina	green
group1	Columbina_talpacoti	green
group1	Copsychus_mindanensis	green
group1	Coracina_pectoralis	green
group1	Coracina_striata	green
group1	Coragyps_atratus	green
group1	Corvus_corax	green
group1	Corvus_splendens	green
group1	Crax_alberti	green
group1	Crotophaga_sulcirostris	green
group1	Cyanoramphus_unicolor	green
group1	Cygnus_buccinator	green
group1	Dacelo_novaeguineae	green
group1	Dendragapus_fuliginosus	green
group1	Dendrocygna_viduata	green
group1	Dicaeum_trigonostigma	green
group1	Dicrurus_hottentottus	green
group1	Dinemellia_dinemelli	green
group1	Dromaius_novaehollandiae	green
group1	Dryocopus_pileatus	green
group1	Dryoscopus_cubla	green
group1	Ducula_bicolor	green
group1	Elaenia_frantzii	green
group1	Emberiza_rutila	green
group1	Empidonax_alnorum	green
group1	Eremophila_alpestris	green
group1	Estrilda_astrild	green
group1	Estrilda_melanotis	green
group1	Eudromia_elegans	green
group1	Eudyptula_minor	green
group1	Eumyias_panayensis	green
group1	Euphagus_cyanocephalus	green
group1	Euphonia_fulvicrissa	green
group1	Euplectes_capensis	green
group1	Falco_peregrinus	green
group1	Falco_subbuteo	green
group1	Fratercula_cirrhata	green
group1	Fregata_minor	green
group1	Fringilla_montifringilla	green
group1	Fulica_armillata	green
group1	Fulmarus_glacialis	green
group1	Gallinago_gallinago	green
group1	Gallirallus_australis	green
group1	Gallirallus_torquatus	green
group1	Gallus_gallus	green
group1	Garrulax_leucolophus	green
group1	Gavia_immer	green
group1	Geopelia_cuneata	green
group1	Geospiza_difficilis	green
group1	Gerygone_sulphurea	green
group1	Glareola_pratincola	green
group1	Glaucidium_perlatum	green
group1	Glyphorynchus_spirurus	green
group1	Goura_victoria	green
group1	Grus_americana	green
group1	Guira_guira	green
group1	Gymnocichla_nudiceps	green
group1	Habia_fuscicauda	green
group1	Halcyon_coromanda	green
group1	Halcyon_malimbica	green
group1	Haliastur_indus	green
group1	Henicorhina_leucosticta	green
group1	Hieraaetus_wahlbergi	green
group1	Himantopus_himantopus	green
group1	Hirundo_rustica	green
group1	Histrionicus_histrionicus	green
group1	Hymenolaimus_malacorhynchos	green
group1	Hypargos_niveoguttatus	green
group1	Hypocryptadius_cinnamomeus	green
group1	Icteria_virens	green
group1	Icterus_galbula	green
group1	Icterus_spurius	green
group1	Indicator_variegatus	green
group1	Ixobrychus_sturmii	green
group1	Ixos_philippinus	green
group1	Lagonosticta_rhodopareia	green
group1	Lagonosticta_rubricata	green
group1	Lagopus_lagopus	green
group1	Lagopus_muta	green
group1	Lamprotornis_chalybaeus	green
group1	Laniarius_ferrugineus	green
group1	Lanius_collurio	green
group1	Lanius_cristatus	green
group1	Lanius_excubitor	green
group1	Larus_canus	green
group1	Larus_dominicanus	green
group1	Larus_hyperboreus	green
group1	Leptotila_verreauxi	green
group1	Limnodromus_scolopaceus	green
group1	Limosa_lapponica	green
group1	Lonchura_fringilloides	green
group1	Lonchura_leucogastra	green
group1	Loriculus_philippensis	green
group1	Loxia_leucoptera	green
group1	Macronous_striaticeps	green
group1	Malacoptila_panamensis	green
group1	Megalurus_palustris	green
group1	Melopsittacus_undulatus	green
group1	Melospiza_melodia	green
group1	Merganetta_armata	green
group1	Mergellus_albellus	green
group1	Mergus_serrator	green
group1	Merops_apiaster	green
group1	Merops_boehmi	green
group1	Merops_pusillus	green
group1	Metriopelia_melanoptera	green
group1	Mionectes_oleagineus	green
group1	Molothrus_ater	green
group1	Morus_bassanus	green
group1	Motacilla_tschutschensis	green
group1	Muscicapa_adusta	green
group1	Muscicapa_caerulescens	green
group1	Muscicapa_striata	green
group1	Myiarchus_crinitus	green
group1	Myiarchus_tuberculifer	green
group1	Myiodynastes_maculatus	green
group1	Myrmeciza_exsul	green
group1	Myrmecocichla_formicivora	green
group1	Necrosyrtes_monachus	green
group1	Nestor_meridionalis	green
group1	Nestor_notabilis	green
group1	Netta_peposaca	green
group1	Ninox_novaeseelandiae	green
group1	Nonnula_frontalis	green
group1	Nothura_maculosa	green
group1	Numenius_phaeopus	green
group1	Oenanthe_oenanthe	green
group1	Onychoprion_aleuticus	green
group1	Onychorhynchus_coronatus	green
group1	Oxyura_jamaicensis	green
group1	Pachycephala_philippinensis	green
group1	Parkesia_noveboracensis	green
group1	Passer_domesticus	green
group1	Passer_griseus	green
group1	Pavo_cristatus	green
group1	Phaenicophaeus_curvirostris	green
group1	Phalacrocorax_punctatus	green
group1	Phapitreron_amethystinus	green
group1	Pheucticus_chrysogaster	green
group1	Pheucticus_melanocephalus	green
group1	Philydor_fuscipenne	green
group1	Phoebastria_immutabilis	green
group1	Phoenicopterus_chilensis	green
group1	Phoenicopterus_ruber	green
group1	Phyllastrephus_cerviniventris	green
group1	Picoides_pubescens	green
group1	Picoides_villosus	green
group1	Pinicola_enucleator	green
group1	Platalea_ajaja	green
group1	Plectrophenax_nivalis	green
group1	Plegadis_chihi	green
group1	Plocepasser_mahali	green
group1	Ploceus_ocularis	green
group1	Ploceus_velatus	green
group1	Pluvialis_fulva	green
group1	Pluvialis_squatarola	green
group1	Podargus_strigoides	green
group1	Polyplectron_napoleonis	green
group1	Porphyrio_hochstetteri	green
group1	Prosthemadera_novaeseelandiae	green
group1	Psarocolius_decumanus	green
group1	Psittacus_erithacus	green
group1	Pycnonotus_barbatus	green
group1	Pycnonotus_goiavier	green
group1	Pygoscelis_adeliae	green
group1	Pytilia_afra	green
group1	Pytilia_melba	green
group1	Rallus_limicola	green
group1	Ramphastos_toco	green
group1	Ramphocelus_carbo	green
group1	Recurvirostra_novaehollandiae	green
group1	Regulus_satrapa	green
group1	Rhea_americana	green
group1	Rhipidura_javanica	green
group1	Rhodostethia_rosea	green
group1	Rhyticeros_undulatus	green
group1	Rollandia_rolland	green
group1	Saltator_maximus	green
group1	Sarcoramphus_papa	green
group1	Sarkidiornis_melanotos	green
group1	Sclerurus_guatemalensis	green
group1	Seicercus_borealis	green
group1	Seiurus_aurocapilla	green
group1	Serinus_canicollis	green
group1	Setophaga_ruticilla	green
group1	Sheppardia_sharpei	green
group1	Sitta_canadensis	green
group1	Sitta_frontalis	green
group1	Somateria_mollissima	green
