Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Seicercus_borealis	-3.041	-5.484	-3.675	-3.087	-9.398	-2.133	-6.979	-4.647	-9.398	-0.491	-2.476	-3.104	-4.953	-11.418
Garrulax_leucolophus	-7.911	-11.418	-8.449	-8.719	-11.418	-0.157	-9.692	-7.911	-11.418	-2.303	-3.247	-6.193	-5.773	-9.092
Macronous_striaticeps	-4.158	-5.703	-3.291	-5.217	-11.418	-1.706	-9.078	-8.13	-9.334	-0.656	-7.37	-7.652	-4.891	-1.474
Hypocryptadius_cinnamomeus	-4.079	-4.528	-3.917	-4.293	-6.953	-1.25	-3.823	-4.868	-2.932	-0.716	-9.157	-3.701	-4.361	-3.161
Sylvia_borin	-3.162	-4.34	-3.106	-2.875	-10.303	-1.166	-5.96	-2.419	-6.3	-2.017	-7.025	-1.91	-3.635	-2.039
Camaroptera_brachyura	-2.928	-5.737	-2.167	-3.687	-11.418	-0.628	-5.11	-3.614	-6.524	-2.596	-7.082	-2.121	-3.262	-6.162
Camaroptera_brevicaudata	-2.916	-6.175	-2.264	-3.481	-9.275	-2.576	-7.866	-1.286	-8.109	-2.734	-11.418	-1.017	-3.753	-5.149
Cisticola_erythrops	-1.967	-5.017	-2.799	-2.645	-11.418	-1.426	-7.369	-1.885	-5.166	-2.588	-7.169	-1.662	-2.859	-9.033
Ixos_philippinus	-5.381	-7.009	-5.793	-1.399	-11.418	-2.899	-9.688	-7.466	-1.197	-1.349	-8.884	-6.508	-7.161	-2.08
Pycnonotus_barbatus	-3.14	-4.109	-3.856	-3.05	-4.976	-0.599	-3.162	-3.376	-6.025	-1.985	-8.387	-2.712	-3.421	-8.598
Pycnonotus_goiavier	-3.398	-6.776	-4.138	-1.322	-11.418	-2.68	-7.804	-4.117	-7.486	-1.323	-7.732	-1.261	-3.076	-7.335
Phyllastrephus_cerviniventris	-2.445	-4.919	-1.903	-2.219	-7.707	-3.236	-5.542	-1.882	-2.386	-1.805	-5.249	-1.947	-3.05	-7.582
Tachycineta_bicolor	-6.279	-3.342	-7.469	-5.302	-11.418	-4.481	-8.53	-4.532	-6.154	-0.812	-5.832	-4.465	-4.765	-0.764
Hirundo_rustica	-2.433	-2.243	-2.715	-1.653	-2.631	-3.157	-6.661	-5.525	-7.488	-1.23	-9.155	-2.033	-6.151	-5.915
Acrocephalus_arundinaceus	-3.113	-11.418	-5.645	-3.611	-8.96	-0.339	-11.418	-1.883	-5.286	-4.082	-9.571	-3.593	-4.554	-9.571
Acrocephalus_cinnamomeus	-6.641	-11.418	-5.494	-5.92	-11.418	-0.187	-11.418	-2.532	-11.418	-3.255	-9.824	-3.895	-4.451	-4.384
Megalurus_palustris	-7.678	-5.502	-6.139	-0.127	-8.995	-3.113	-7.46	-8.62	-8.995	-3.289	-5.435	-3.687	-7.46	-11.418
Alauda_arvensis	-6.197	-4.19	-6.197	-5.293	-9.138	-0.03	-6.673	-9.138	-11.418	-6.064	-7.153	-8.111	-8.498	-8.498
Eremophila_alpestris	-3.087	-3.734	-6.327	-0.981	-5.064	-2.739	-3.682	-6.226	-6.441	-3.162	-1.333	-3.208	-5.269	-2.279
Ramphocelus_carbo	-1.84	-6.176	-3.314	-5.626	-8.383	-0.558	-11.418	-5.221	-11.418	-2.017	-9.635	-4.341	-2.587	-11.418
Saltator_maximus	-6.708	-2.655	-4.341	-1.913	-6.573	-0.705	-2.681	-6.399	-2.537	-5.487	-11.418	-7.121	-5.783	-2.161
Geospiza_difficilis	-2.595	-4.251	-3.655	-3.545	-6.704	-0.892	-7.373	-4.955	-9.912	-1.351	-6.056	-4.255	-2.098	-3.23
Cardinalis_cardinalis	-4.317	-4.717	-6.548	-4.351	-11.418	-2.849	-11.418	-5.384	-0.831	-0.81	-11.418	-5.036	-4.591	-5.53
Habia_fuscicauda	-2.79	-6.467	-5.296	-4.82	-5.904	-1.126	-10.081	-7.324	-1.207	-1.255	-9.529	-5.7	-4.76	-9.175
Pheucticus_chrysogaster	-4.734	-3.163	-4.128	-2.249	-3.525	-0.542	-6.815	-6.935	-7.072	-1.875	-7.789	-3.092	-4.238	-11.418
Pheucticus_melanocephalus	-2.28	-5.717	-3.526	-0.384	-11.418	-3.44	-11.418	-4.056	-2.745	-4.015	-8.441	-6.09	-3.002	-11.418
Agelaius_phoeniceus	-3.229	-5.73	-6.592	-3.029	-6.792	-2.781	-7.142	-3.606	-6.499	-1.321	-1.136	-2.625	-3.877	-2.011
