Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Seicercus_borealis	1.979	-0.464	1.345	1.933	-4.39	2.888	-1.96	0.373	-4.39	4.529	2.544	1.917	0.067	-6.493
Garrulax_leucolophus	-0.507	-4.106	-1.046	-1.318	-4.106	7.25	-2.301	-0.507	-4.106	5.104	4.16	1.213	1.634	-1.693
Macronous_striaticeps	1.561	0.017	2.429	0.503	-5.793	4.014	-3.367	-2.414	-3.626	5.064	-1.652	-1.934	0.829	4.246
Hypocryptadius_cinnamomeus	0.045	-0.404	0.207	-0.169	-2.83	2.875	0.301	-0.744	1.193	3.408	-5.042	0.424	-0.237	0.964
Sylvia_borin	0.857	-0.322	0.912	1.143	-6.315	2.852	-1.942	1.599	-2.282	2.001	-3.007	2.108	0.384	1.98
Camaroptera_brachyura	1.575	-1.234	2.335	0.816	-7.01	3.875	-0.607	0.889	-2.022	1.906	-2.581	2.381	1.241	-1.66
Camaroptera_brevicaudata	1.942	-1.317	2.595	1.377	-4.427	2.283	-3.01	3.572	-3.254	2.125	-6.654	3.842	1.105	-0.291
Cisticola_erythrops	2.533	-0.517	1.701	1.855	-7.013	3.074	-2.871	2.615	-0.666	1.912	-2.671	2.838	1.641	-4.541
Ixos_philippinus	0.207	-1.422	-0.206	4.189	-5.925	2.689	-4.116	-1.88	4.391	4.239	-3.303	-0.921	-1.574	3.508
Pycnonotus_barbatus	0.96	-0.01	0.243	1.05	-0.876	3.501	0.937	0.724	-1.926	2.115	-4.292	1.388	0.679	-4.504
Pycnonotus_goiavier	1.593	-1.786	0.852	3.668	-6.523	2.311	-2.816	0.873	-2.498	3.667	-2.744	3.73	1.915	-2.346
Phyllastrephus_cerviniventris	1.26	-1.214	1.803	1.486	-4.004	0.469	-1.837	1.824	1.32	1.9	-1.544	1.758	0.655	-3.879
Tachycineta_bicolor	-0.983	1.954	-2.175	-0.006	-6.217	0.815	-3.239	0.764	-0.859	4.484	-0.536	0.831	0.531	4.532
Hirundo_rustica	1.781	1.971	1.499	2.561	1.582	1.057	-2.449	-1.312	-3.276	2.984	-4.951	2.18	-1.938	-1.702
Acrocephalus_arundinaceus	2.819	-5.581	0.286	2.321	-3.036	5.593	-5.581	4.049	0.646	1.849	-3.654	2.338	1.378	-3.654
Acrocephalus_cinnamomeus	-0.052	-4.923	1.095	0.67	-4.923	6.402	-4.923	4.058	-4.923	3.335	-3.253	2.694	2.138	2.206
Megalurus_palustris	-1.4	0.778	0.141	6.153	-2.724	3.167	-1.181	-2.346	-2.724	2.991	0.844	2.592	-1.181	-5.233
Alauda_arvensis	0.703	2.71	0.703	1.606	-2.248	6.87	0.226	-2.248	-4.613	0.836	-0.254	-1.214	-1.603	-1.603
Eremophila_alpestris	0.737	0.089	-2.504	2.843	-1.24	1.084	0.142	-2.403	-2.618	0.662	2.491	0.616	-1.446	1.545
Ramphocelus_carbo	4.156	-0.18	2.682	0.37	-2.391	5.438	-5.516	0.775	-5.516	3.98	-3.653	1.655	3.409	-5.516
