feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8
t10	-1.501	0.713	0.841	1.93	-0.943	0.169	0.127	-1.338
t8	-1.901	1.12	0.752	1.864	-1.309	1.026	-0.052	-1.501
t6	-2.435	1.226	0.943	1.792	-1.318	0.916	-0.046	-1.078
t3	-1.948	1.077	0.92	1.782	-0.803	0.609	0.265	-1.903
t9	-1.402	0.89	0.721	1.652	-1.211	1.023	-0.167	-1.507
t4	-0.339	1.564	0.65	1.717	-1.364	0.463	-0.543	-2.148
t2	-1.725	1.385	0.577	1.842	-0.945	0.732	0.081	-1.946
t1	-1.915	0.856	1.224	1.869	-1.172	0.187	0.459	-1.508
t5	-2.095	0.61	0.697	1.74	-0.934	1.294	0.25	-1.562
t7	-2.825	0.684	1.193	2.358	-0.496	0.222	0.367	-1.505
