feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8
t10	-3.46	-2.327	-1.877	-0.618	-3.424	-3.213	-2.507	-3.703
t8	-5.101	-1.593	-2.294	-1.055	-4.607	-1.293	-3.147	-4.257
t6	-6.392	-1.349	-1.844	-1.252	-4.582	-1.586	-3.103	-3.352
t3	-5.197	-1.508	-1.735	-1.117	-3.33	-2.081	-2.284	-4.948
t9	-2.663	-1.534	-2.336	-1.32	-4.125	-1.236	-3.424	-4.469
t4	-1.262	-0.823	-3.122	-1.813	-5.018	-2.922	-4.754	-6.356
t2	-3.395	-0.807	-2.917	-1.255	-3.937	-2.108	-3.307	-5.662
t1	-5.799	-2.832	-1.199	-0.911	-3.955	-3.414	-1.773	-4.394
t5	-6.651	-3.36	-1.887	-0.786	-3.185	-1.793	-1.989	-4.422
t7	-7.7	-3.626	-1.743	-0.523	-3.097	-3.176	-2.213	-4.706
