feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8
t10	-0.819	0.314	0.764	2.023	-0.783	-0.572	0.134	-1.062
t8	-2.182	1.325	0.624	1.863	-1.689	1.625	-0.229	-1.338
t6	-3.46	1.583	1.088	1.68	-1.649	1.347	-0.17	-0.42
t3	-2.422	1.267	1.04	1.658	-0.555	0.694	0.491	-2.173
t9	-0.024	1.104	0.302	1.318	-1.487	1.403	-0.786	-1.83
t4	1.997	2.436	0.137	1.446	-1.76	0.337	-1.495	-3.098
t2	-0.471	2.117	0.006	1.668	-1.014	0.816	-0.383	-2.739
t1	-2.765	0.202	1.836	2.124	-0.92	-0.379	1.262	-1.359
t5	-3.643	-0.351	1.122	2.223	-0.176	1.216	1.02	-1.413
t7	-4.354	-0.278	1.605	2.825	0.251	0.172	1.135	-1.358
