feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8
t10	0.031	0.098	0.153	0.539	0.033	0.04	0.081	0.025
t8	0.006	0.203	0.101	0.348	0.01	0.274	0.043	0.014
t6	0.002	0.259	0.158	0.286	0.01	0.205	0.045	0.035
t3	0.006	0.221	0.176	0.327	0.036	0.125	0.102	0.007
t9	0.07	0.216	0.097	0.267	0.016	0.291	0.033	0.011
t4	0.283	0.439	0.044	0.163	0.007	0.054	0.009	0.002
t2	0.034	0.446	0.054	0.285	0.02	0.121	0.037	0.003
t1	0.003	0.059	0.302	0.402	0.019	0.033	0.17	0.012
t5	0.001	0.035	0.152	0.456	0.041	0.166	0.137	0.012
t7	0	0.027	0.175	0.593	0.045	0.042	0.109	0.009
