captive	diet	realm	flight
Alouatta_caraya	captive_wild	Plants	Neotropic	flightless
Lagothrix_lagotricha	wild	Fruits	Neotropic	flightless
Pan_troglodytes	wild	Fruits	Afrotropical	flightless
Theropithecus_gelada	wild	Plants	Afrotropical	flightless
Alouatta_pigra	captive_wild	Plants	Nearctic	flightless
Papio_hamadryas	wild	Plants	Afrotropical	flightless
Colobus_guereza	captive_wild	Plants	Afrotropical	flightless
Alouatta_palliata	wild	Plants	Neotropic	flightless
Papio_anubis	wild	Meat	Afrotropical	flightless
Eulemur_rubriventer	wild	Plants	Afrotropical	flightless
Cercopithecus_ascanius	captive_wild	Fruits	Afrotropical	flightless
Lemur_catta	captive_wild	Fruits	Afrotropical	flightless
Alouatta_seniculus	wild	Plants	Neotropic	flightless
Propithecus_verreauxi	wild	Plants	Afrotropical	flightless
Gorilla_gorilla	captive_wild	Plants	Afrotropical	flightless
Piliocolobus_badius	wild	Plants	Afrotropical	flightless
Ateles_hybridus	wild	Fruits	Neotropic	flightless
Ateles_belzebuth	wild	Fruits	Neotropic	flightless
Cinnyricinclus_leucogaster	captive	Fruits	Nearctic	flighted
Colobus_angolensis	captive	Plants	Nearctic	flightless
Varecia_variegata	captive	Fruits	Nearctic	flightless
Halcyon_malimbica	captive	Invertebrates	Nearctic	flighted
Tragelaphus_eurycerus	captive	Plants	Nearctic	flightless
Pongo_pygmaeus	captive	Fruits	Nearctic	flightless
Melopsittacus_undulatus	captive	Plants	Nearctic	flighted
Speothos_venaticus	captive	Meat	Nearctic	flightless
Casuarius_casuarius	captive	Fruits	Nearctic	flightless
Phoenicopterus_chilensis	captive	Invertebrates	Nearctic	flighted
Chinchilla_lanigera	captive	Plants	Nearctic	flightless
Tyto_alba	captive_wild	Meat	Oriental	flighted
Psittacus_erithacus	captive	Fruits	Australasian	flighted
Diceros_bicornis	captive_wild	Plants	Afrotropical	flightless
Giraffa_camelopardalis	captive_wild	Plants	Afrotropical	flightless
Leontopithecus_rosalia	captive	Fruits	Nearctic	flightless
Chrysolophus_pictus	captive	Plants	Nearctic	flighted
Choloepus_hoffmanni	captive	Plants	Nearctic	flightless
Necrosyrtes_monachus	captive	Meat	Nearctic	flighted
Sarcoramphus_papa	captive	Meat	Nearctic	flighted
Potos_flavus	captive_wild	Fruits	Palearctic	flightless
