Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Seicercus_borealis	0.214	3.252	0.385	4.181	0.195	1.35	-1.191	-0.105	-1.38	1.773	-3.252	0.017	-1.458	-3.85
Garrulax_leucolophus	0.021	2.694	0.186	3.892	0.258	1.72	-1.23	-0.189	-1.355	1.823	-3.135	-0.033	-1.325	-3.474
Macronous_striaticeps	0.186	3.38	0.473	4.069	0.07	1.436	-1.348	-0.384	-1.305	1.819	-3.545	-0.271	-1.397	-2.959
Hypocryptadius_cinnamomeus	0.065	3.295	0.29	4.002	0.396	1.339	-0.948	-0.216	-0.813	1.658	-3.781	-0.093	-1.492	-3.242
Sylvia_borin	0.129	3.303	0.348	4.127	0.014	1.339	-1.192	0.019	-1.17	1.522	-3.638	0.033	-1.436	-3.153
Camaroptera_brachyura	0.18	3.158	0.456	4.086	-0.051	1.435	-1.038	-0.086	-1.14	1.528	-3.601	0.045	-1.364	-3.452
Camaroptera_brevicaudata	0.21	3.143	0.478	4.142	0.246	1.293	-1.312	0.195	-1.272	1.551	-3.89	0.156	-1.376	-3.331
Cisticola_erythrops	0.257	3.267	0.407	4.185	-0.051	1.364	-1.29	0.099	-1.007	1.527	-3.61	0.082	-1.327	-3.698
Ixos_philippinus	0.076	3.124	0.259	4.392	0.043	1.335	-1.422	-0.332	-0.52	1.747	-3.656	-0.196	-1.605	-3.007
Pycnonotus_barbatus	0.134	3.374	0.295	4.084	0.612	1.408	-0.873	-0.077	-1.15	1.536	-3.725	-0.027	-1.412	-3.689
Pycnonotus_goiavier	0.186	3.035	0.346	4.348	-0.049	1.301	-1.308	-0.061	-1.212	1.696	-3.615	0.151	-1.298	-3.497
Phyllastrephus_cerviniventris	0.159	3.155	0.421	4.138	0.248	1.145	-1.179	0.034	-0.829	1.522	-3.534	0.004	-1.408	-3.636
Tachycineta_bicolor	-0.017	3.546	0.102	3.997	-0.031	1.18	-1.321	-0.06	-1.026	1.769	-3.463	-0.065	-1.41	-2.926
Hirundo_rustica	0.203	3.548	0.403	4.246	0.83	1.201	-1.234	-0.271	-1.275	1.621	-3.773	0.037	-1.631	-3.465
Acrocephalus_arundinaceus	0.285	2.609	0.299	4.216	0.344	1.565	-1.543	0.228	-0.857	1.517	-3.682	0.044	-1.35	-3.623
Acrocephalus_cinnamomeus	0.054	2.728	0.367	4.052	0.127	1.637	-1.468	0.229	-1.45	1.668	-3.653	0.071	-1.281	-3.107
Megalurus_palustris	-0.048	3.488	0.289	4.572	0.367	1.366	-1.094	-0.383	-1.214	1.63	-3.369	0.065	-1.569	-3.746
Alauda_arvensis	0.115	3.673	0.346	4.141	0.376	1.694	-0.996	-0.327	-1.394	1.447	-3.454	-0.21	-1.59	-3.449
