Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Seicercus_borealis	0.048	0.004	0.025	0.046	0	0.119	0.001	0.01	0	0.612	0.084	0.045	0.007	0
Garrulax_leucolophus	0	0	0	0	0	0.855	0	0	0	0.1	0.039	0.002	0.003	0
Macronous_striaticeps	0.016	0.003	0.037	0.005	0	0.182	0	0	0	0.519	0.001	0	0.008	0.229
Hypocryptadius_cinnamomeus	0.017	0.011	0.02	0.014	0.001	0.287	0.022	0.008	0.053	0.489	0	0.025	0.013	0.042
Sylvia_borin	0.042	0.013	0.045	0.056	0	0.312	0.003	0.089	0.002	0.133	0.001	0.148	0.026	0.13
Camaroptera_brachyura	0.054	0.003	0.114	0.025	0	0.534	0.006	0.027	0.001	0.075	0.001	0.12	0.038	0.002
Camaroptera_brevicaudata	0.054	0.002	0.104	0.031	0	0.076	0	0.276	0	0.065	0	0.362	0.023	0.006
Cisticola_erythrops	0.14	0.007	0.061	0.071	0	0.24	0.001	0.152	0.006	0.075	0.001	0.19	0.057	0
Ixos_philippinus	0.005	0.001	0.003	0.247	0	0.055	0	0.001	0.302	0.26	0	0.001	0.001	0.125
Pycnonotus_barbatus	0.043	0.016	0.021	0.047	0.007	0.549	0.042	0.034	0.002	0.137	0	0.066	0.033	0
Pycnonotus_goiavier	0.033	0.001	0.016	0.267	0	0.069	0	0.016	0.001	0.266	0	0.283	0.046	0.001
Phyllastrephus_cerviniventris	0.087	0.007	0.149	0.109	0	0.039	0.004	0.152	0.092	0.164	0.005	0.143	0.047	0.001
Tachycineta_bicolor	0.002	0.035	0.001	0.005	0	0.011	0	0.011	0.002	0.444	0.003	0.012	0.009	0.466
Hirundo_rustica	0.088	0.106	0.066	0.191	0.072	0.043	0.001	0.004	0.001	0.292	0	0.131	0.002	0.003
Acrocephalus_arundinaceus	0.044	0	0.004	0.027	0	0.713	0	0.152	0.005	0.017	0	0.028	0.011	0
Acrocephalus_cinnamomeus	0.001	0	0.004	0.003	0	0.829	0	0.08	0	0.039	0	0.02	0.012	0.012
Megalurus_palustris	0	0.004	0.002	0.881	0	0.044	0.001	0	0	0.037	0.004	0.025	0.001	0
Alauda_arvensis	0.002	0.015	0.002	0.005	0	0.971	0.001	0	0	0.002	0.001	0	0	0
Eremophila_alpestris	0.046	0.024	0.002	0.375	0.006	0.065	0.025	0.002	0.002	0.042	0.264	0.04	0.005	0.102
Ramphocelus_carbo	0.159	0.002	0.036	0.004	0	0.572	0	0.005	0	0.133	0	0.013	0.075	0
Saltator_maximus	0.001	0.07	0.013	0.148	0.001	0.494	0.068	0.002	0.079	0.004	0	0.001	0.003	0.115
Geospiza_difficilis	0.075	0.014	0.026	0.029	0.001	0.41	0.001	0.007	0	0.259	0.002	0.014	0.123	0.04
Cardinalis_cardinalis	0.013	0.009	0.001	0.013	0	0.058	0	0.005	0.436	0.445	0	0.006	0.01	0.004
Habia_fuscicauda	0.061	0.002	0.005	0.008	0.003	0.324	0	0.001	0.299	0.285	0	0.003	0.009	0
Pheucticus_chrysogaster	0.009	0.042	0.016	0.105	0.029	0.582	0.001	0.001	0.001	0.153	0	0.045	0.014	0
Pheucticus_melanocephalus	0.102	0.003	0.029	0.681	0	0.032	0	0.017	0.064	0.018	0	0.002	0.05	0
Agelaius_phoeniceus	0.04	0.003	0.001	0.048	0.001	0.062	0.001	0.027	0.002	0.267	0.321	0.072	0.021	0.134
Euphagus_cyanocephalus	0.029	0.001	0.002	0.47	0.01	0.201	0.001	0.002	0	0.259	0.001	0.019	0.005	0
Molothrus_ater	0.004	0	0.002	0.475	0.028	0.003	0	0.02	0.015	0.365	0	0.002	0.007	0.077
Amblycercus_holosericeus	0.092	0.001	0.046	0.038	0.002	0.319	0	0.002	0	0.469	0.001	0.003	0.028	0
Icterus_galbula	0.001	0.001	0.005	0.556	0	0.022	0	0	0	0.348	0	0.068	0	0
Icterus_spurius	0.002	0.009	0	0.008	0.001	0.314	0	0.003	0	0.023	0.316	0.013	0.037	0.273
Psarocolius_decumanus	0.158	0.007	0.082	0.068	0.001	0.105	0	0.001	0.003	0.444	0.002	0.029	0.1	0
Xanthocephalus_xanthocephalus	0.608	0.018	0.013	0.11	0.035	0.053	0	0.007	0.003	0.033	0.001	0.038	0.042	0.041
Sturnella_neglecta	0.027	0.003	0.001	0.568	0.022	0.365	0	0.001	0.001	0.004	0	0.001	0.008	0
Ammodramus_bairdii	0.012	0	0	0	0	0.021	0	0.001	0	0.46	0	0.043	0.001	0.462
Melospiza_melodia	0.148	0.009	0.023	0.073	0.001	0.051	0.005	0.006	0.005	0.197	0.35	0.08	0.037	0.016
Zonotrichia_capensis	0.283	0.03	0.066	0.101	0.134	0.112	0.013	0.011	0.001	0.002	0	0.125	0.123	0
Chondestes_grammacus	0.115	0.004	0.003	0.01	0.026	0.196	0	0.007	0.547	0.056	0	0.009	0.028	0
Emberiza_rutila	0.013	0.033	0	0.088	0.003	0.161	0.24	0.002	0.011	0.045	0.366	0.016	0.02	0.002
