feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t3	0.055	0.009	0.277	0.764	0.38	-0.079	0.4	0.133	-0.218	-0.436	0.099	-0.266	0.205	-0.528	-0.026	0.501	-0.219	0.392	-0.001	-0.529	0.367	0.012	-0.38	0.113	-0.336	0.164	-0.676	0.133	0.026	-0.318
t35	-0.171	0.189	0.276	0.564	-0.028	-0.406	-0.009	-0.026	1.455	-0.363	-0.073	-0.715	0.431	-0.195	0.172	0.628	0.389	0.477	-0.096	-0.015	0.147	-0.235	-0.443	-0.189	0.311	-0.432	-0.699	-0.152	-0.301	-0.473
t64	-0.008	0.033	0.017	-0.97	-0.034	0.119	0.099	0.05	-0.386	0.501	-0.153	-0.127	0.724	-0.278	0.978	0.229	0.234	0.29	0.06	-0.98	0.168	-0.253	-0.314	-0.039	0.212	0.271	-0.092	0.17	-0.003	-0.504
t88	-0.192	0.135	0.409	-0.748	0.222	-0.196	0.045	0.588	-0.12	0.028	0.01	-0.762	0.526	-0.126	0.429	0.154	0.1	-0.029	0.036	0.37	0.236	-0.308	-0.478	0.345	0.126	-0.18	0.044	-0.106	0.092	-0.634
t96	-0.07	0.2	0.243	0.017	-0.036	0.022	0.27	0.121	0.003	-0.575	-0.093	-0.754	0.663	-0.365	0.198	0.388	0.391	0.671	0.091	-0.518	0.185	-0.704	-0.176	0.125	0.191	0.468	-0.431	-0.02	-0.053	-0.429
t53	0.109	0.446	0.037	-0.191	-0.496	0.125	0.089	-0.089	0.444	-0.473	-0.351	-0.364	0.492	0.548	0.746	0.292	-0.08	0.25	0.062	-0.592	0.155	-0.267	-0.333	-0.111	0.245	0.526	-0.31	-0.054	-0.128	-0.714
t22	0.132	0.635	0.306	-0.855	-0.298	0.079	-0.226	0.318	-0.346	0.167	-0.504	-0.421	0.524	-0.511	1.154	0.488	0.006	0.378	-0.013	-0.506	0.126	0.158	-0.445	0.035	0.285	0.425	-0.661	0.005	-0.006	-0.423
t33	-0.151	0.112	-0.125	1.874	-0.408	0.366	0.285	1.263	-0.815	-0.225	-0.288	-0.221	0.203	0.039	0.218	0.348	-0.008	0.382	-0.148	-0.272	0.017	-0.538	-0.397	-0.135	0.014	0.16	-0.342	0.095	-0.038	-1.227
t79	0.155	0.205	0.002	0.87	0.052	0.181	0.224	0.633	-0.682	0.045	-0.73	-0.713	0.476	-0.275	1.118	0.419	0.442	-0.094	0.049	-0.459	0.287	-0.686	-0.455	0.043	-0.225	0.208	-0.239	0.072	0.191	-1.085
t4	-0.011	0.163	-0.18	-0.467	-0.206	-0.204	-0.044	0.646	0.725	0.029	-0.255	-0.155	0.43	-0.421	0.266	0.374	0.287	-0.484	0.005	0.107	0.211	-0.545	-0.427	0.201	0.115	0.251	-0.38	0.095	-0.352	0.24
t84	0.08	0.371	0.093	0.781	-0.131	0.063	0.334	0.391	-0.05	-0.545	-1.074	-0.402	0.029	0.385	0.882	0.04	-0.228	-0.271	-0.107	-0.077	0.031	-0.011	0.015	-0.286	-0.255	0.485	-0.228	-0.097	0.016	-0.21
t18	-0.245	0.528	0.105	-0.051	-0.241	0.046	0.26	0.344	-0.06	-0.653	-0.099	-0.627	-0.275	-0.965	2.112	0.455	0.142	0.295	0.078	-0.208	0.188	-0.251	-0.399	-0.158	0.079	0.013	-0.193	0.073	0.136	-0.392
t34	-0.133	1.22	0.49	0.423	0.314	0.312	-0.217	0.488	-0.393	0.142	-0.366	-0.629	0.212	-0.719	0.32	0.298	-0.004	0.214	0.12	-0.81	0.067	-1.08	-0.38	-0.074	0.1	0.819	0.17	0.164	-0.28	-0.773
t37	-0.243	0.236	0.321	1.006	-0.082	-0.196	0.042	0.061	0.146	-0.388	-0.548	-0.785	1.058	-0.44	-0.359	0.069	0.024	0.712	0.044	-0.617	0.214	-0.569	-0.067	-0.185	0.145	0.368	-0.174	0.038	-0.138	0.322
t86	0.115	-0.197	0.014	0.259	-0.218	0.005	0.168	0.025	-0.253	0.21	-0.363	-0.445	1.084	-0.612	0.664	0.092	0.274	0.002	-0.065	-0.774	0.267	-0.113	0.097	0.348	0.27	0.154	-0.169	-0.033	0.018	-0.785
t74	0.063	0.416	0.238	-0.583	-0.143	0.033	0.067	0.041	0.635	0.254	-0.075	-0.775	-0.115	0.206	0.575	0.115	0.117	0.847	0.012	-0.696	0.131	-0.178	-0.543	0.138	0.177	0.047	-0.281	0.193	0.168	-1.059
