V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
0.028	-0.002	0.002	-0.001	-0.001	-0.006	0	0.001	-0.003	-0.004	0.004	0	0.004	0.011	0.001	-0.001
-0.002	0.003	0	0.001	0.001	0.002	0	0.001	-0.002	0.001	0	0	-0.002	-0.004	-0.001	0
0.002	0	0.002	0	-0.001	-0.001	0	0	-0.001	-0.001	0.001	0	0	-0.001	0	0
-0.001	0.001	0	0.005	0	0.003	0	0	0.001	-0.001	-0.001	0	-0.003	-0.001	-0.001	0
-0.001	0.001	-0.001	0	0.017	-0.002	0.001	0.002	0	0.002	0.002	0	-0.002	-0.003	0	0.001
-0.006	0.002	-0.001	0.003	-0.002	0.028	0	0.003	-0.004	0.002	-0.003	0	-0.004	-0.01	0	0
0	0	0	0	0.001	0	0.002	0	-0.003	-0.002	0.001	0	0	-0.003	0	-0.001
0.001	0.001	0	0	0.002	0.003	0	0.003	0.001	-0.001	0.001	0	0	-0.003	-0.001	0
-0.003	-0.002	-0.001	0.001	0	-0.004	-0.003	0.001	0.023	0.002	-0.001	0	-0.002	0.003	-0.001	0.001
-0.004	0.001	-0.001	-0.001	0.002	0.002	-0.002	-0.001	0.002	0.02	-0.006	0	-0.005	0.005	0	0
0.004	0	0.001	-0.001	0.002	-0.003	0.001	0.001	-0.001	-0.006	0.006	0	0.003	-0.001	0.002	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.004	-0.002	0	-0.003	-0.002	-0.004	0	0	-0.002	-0.005	0.003	0	0.011	0.007	0	0.001
0.011	-0.004	-0.001	-0.001	-0.003	-0.01	-0.003	-0.003	0.003	0.005	-0.001	0	0.007	0.029	0.003	-0.001
0.001	-0.001	0	-0.001	0	0	0	-0.001	-0.001	0	0.002	0	0	0.003	0.005	0.001
-0.001	0	0	0	0.001	0	-0.001	0	0.001	0	0	0	0.001	-0.001	0.001	0.004
