group	sample	color
group1	t11	green
group1	t24	green
group2	t1	purple
group2	t10	purple
group2	t12	purple
group2	t13	purple
group2	t14	purple
group2	t15	purple
group2	t16	purple
group2	t17	purple
group2	t18	purple
group2	t19	purple
group2	t2	purple
group2	t20	purple
group2	t21	purple
group2	t22	purple
group2	t23	purple
group2	t25	purple
group2	t26	purple
group2	t27	purple
group2	t28	purple
group2	t29	purple
group2	t3	purple
group2	t30	purple
group2	t31	purple
group2	t32	purple
group2	t33	purple
group2	t34	purple
group2	t35	purple
group2	t36	purple
group2	t37	purple
group2	t38	purple
group2	t39	purple
group2	t4	purple
group2	t40	purple
group2	t5	purple
group2	t6	purple
group2	t7	purple
group2	t8	purple
group2	t9	purple
