group	sample	color
group1	t79	orange
group1	t4	orange
group1	t18	orange
group1	t37	orange
group1	t25	orange
group1	t44	orange
group1	t62	orange
group1	t68	orange
group1	t19	orange
group1	t42	orange
group1	t66	orange
group1	t70	orange
group1	t93	orange
group1	t92	orange
group1	t91	orange
group1	t81	orange
group1	t69	orange
group1	t90	orange
group1	t87	orange
group1	t36	orange
group1	t28	orange
group1	t24	orange
group1	t41	orange
group1	t60	orange
group1	t21	orange
group1	t16	orange
group1	t58	orange
group1	t83	orange
group1	t65	orange
group1	t71	orange
group1	t17	orange
group2	t3	blue
group2	t35	blue
group2	t64	blue
group2	t88	blue
group2	t96	blue
group2	t53	blue
group2	t22	blue
group2	t33	blue
group2	t84	blue
group2	t34	blue
group2	t86	blue
group2	t74	blue
group2	t98	blue
group2	t5	blue
group2	t85	blue
group2	t27	blue
group2	t1	blue
group2	t11	blue
group2	t67	blue
group2	t59	blue
group2	t15	blue
group2	t43	blue
group2	t8	blue
group2	t50	blue
group2	t99	blue
group2	t29	blue
group2	t45	blue
group2	t72	blue
group2	t57	blue
group2	t54	blue
group2	t46	blue
group2	t52	blue
group2	t30	blue
group2	t51	blue
group2	t82	blue
group2	t73	blue
group2	t97	blue
group2	t63	blue
group2	t89	blue
group2	t32	blue
group2	t49	blue
group2	t13	blue
group2	t56	blue
group2	t7	blue
group2	t14	blue
group2	t48	blue
group2	t77	blue
group2	t12	blue
group2	t61	blue
group2	t100	blue
group2	t26	blue
group2	t9	blue
group2	t47	blue
group2	t75	blue
group2	t39	blue
group2	t76	blue
group2	t6	blue
group2	t2	blue
group2	t31	blue
group2	t40	blue
group2	t38	blue
group2	t55	blue
group2	t80	blue
group2	t23	blue
group2	t95	blue
group2	t94	blue
group2	t10	blue
group2	t78	blue
group2	t20	blue
