feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t3	-3.507	-4.493	-3.322	-1.731	-2.38	-4.226	-2.666	-3.855	-3.537	-4.979	-2.877	-3.775	-4.098	-4.815	-5.476	-2.714	-4.821	-3.44	-3.812	-4.486	-3.005	-3.632	-4.25	-3.403	-5.052	-3.267	-5.369	-3.438	-3.526	-3.523
t35	-5.642	-5.525	-4.7	-3.13	-5.049	-6.609	-5.628	-6.098	-0.231	-6.591	-5.001	-6.46	-5.127	-4.961	-5.931	-3.883	-4.194	-4.51	-5.567	-4.383	-5.1	-5.355	-5.777	-5.687	-4.24	-6.736	-6.938	-5.808	-5.987	-5.384
t64	-3.684	-4.219	-4.129	-6.354	-3.257	-3.44	-3.623	-4.385	-4.066	-2.277	-3.796	-3.099	-2.633	-4.09	-2.192	-3.662	-2.986	-3.885	-3.525	-5.902	-3.48	-3.995	-3.551	-3.56	-2.882	-3.244	-3.492	-3.305	-3.573	-3.932
t88	-4.197	-3.872	-2.917	-5.794	-2.92	-4.44	-3.914	-2.674	-3.816	-3.705	-3.155	-5.315	-2.928	-3.447	-3.82	-3.94	-3.642	-4.421	-3.658	-1.585	-3.414	-4.662	-4.244	-2.751	-3.706	-4.565	-2.956	-4.196	-3.561	-4.474
t96	-3.927	-3.808	-3.413	-3.467	-3.751	-3.932	-3.349	-4.177	-2.614	-5.617	-3.315	-5.289	-2.226	-4.447	-4.601	-3.244	-2.642	-2.289	-3.551	-4.684	-3.545	-5.806	-3.423	-3.294	-3.659	-2.381	-4.348	-3.905	-3.944	-3.485
t53	-3.4	-3.104	-4.003	-4.185	-4.956	-3.495	-3.779	-4.645	-2.217	-5.123	-4.208	-4.171	-3.072	-1.54	-3.108	-3.404	-4.207	-3.731	-3.6	-4.38	-3.681	-4.422	-3.83	-4.056	-3.352	-2.487	-3.979	-4.024	-4.175	-4.653
t22	-3.313	-2.509	-3.281	-5.525	-4.471	-3.722	-4.804	-3.695	-3.439	-3.512	-4.445	-4.351	-2.512	-4.788	-1.897	-2.938	-3.706	-3.153	-3.855	-4.678	-3.697	-3.422	-4.246	-3.435	-3.405	-2.532	-4.969	-3.832	-3.83	-3.565
t33	-6.756	-6.262	-6.834	-0.132	-7.36	-5.768	-5.336	-2.622	-8.555	-6.67	-6.742	-5.965	-6.357	-5.85	-6.82	-5.999	-6.496	-5.366	-6.742	-6.337	-6.56	-7.054	-6.658	-6.483	-6.117	-6.184	-6.809	-5.841	-6.017	-8.921
t79	-3.815	-3.657	-3.989	-1.281	-3.896	-3.606	-3.525	-2.92	-5.058	-3.535	-5.754	-5.71	-2.71	-4.586	-2.093	-3.785	-2.988	-4.718	-3.965	-4.965	-3.53	-6.105	-4.995	-3.745	-4.866	-3.431	-4.152	-3.877	-3.388	-5.904
t4	-4.007	-3.702	-4.85	-5.148	-3.725	-4.523	-4.238	-3.177	-1.525	-3.96	-4.357	-3.424	-4.041	-4.826	-4.512	-3.523	-2.968	-6.207	-3.836	-3.016	-3.572	-4.761	-4.034	-3.157	-3.183	-3.608	-4.576	-3.744	-4.688	-1.763
