feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t3	0.276	-0.711	0.461	2.052	1.403	-0.444	1.117	-0.072	0.245	-1.197	0.905	0.007	-0.316	-1.033	-1.693	1.068	-1.039	0.342	-0.029	-0.704	0.778	0.151	-0.468	0.38	-1.27	0.516	-1.587	0.344	0.256	0.26
t35	-0.434	-0.317	0.508	2.078	0.159	-1.402	-0.42	-0.89	4.977	-1.383	0.207	-1.253	0.081	0.247	-0.723	1.325	1.014	0.697	-0.36	0.825	0.108	-0.147	-0.569	-0.48	0.968	-1.528	-1.731	-0.6	-0.779	-0.176
t64	-0.01	-0.545	-0.455	-2.68	0.417	0.234	0.051	-0.711	-0.392	1.397	-0.122	0.575	1.041	-0.416	1.482	0.012	0.688	-0.211	0.149	-2.228	0.194	-0.321	0.123	0.114	0.792	0.43	0.182	0.369	0.101	-0.258
t88	-0.44	-0.116	0.839	-2.038	0.837	-0.684	-0.157	1.082	-0.059	0.051	0.601	-1.559	0.829	0.31	-0.064	-0.184	0.115	-0.665	0.098	2.171	0.343	-0.906	-0.488	1.006	0.051	-0.809	0.801	-0.439	0.195	-0.718
t96	-0.19	-0.07	0.324	0.271	-0.013	-0.194	0.389	-0.439	1.124	-1.879	0.423	-1.551	1.511	-0.709	-0.863	0.494	1.096	1.449	0.186	-0.947	0.193	-2.068	0.315	0.443	0.079	1.356	-0.611	-0.167	-0.206	0.252
t53	0.366	0.662	-0.237	-0.419	-1.19	0.271	-0.012	-0.879	1.549	-1.357	-0.441	-0.405	0.695	2.226	0.659	0.362	-0.441	0.035	0.167	-0.614	0.085	-0.656	-0.064	-0.289	0.414	1.279	-0.213	-0.258	-0.409	-0.887
t22	0.405	1.209	0.437	-1.807	-0.754	-0.005	-1.086	0.023	0.278	0.205	-0.728	-0.633	1.205	-1.07	1.82	0.779	0.012	0.565	-0.138	-0.961	0.02	0.295	-0.528	0.282	0.312	1.186	-1.251	-0.114	-0.113	0.153
t33	-0.569	-0.075	-0.647	6.055	-1.173	0.419	0.851	3.565	-2.368	-0.483	-0.555	0.222	-0.17	0.337	-0.633	0.188	-0.309	0.821	-0.555	-0.15	-0.373	-0.866	-0.471	-0.296	0.07	0.003	-0.622	0.346	0.17	-2.734
t79	0.203	0.362	0.03	2.738	0.122	0.412	0.493	1.098	-1.04	0.483	-1.736	-1.692	1.308	-0.567	1.925	0.234	1.03	-0.7	0.053	-0.947	0.488	-2.087	-0.976	0.273	-0.848	0.587	-0.133	0.141	0.63	-1.886
t4	-0.118	0.187	-0.962	-1.259	0.164	-0.634	-0.349	0.711	2.364	-0.071	-0.468	0.464	-0.153	-0.937	-0.623	0.365	0.921	-2.319	0.052	0.872	0.316	-0.873	-0.146	0.731	0.705	0.281	-0.688	0.144	-0.8	2.125
t84	0.383	0.005	0.094	2.561	-0.322	-0.123	0.313	0.432	0.209	-2.038	-2.51	-0.299	-1.449	2.208	1.606	-0.258	-0.755	-1.08	-0.347	0.769	-0.179	0.788	0.386	-0.69	-0.59	0.953	-0.458	-0.396	0.161	0.624
t18	-0.764	1.224	-0.179	-0.269	0.091	-0.118	0.524	-0.154	0.827	-2.005	-0.048	-0.808	-2.097	-2.274	4.043	0.581	0.499	-0.337	0.224	0.035	0.248	-0.297	0.045	-0.159	0.778	-0.315	-0.257	0.13	0.522	0.311
t34	-0.563	2.98	1.225	1.686	0.714	0.718	-0.623	0.688	-0.243	0.716	-0.834	-1.51	0.686	-1.7	-0.06	-0.13	-0.099	0.163	0.209	-1.854	-0.079	-3.065	-0.792	-0.022	-0.013	2.115	0.898	0.368	-0.571	-1.006
t37	-0.828	0.544	0.824	3.067	-0.224	-0.503	0	-0.355	1.065	-0.559	-1.267	-1.898	2.77	-1.037	-1.677	-0.676	-0.03	1.372	0.027	-1.385	0.283	-1.803	-0.028	-0.284	0.094	1.027	0.051	0.057	-0.229	1.601
t86	0.395	-1.071	-0.555	0.66	-0.126	0.214	0.413	-0.73	-0.201	0.849	-1.097	-0.25	2.181	-1.163	0.252	-0.466	0.835	-1.475	-0.157	-1.623	0.53	0.163	1.31	1.306	0.895	-0.072	0.166	-0.22	0.05	-1.011
t74	-0.057	1.062	0.08	-1.375	0.27	-0.218	0.102	-0.969	2.56	0.217	0.081	-1.192	-1.756	0.681	0.255	-0.202	0.445	1.066	0.061	-1.139	0.112	-0.158	-0.367	0.489	1.071	-0.24	-0.497	0.463	0.672	-1.515
t98	0.545	-0.252	0.708	-0.249	-0.325	-0.912	-0.853	1.417	-0.148	-1.023	-0.502	0.639	-2.554	0.566	2.621	0.732	0.123	0.632	0.3	0.433	0.876	-1.114	-0.147	0.244	-0.721	-0.527	0.994	0.038	-0.031	-1.511
t5	-0.072	0.932	-0.097	-2.95	-0.04	-0.967	-0.115	0.229	-0.953	-1.23	-1.281	0.686	-1.535	2.009	2.603	-0.16	0.127	0.843	0.128	0.918	0.219	2.082	-0.33	0.037	-0.106	-1.038	-0.072	0.191	0.087	-0.145
t25	-0.789	0.544	-0.529	2.492	-1.59	0.343	-1.089	1.292	1.444	0.668	-0.731	0.077	0.036	-0.464	4.65	0.797	-1.627	0.611	-0.276	-1.382	-0.156	-0.524	-0.971	0.449	-0.451	0.12	-0.873	-0.56	0.537	-2.048
t85	-0.349	0.238	-0.039	-1.89	-0.122	0.979	-0.405	-0.37	-3.491	-1.098	0.286	1.02	-0.456	0.121	3.067	-0.83	-0.663	1.219	-0.171	-1.557	0.245	1.546	-0.451	0.718	-0.105	-0.461	0.61	-0.003	0.31	2.104
