feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t3	0.03	0.011	0.036	0.177	0.093	0.015	0.07	0.021	0.029	0.007	0.056	0.023	0.017	0.008	0.004	0.066	0.008	0.032	0.022	0.011	0.05	0.026	0.014	0.033	0.006	0.038	0.005	0.032	0.029	0.03
t35	0.004	0.004	0.009	0.044	0.006	0.001	0.004	0.002	0.794	0.001	0.007	0.002	0.006	0.007	0.003	0.021	0.015	0.011	0.004	0.012	0.006	0.005	0.003	0.003	0.014	0.001	0.001	0.003	0.003	0.005
t64	0.025	0.015	0.016	0.002	0.039	0.032	0.027	0.012	0.017	0.103	0.022	0.045	0.072	0.017	0.112	0.026	0.05	0.021	0.029	0.003	0.031	0.018	0.029	0.028	0.056	0.039	0.03	0.037	0.028	0.02
t88	0.015	0.021	0.054	0.003	0.054	0.012	0.02	0.069	0.022	0.025	0.043	0.005	0.054	0.032	0.022	0.019	0.026	0.012	0.026	0.205	0.033	0.009	0.014	0.064	0.025	0.01	0.052	0.015	0.028	0.011
t96	0.02	0.022	0.033	0.031	0.024	0.02	0.035	0.015	0.073	0.004	0.036	0.005	0.108	0.012	0.01	0.039	0.071	0.101	0.029	0.009	0.029	0.003	0.033	0.037	0.026	0.092	0.013	0.02	0.019	0.031
t53	0.033	0.045	0.018	0.015	0.007	0.03	0.023	0.01	0.109	0.006	0.015	0.015	0.046	0.214	0.045	0.033	0.015	0.024	0.027	0.013	0.025	0.012	0.022	0.017	0.035	0.083	0.019	0.018	0.015	0.01
t22	0.036	0.081	0.038	0.004	0.011	0.024	0.008	0.025	0.032	0.03	0.012	0.013	0.081	0.008	0.15	0.053	0.025	0.043	0.021	0.009	0.025	0.033	0.014	0.032	0.033	0.08	0.007	0.022	0.022	0.028
t33	0.001	0.002	0.001	0.876	0.001	0.003	0.005	0.073	0	0.001	0.001	0.003	0.002	0.003	0.001	0.002	0.002	0.005	0.001	0.002	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.003	0.002	0
t79	0.022	0.026	0.019	0.278	0.02	0.027	0.029	0.054	0.006	0.029	0.003	0.003	0.067	0.01	0.123	0.023	0.05	0.009	0.019	0.007	0.029	0.002	0.007	0.024	0.008	0.032	0.016	0.021	0.034	0.003
t4	0.018	0.025	0.008	0.006	0.024	0.011	0.014	0.042	0.218	0.019	0.013	0.033	0.018	0.008	0.011	0.03	0.051	0.002	0.022	0.049	0.028	0.009	0.018	0.043	0.041	0.027	0.01	0.024	0.009	0.172
