feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t3	0.033	0.032	0.042	0.068	0.046	0.029	0.047	0.036	0.025	0.02	0.035	0.024	0.039	0.019	0.031	0.052	0.025	0.047	0.031	0.019	0.045	0.032	0.022	0.035	0.023	0.037	0.016	0.036	0.032	0.023
t35	0.025	0.036	0.039	0.052	0.029	0.02	0.029	0.029	0.127	0.021	0.028	0.015	0.046	0.024	0.035	0.056	0.044	0.048	0.027	0.029	0.034	0.023	0.019	0.025	0.041	0.019	0.015	0.026	0.022	0.018
t64	0.031	0.032	0.031	0.012	0.03	0.035	0.034	0.032	0.021	0.051	0.026	0.027	0.064	0.023	0.082	0.039	0.039	0.041	0.033	0.012	0.036	0.024	0.023	0.03	0.038	0.04	0.028	0.037	0.031	0.019
t88	0.026	0.036	0.048	0.015	0.039	0.026	0.033	0.057	0.028	0.032	0.032	0.015	0.053	0.028	0.049	0.037	0.035	0.031	0.033	0.046	0.04	0.023	0.02	0.045	0.036	0.026	0.033	0.028	0.035	0.017
t96	0.029	0.038	0.04	0.032	0.03	0.032	0.041	0.035	0.031	0.018	0.028	0.015	0.061	0.022	0.038	0.046	0.046	0.061	0.034	0.019	0.038	0.015	0.026	0.035	0.038	0.05	0.02	0.031	0.03	0.02
t53	0.035	0.049	0.032	0.026	0.019	0.035	0.034	0.029	0.049	0.019	0.022	0.022	0.051	0.054	0.066	0.042	0.029	0.04	0.033	0.017	0.036	0.024	0.022	0.028	0.04	0.053	0.023	0.03	0.027	0.015
t22	0.034	0.057	0.041	0.013	0.022	0.033	0.024	0.041	0.021	0.036	0.018	0.02	0.051	0.018	0.096	0.049	0.03	0.044	0.03	0.018	0.034	0.035	0.019	0.031	0.04	0.046	0.016	0.03	0.03	0.02
t33	0.024	0.031	0.024	0.178	0.018	0.039	0.036	0.097	0.012	0.022	0.021	0.022	0.034	0.028	0.034	0.039	0.027	0.04	0.024	0.021	0.028	0.016	0.018	0.024	0.028	0.032	0.019	0.03	0.026	0.008
t79	0.035	0.036	0.03	0.071	0.031	0.036	0.037	0.056	0.015	0.031	0.014	0.015	0.048	0.023	0.091	0.045	0.046	0.027	0.031	0.019	0.039	0.015	0.019	0.031	0.024	0.036	0.023	0.032	0.036	0.01
t4	0.031	0.037	0.026	0.02	0.026	0.026	0.03	0.06	0.065	0.032	0.024	0.027	0.048	0.021	0.041	0.046	0.042	0.019	0.032	0.035	0.039	0.018	0.021	0.039	0.035	0.041	0.022	0.035	0.022	0.04
t84	0.034	0.045	0.034	0.068	0.027	0.033	0.043	0.046	0.03	0.018	0.011	0.021	0.032	0.046	0.075	0.032	0.025	0.024	0.028	0.029	0.032	0.031	0.032	0.023	0.024	0.05	0.025	0.028	0.032	0.025
t18	0.021	0.046	0.03	0.026	0.021	0.029	0.035	0.038	0.026	0.014	0.025	0.015	0.021	0.01	0.225	0.043	0.031	0.037	0.029	0.022	0.033	0.021	0.018	0.023	0.03	0.028	0.022	0.029	0.031	0.018
t34	0.026	0.1	0.048	0.045	0.04	0.04	0.024	0.048	0.02	0.034	0.02	0.016	0.036	0.014	0.041	0.04	0.029	0.037	0.033	0.013	0.032	0.01	0.02	0.027	0.033	0.067	0.035	0.035	0.022	0.014
t37	0.024	0.038	0.042	0.083	0.028	0.025	0.031	0.032	0.035	0.02	0.017	0.014	0.087	0.019	0.021	0.032	0.031	0.061	0.032	0.016	0.037	0.017	0.028	0.025	0.035	0.044	0.025	0.031	0.026	0.042
t86	0.035	0.025	0.031	0.04	0.025	0.031	0.037	0.032	0.024	0.038	0.022	0.02	0.091	0.017	0.06	0.034	0.041	0.031	0.029	0.014	0.04	0.028	0.034	0.044	0.04	0.036	0.026	0.03	0.031	0.014
t74	0.033	0.047	0.039	0.017	0.027	0.032	0.033	0.032	0.058	0.04	0.029	0.014	0.028	0.038	0.055	0.035	0.035	0.072	0.031	0.015	0.035	0.026	0.018	0.035	0.037	0.032	0.023	0.037	0.036	0.011
t98	0.034	0.039	0.043	0.021	0.027	0.023	0.026	0.064	0.025	0.027	0.023	0.029	0.02	0.021	0.109	0.048	0.034	0.044	0.035	0.023	0.048	0.013	0.026	0.033	0.022	0.028	0.044	0.032	0.028	0.009
t5	0.026	0.065	0.03	0.006	0.031	0.023	0.036	0.038	0.018	0.025	0.017	0.03	0.031	0.04	0.108	0.032	0.034	0.048	0.032	0.029	0.036	0.051	0.024	0.03	0.029	0.022	0.028	0.034	0.03	0.018
t25	0.021	0.04	0.025	0.074	0.015	0.03	0.02	0.054	0.047	0.037	0.017	0.019	0.036	0.019	0.18	0.049	0.018	0.038	0.025	0.014	0.029	0.018	0.015	0.029	0.025	0.031	0.016	0.023	0.03	0.008
