feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t52	0.677	-0.247	0.626	-0.535	0.089	-1.214	1.338	-0.189	-0.45	-0.995	-0.723	-0.327	-0.416	1.47	0.76	1.301	0.592	0.446	0.542	-0.25	-0.102	-0.039	0.496	-0.02	0.93	-1.524	-0.222	-1.115	-1.32	0.419
t123	0.256	-0.268	0.876	-0.638	-0.002	-2.244	1.307	-0.022	-0.425	-1.429	0.575	-0.67	-0.258	1.398	0.66	1.823	0.951	0.613	0.45	0.001	0.099	-0.058	0.458	-0.368	1.064	-1.602	-0.051	-0.994	-1.667	0.159
t51	0.656	-0.606	0.61	-0.444	0.407	-1.596	1.427	0.189	-0.316	-1.104	-0.661	-0.305	-0.207	1.207	0.919	1.104	0.367	0.719	0.688	-0.159	-0.506	-0.04	0.521	0.024	0.9	-1.315	-0.593	-1.209	-1.282	0.6
t69	0.302	-0.608	0.467	-0.512	0.522	-1.845	1.357	0.711	-0.149	-1.408	0.476	-0.749	-0.109	0.913	1.419	0.797	0.56	0.925	0.667	0.011	-0.919	-0.032	0.497	-0.171	0.731	-1.195	-0.885	-1.242	-1.36	0.822
t14	0.077	-0.327	0.871	-0.547	0.246	-1.871	1.264	0.77	-0.257	-1.763	0.105	-0.656	0.112	1.106	1.245	0.988	1.01	1.051	0.21	0.265	-0.366	0.01	0.478	-0.309	0.849	-1.484	-0.764	-1.076	-1.512	0.271
t137	0.545	-0.383	0.701	-0.515	0.159	-1.366	1.4	0.482	-0.402	-1.351	-0.329	-0.505	-0.32	1.228	1.006	1.264	0.95	0.571	0.417	-0.112	-0.202	0.031	0.507	-0.206	0.901	-1.53	-0.567	-1.072	-1.413	0.104
t115	0.418	-0.679	0.509	-0.486	0.529	-1.308	1.733	0.951	-0.199	-1.57	-0.026	-0.584	-0.078	0.61	1.404	0.569	0.978	0.604	0.675	-0.167	-0.891	0.011	0.514	-0.137	0.805	-1.392	-1.139	-1.217	-1.159	0.716
t22	0.726	-0.31	0.749	-0.556	-0.011	-1.579	1.396	-0.048	-0.43	-1.045	-0.348	-0.568	-0.44	1.492	0.562	1.583	0.648	0.275	0.619	-0.251	0.038	-0.032	0.496	-0.095	0.928	-1.456	-0.152	-1.04	-1.566	0.411
t167	0.573	-0.605	0.813	-0.542	0.19	-1.159	1.776	0.47	-0.335	-1.521	-0.897	-0.383	-0.101	0.951	0.959	1.349	1.265	0.283	0.526	-0.295	-0.09	0.034	0.503	-0.143	0.992	-1.672	-0.661	-1.042	-1.444	0.198
t110	0.152	-0.874	0.639	-0.425	0.737	-1.331	1.681	1.371	-0.05	-1.885	-0.62	-0.393	0.339	0.433	1.739	0.301	1.074	1.091	0.446	0.088	-1.079	0.062	0.528	-0.16	0.806	-1.336	-1.535	-1.295	-1.092	0.581
t93	0.137	-0.568	0.95	-0.517	0.367	-1.787	1.361	0.789	-0.25	-1.712	-0.518	-0.444	0.232	0.997	1.223	1.032	0.954	1.095	0.245	0.229	-0.399	0.02	0.496	-0.23	0.915	-1.416	-0.864	-1.129	-1.419	0.205
t112	0.943	0.163	0.848	-0.627	-0.361	-1.182	1.53	-0.835	-0.619	-0.759	-0.482	-0.496	-0.856	1.798	0.11	1.893	0.921	-0.391	0.656	-0.61	0.576	-0.074	0.463	-0.066	1.042	-1.813	0.444	-0.826	-1.649	0.253
t141	0.166	-0.214	0.909	-0.61	0.002	-1.848	1.451	0.188	-0.408	-1.568	0.52	-0.713	-0.313	1.326	0.813	1.57	1.226	0.494	0.374	-0.055	0.061	-0.028	0.457	-0.418	1.078	-1.712	-0.251	-0.948	-1.586	0.031
t68	0.909	-0.287	0.771	-0.553	-0.062	-0.988	1.817	-0.695	-0.563	-0.822	-1.072	-0.188	-0.678	1.527	0.229	1.857	0.938	-0.319	0.817	-0.747	0.349	-0.063	0.491	-0.008	1.194	-1.782	0.113	-0.983	-1.392	0.186
t170	0.712	-0.584	0.571	-0.484	0.339	-0.978	1.809	0.526	-0.336	-1.345	-0.892	-0.411	-0.186	0.969	1.018	1.127	0.98	0.259	0.695	-0.42	-0.409	0.021	0.52	-0.029	0.899	-1.529	-0.823	-1.149	-1.294	0.416
