V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	1	0.635	0.142	-0.526	-0.804	0.846	0.358	-0.837	-0.91	0.924	-0.608	0.497	-0.864	0.73	-0.848	0.615	0.091	-0.838	0.514	-0.861	0.741	-0.582	-0.535	0.687	0.452	-0.705	0.723	0.546	-0.251	-0.583	-0.815
2	0.635	1	0.587	-0.766	-0.908	0.386	0.305	-0.892	-0.852	0.784	0.006	0.129	-0.842	0.929	-0.89	0.874	0.397	-0.774	0.5	-0.676	0.91	-0.508	-0.267	0.108	0.769	-0.786	0.953	0.902	-0.658	-0.701	-0.568
3	0.142	0.587	1	-0.315	-0.507	0.018	0.186	-0.498	-0.423	0.284	0.004	0.253	-0.266	0.601	-0.527	0.644	0.475	-0.314	-0.042	-0.188	0.671	0.132	0.443	-0.138	0.773	-0.539	0.609	0.714	-0.483	-0.767	0.202
4	-0.526	-0.766	-0.315	1	0.818	-0.395	-0.64	0.699	0.667	-0.529	-0.215	0.207	0.784	-0.616	0.729	-0.822	-0.698	0.855	-0.791	0.762	-0.779	0.431	0.571	0.159	-0.682	0.806	-0.782	-0.847	0.766	0.499	0.534
5	-0.804	-0.908	-0.507	0.818	1	-0.564	-0.394	0.907	0.898	-0.83	0.14	-0.143	0.949	-0.896	0.936	-0.889	-0.438	0.897	-0.562	0.802	-0.962	0.456	0.412	-0.189	-0.733	0.85	-0.949	-0.908	0.705	0.741	0.67
6	0.846	0.386	0.018	-0.395	-0.564	1	0.577	-0.608	-0.728	0.672	-0.742	0.575	-0.624	0.406	-0.616	0.366	0.26	-0.756	0.43	-0.83	0.529	-0.359	-0.541	0.698	0.343	-0.677	0.438	0.349	0.067	-0.497	-0.563
7	0.358	0.305	0.186	-0.64	-0.394	0.577	1	-0.417	-0.45	0.223	-0.123	0.13	-0.39	0.17	-0.462	0.49	0.808	-0.716	0.737	-0.748	0.458	-0.254	-0.504	0.001	0.607	-0.757	0.364	0.486	-0.217	-0.437	-0.171
8	-0.837	-0.892	-0.498	0.699	0.907	-0.608	-0.417	1	0.967	-0.937	0.32	-0.436	0.895	-0.937	0.986	-0.881	-0.294	0.871	-0.608	0.846	-0.931	0.671	0.373	-0.409	-0.809	0.854	-0.96	-0.807	0.475	0.756	0.671
9	-0.91	-0.852	-0.423	0.667	0.898	-0.728	-0.45	0.967	1	-0.943	0.426	-0.477	0.894	-0.901	0.97	-0.835	-0.288	0.893	-0.578	0.882	-0.909	0.607	0.385	-0.503	-0.74	0.861	-0.908	-0.766	0.408	0.779	0.708
10	0.924	0.784	0.284	-0.529	-0.83	0.672	0.223	-0.937	-0.943	1	-0.482	0.508	-0.88	0.884	-0.915	0.709	0.003	-0.784	0.506	-0.792	0.799	-0.72	-0.417	0.631	0.569	-0.681	0.848	0.614	-0.303	-0.609	-0.807
11	-0.608	0.006	0.004	-0.215	0.14	-0.742	-0.123	0.32	0.426	-0.482	1	-0.885	0.168	-0.188	0.308	-0.005	0.248	0.253	0.087	0.385	-0.173	0.15	0.067	-0.912	-0.055	0.223	-0.089	0.113	-0.486	0.33	0.225
12	0.497	0.129	0.253	0.207	-0.143	0.575	0.13	-0.436	-0.477	0.508	-0.885	1	-0.136	0.32	-0.389	0.144	-0.182	-0.22	-0.083	-0.345	0.268	-0.234	0.128	0.809	0.307	-0.314	0.226	0.009	0.462	-0.473	-0.083
13	-0.864	-0.842	-0.266	0.784	0.949	-0.624	-0.39	0.895	0.894	-0.88	0.168	-0.136	1	-0.832	0.906	-0.788	-0.31	0.912	-0.677	0.857	-0.863	0.638	0.612	-0.285	-0.61	0.792	-0.889	-0.791	0.585	0.589	0.839
14	0.73	0.929	0.601	-0.616	-0.896	0.406	0.17	-0.937	-0.901	0.884	-0.188	0.32	-0.832	1	-0.93	0.884	0.187	-0.722	0.411	-0.652	0.922	-0.53	-0.143	0.299	0.758	-0.724	0.962	0.822	-0.592	-0.769	-0.594
15	-0.848	-0.89	-0.527	0.729	0.936	-0.616	-0.462	0.986	0.97	-0.915	0.308	-0.389	0.906	-0.93	1	-0.908	-0.352	0.902	-0.621	0.864	-0.955	0.614	0.378	-0.369	-0.819	0.874	-0.961	-0.84	0.539	0.788	0.667
16	0.615	0.874	0.644	-0.822	-0.889	0.366	0.49	-0.881	-0.835	0.709	-0.005	0.144	-0.788	0.884	-0.908	1	0.542	-0.816	0.62	-0.734	0.953	-0.428	-0.212	0.021	0.907	-0.855	0.949	0.92	-0.76	-0.826	-0.446
17	0.091	0.397	0.475	-0.698	-0.438	0.26	0.808	-0.294	-0.288	0.003	0.248	-0.182	-0.31	0.187	-0.352	0.542	1	-0.567	0.469	-0.48	0.511	0.13	-0.205	-0.441	0.651	-0.714	0.395	0.67	-0.519	-0.52	0.111
18	-0.838	-0.774	-0.314	0.855	0.897	-0.756	-0.716	0.871	0.893	-0.784	0.253	-0.22	0.912	-0.722	0.902	-0.816	-0.567	1	-0.789	0.974	-0.868	0.563	0.642	-0.277	-0.726	0.931	-0.836	-0.806	0.523	0.667	0.693
19	0.514	0.5	-0.042	-0.791	-0.562	0.43	0.737	-0.608	-0.578	0.506	0.087	-0.083	-0.677	0.411	-0.621	0.62	0.469	-0.789	1	-0.811	0.526	-0.734	-0.778	0.036	0.535	-0.659	0.573	0.526	-0.443	-0.246	-0.644
20	-0.861	-0.676	-0.188	0.762	0.802	-0.83	-0.748	0.846	0.882	-0.792	0.385	-0.345	0.857	-0.652	0.864	-0.734	-0.48	0.974	-0.811	1	-0.782	0.634	0.687	-0.412	-0.669	0.892	-0.754	-0.673	0.351	0.614	0.705
21	0.741	0.91	0.671	-0.779	-0.962	0.529	0.458	-0.931	-0.909	0.799	-0.173	0.268	-0.863	0.922	-0.955	0.953	0.511	-0.868	0.526	-0.782	1	-0.401	-0.239	0.176	0.874	-0.903	0.971	0.94	-0.679	-0.87	-0.509
22	-0.582	-0.508	0.132	0.431	0.456	-0.359	-0.254	0.671	0.607	-0.72	0.15	-0.234	0.638	-0.53	0.614	-0.428	0.13	0.563	-0.734	0.634	-0.401	1	0.652	-0.429	-0.343	0.399	-0.552	-0.283	0.108	0.081	0.795
23	-0.535	-0.267	0.443	0.571	0.412	-0.541	-0.504	0.373	0.385	-0.417	0.067	0.128	0.612	-0.143	0.378	-0.212	-0.205	0.642	-0.778	0.687	-0.239	0.652	1	-0.194	-0.068	0.404	-0.282	-0.209	0.163	-0.102	0.745
24	0.687	0.108	-0.138	0.159	-0.189	0.698	0.001	-0.409	-0.503	0.631	-0.912	0.809	-0.285	0.299	-0.369	0.021	-0.441	-0.277	0.036	-0.412	0.176	-0.429	-0.194	1	-0.011	-0.169	0.174	-0.109	0.452	-0.186	-0.482
25	0.452	0.769	0.773	-0.682	-0.733	0.343	0.607	-0.809	-0.74	0.569	-0.055	0.307	-0.61	0.758	-0.819	0.907	0.651	-0.726	0.535	-0.669	0.874	-0.343	-0.068	-0.011	1	-0.875	0.846	0.858	-0.547	-0.858	-0.19
26	-0.705	-0.786	-0.539	0.806	0.85	-0.677	-0.757	0.854	0.861	-0.681	0.223	-0.314	0.792	-0.724	0.874	-0.855	-0.714	0.931	-0.659	0.892	-0.903	0.399	0.404	-0.169	-0.875	1	-0.843	-0.871	0.506	0.818	0.437
27	0.723	0.953	0.609	-0.782	-0.949	0.438	0.364	-0.96	-0.908	0.848	-0.089	0.226	-0.889	0.962	-0.961	0.949	0.395	-0.836	0.573	-0.754	0.971	-0.552	-0.282	0.174	0.846	-0.843	1	0.917	-0.68	-0.777	-0.596
28	0.546	0.902	0.714	-0.847	-0.908	0.349	0.486	-0.807	-0.766	0.614	0.113	0.009	-0.791	0.822	-0.84	0.92	0.67	-0.806	0.526	-0.673	0.94	-0.283	-0.209	-0.109	0.858	-0.871	0.917	1	-0.801	-0.783	-0.389
29	-0.251	-0.658	-0.483	0.766	0.705	0.067	-0.217	0.475	0.408	-0.303	-0.486	0.462	0.585	-0.592	0.539	-0.76	-0.519	0.523	-0.443	0.351	-0.679	0.108	0.163	0.452	-0.547	0.506	-0.68	-0.801	1	0.458	0.291
30	-0.583	-0.701	-0.767	0.499	0.741	-0.497	-0.437	0.756	0.779	-0.609	0.33	-0.473	0.589	-0.769	0.788	-0.826	-0.52	0.667	-0.246	0.614	-0.87	0.081	-0.102	-0.186	-0.858	0.818	-0.777	-0.783	0.458	1	0.157
31	-0.815	-0.568	0.202	0.534	0.67	-0.563	-0.171	0.671	0.708	-0.807	0.225	-0.083	0.839	-0.594	0.667	-0.446	0.111	0.693	-0.644	0.705	-0.509	0.795	0.745	-0.482	-0.19	0.437	-0.596	-0.389	0.291	0.157	1
