V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.085	0.051	0.006	-0.008	-0.069	0.103	0.023	-0.154	-0.045	0.091	-0.123	0.034	-0.088	0.079	-0.114	0.09	0.008	-0.141	0.021	-0.084	0.112	-0.005	-0.002	0.023	0.022	-0.049	0.114	0.025	-0.011	-0.036	-0.099
2	0.051	0.077	0.023	-0.011	-0.075	0.045	0.019	-0.157	-0.04	0.074	0.001	0.009	-0.082	0.096	-0.115	0.123	0.032	-0.125	0.019	-0.063	0.132	-0.004	-0.001	0.003	0.035	-0.052	0.144	0.039	-0.027	-0.041	-0.066
3	0.006	0.023	0.02	-0.002	-0.021	0.001	0.006	-0.045	-0.01	0.014	0	0.009	-0.013	0.032	-0.035	0.046	0.02	-0.026	-0.001	-0.009	0.05	0.001	0.001	-0.002	0.018	-0.018	0.047	0.016	-0.01	-0.023	0.012
4	-0.008	-0.011	-0.002	0.003	0.013	-0.009	-0.008	0.024	0.006	-0.01	-0.008	0.003	0.015	-0.012	0.018	-0.022	-0.011	0.027	-0.006	0.014	-0.022	0.001	0	0.001	-0.006	0.01	-0.023	-0.007	0.006	0.006	0.012
5	-0.069	-0.075	-0.021	0.013	0.087	-0.07	-0.026	0.17	0.045	-0.083	0.029	-0.01	0.098	-0.099	0.128	-0.133	-0.037	0.154	-0.023	0.08	-0.148	0.004	0.002	-0.006	-0.036	0.06	-0.152	-0.042	0.03	0.046	0.083
6	0.103	0.045	0.001	-0.009	-0.07	0.177	0.054	-0.162	-0.052	0.095	-0.217	0.057	-0.092	0.064	-0.12	0.078	0.032	-0.184	0.025	-0.117	0.116	-0.005	-0.003	0.033	0.024	-0.067	0.1	0.023	0.004	-0.044	-0.099
7	0.023	0.019	0.006	-0.008	-0.026	0.054	0.05	-0.059	-0.017	0.017	-0.019	0.007	-0.031	0.014	-0.048	0.056	0.052	-0.093	0.023	-0.056	0.054	-0.002	-0.002	0	0.023	-0.04	0.044	0.017	-0.007	-0.021	-0.016
8	-0.154	-0.157	-0.045	0.024	0.17	-0.162	-0.059	0.402	0.105	-0.201	0.141	-0.065	0.199	-0.221	0.29	-0.282	-0.054	0.32	-0.054	0.181	-0.308	0.013	0.003	-0.03	-0.085	0.128	-0.33	-0.08	0.044	0.101	0.177
9	-0.045	-0.04	-0.01	0.006	0.045	-0.052	-0.017	0.105	0.029	-0.054	0.051	-0.019	0.054	-0.057	0.077	-0.072	-0.014	0.088	-0.014	0.051	-0.081	0.003	0.001	-0.01	-0.021	0.035	-0.084	-0.021	0.01	0.028	0.05
10	0.091	0.074	0.014	-0.01	-0.083	0.095	0.017	-0.201	-0.054	0.114	-0.114	0.041	-0.104	0.111	-0.143	0.121	0	-0.154	0.024	-0.09	0.141	-0.008	-0.002	0.024	0.032	-0.055	0.156	0.033	-0.015	-0.043	-0.114
11	-0.123	0.001	0	-0.008	0.029	-0.217	-0.019	0.141	0.051	-0.114	0.487	-0.146	0.041	-0.049	0.1	-0.002	0.05	0.102	0.008	0.09	-0.063	0.003	0.001	-0.072	-0.006	0.037	-0.034	0.012	-0.049	0.048	0.065
12	0.034	0.009	0.009	0.003	-0.01	0.057	0.007	-0.065	-0.019	0.041	-0.146	0.056	-0.011	0.028	-0.043	0.017	-0.012	-0.03	-0.003	-0.027	0.033	-0.002	0	0.022	0.012	-0.018	0.029	0	0.016	-0.023	-0.008
13	-0.088	-0.082	-0.013	0.015	0.098	-0.092	-0.031	0.199	0.054	-0.104	0.041	-0.011	0.123	-0.109	0.147	-0.14	-0.031	0.185	-0.033	0.101	-0.158	0.007	0.003	-0.011	-0.035	0.066	-0.169	-0.044	0.03	0.043	0.123
14	0.079	0.096	0.032	-0.012	-0.099	0.064	0.014	-0.221	-0.057	0.111	-0.049	0.028	-0.109	0.138	-0.16	0.166	0.02	-0.156	0.021	-0.082	0.179	-0.006	-0.001	0.013	0.047	-0.064	0.194	0.048	-0.032	-0.06	-0.092
15	-0.114	-0.115	-0.035	0.018	0.128	-0.12	-0.048	0.29	0.077	-0.143	0.1	-0.043	0.147	-0.16	0.215	-0.213	-0.047	0.242	-0.04	0.135	-0.231	0.009	0.003	-0.019	-0.063	0.096	-0.242	-0.061	0.036	0.077	0.129
16	0.09	0.123	0.046	-0.022	-0.133	0.078	0.056	-0.282	-0.072	0.121	-0.002	0.017	-0.14	0.166	-0.213	0.255	0.079	-0.239	0.044	-0.125	0.251	-0.007	-0.002	0.001	0.076	-0.102	0.26	0.073	-0.056	-0.088	-0.094
17	0.008	0.032	0.02	-0.011	-0.037	0.032	0.052	-0.054	-0.014	0	0.05	-0.012	-0.031	0.02	-0.047	0.079	0.084	-0.095	0.019	-0.047	0.077	0.001	-0.001	-0.015	0.031	-0.049	0.062	0.03	-0.022	-0.032	0.013
18	-0.141	-0.125	-0.026	0.027	0.154	-0.184	-0.093	0.32	0.088	-0.154	0.102	-0.03	0.185	-0.156	0.242	-0.239	-0.095	0.336	-0.064	0.19	-0.263	0.01	0.005	-0.018	-0.07	0.128	-0.263	-0.073	0.044	0.081	0.167
19	0.021	0.019	-0.001	-0.006	-0.023	0.025	0.023	-0.054	-0.014	0.024	0.008	-0.003	-0.033	0.021	-0.04	0.044	0.019	-0.064	0.019	-0.038	0.038	-0.003	-0.002	0.001	0.012	-0.022	0.043	0.011	-0.009	-0.007	-0.037
20	-0.084	-0.063	-0.009	0.014	0.08	-0.117	-0.056	0.181	0.051	-0.09	0.09	-0.027	0.101	-0.082	0.135	-0.125	-0.047	0.19	-0.038	0.113	-0.137	0.007	0.003	-0.016	-0.037	0.071	-0.138	-0.036	0.017	0.043	0.099
21	0.112	0.132	0.05	-0.022	-0.148	0.116	0.054	-0.308	-0.081	0.141	-0.063	0.033	-0.158	0.179	-0.231	0.251	0.077	-0.263	0.038	-0.137	0.272	-0.007	-0.002	0.01	0.075	-0.112	0.275	0.077	-0.051	-0.095	-0.111
22	-0.005	-0.004	0.001	0.001	0.004	-0.005	-0.002	0.013	0.003	-0.008	0.003	-0.002	0.007	-0.006	0.009	-0.007	0.001	0.01	-0.003	0.007	-0.007	0.001	0	-0.002	-0.002	0.003	-0.009	-0.001	0	0.001	0.01
23	-0.002	-0.001	0.001	0	0.002	-0.003	-0.002	0.003	0.001	-0.002	0.001	0	0.003	-0.001	0.003	-0.002	-0.001	0.005	-0.002	0.003	-0.002	0	0	0	0	0.001	-0.002	0	0	0	0.004
24	0.023	0.003	-0.002	0.001	-0.006	0.033	0	-0.03	-0.01	0.024	-0.072	0.022	-0.011	0.013	-0.019	0.001	-0.015	-0.018	0.001	-0.016	0.01	-0.002	0	0.013	0	-0.005	0.011	-0.002	0.007	-0.004	-0.023
25	0.022	0.035	0.018	-0.006	-0.036	0.024	0.023	-0.085	-0.021	0.032	-0.006	0.012	-0.035	0.047	-0.063	0.076	0.031	-0.07	0.012	-0.037	0.075	-0.002	0	0	0.027	-0.034	0.076	0.022	-0.013	-0.03	-0.013
26	-0.049	-0.052	-0.018	0.01	0.06	-0.067	-0.04	0.128	0.035	-0.055	0.037	-0.018	0.066	-0.064	0.096	-0.102	-0.049	0.128	-0.022	0.071	-0.112	0.003	0.001	-0.005	-0.034	0.056	-0.108	-0.032	0.017	0.041	0.043
27	0.114	0.144	0.047	-0.023	-0.152	0.1	0.044	-0.33	-0.084	0.156	-0.034	0.029	-0.169	0.194	-0.242	0.26	0.062	-0.263	0.043	-0.138	0.275	-0.009	-0.002	0.011	0.076	-0.108	0.294	0.078	-0.053	-0.088	-0.135
28	0.025	0.039	0.016	-0.007	-0.042	0.023	0.017	-0.08	-0.021	0.033	0.012	0	-0.044	0.048	-0.061	0.073	0.03	-0.073	0.011	-0.036	0.077	-0.001	0	-0.002	0.022	-0.032	0.078	0.025	-0.018	-0.026	-0.025
29	-0.011	-0.027	-0.01	0.006	0.03	0.004	-0.007	0.044	0.01	-0.015	-0.049	0.016	0.03	-0.032	0.036	-0.056	-0.022	0.044	-0.009	0.017	-0.051	0	0	0.007	-0.013	0.017	-0.053	-0.018	0.021	0.014	0.018
30	-0.036	-0.041	-0.023	0.006	0.046	-0.044	-0.021	0.101	0.028	-0.043	0.048	-0.023	0.043	-0.06	0.077	-0.088	-0.032	0.081	-0.007	0.043	-0.095	0.001	0	-0.004	-0.03	0.041	-0.088	-0.026	0.014	0.044	0.014
31	-0.099	-0.066	0.012	0.012	0.083	-0.099	-0.016	0.177	0.05	-0.114	0.065	-0.008	0.123	-0.092	0.129	-0.094	0.013	0.167	-0.037	0.099	-0.111	0.01	0.004	-0.023	-0.013	0.043	-0.135	-0.025	0.018	0.014	0.174
