group	sample	color
group1	t1	green
group1	t10	green
group1	t11	green
group1	t12	green
group1	t13	green
group1	t14	green
group1	t15	green
group1	t16	green
group1	t18	green
group1	t19	green
group1	t2	green
group1	t20	green
group1	t21	green
group1	t22	green
group1	t23	green
group1	t24	green
group1	t25	green
group1	t26	green
group1	t27	green
group1	t28	green
group1	t29	green
group1	t3	green
group1	t30	green
group1	t31	green
group1	t32	green
group1	t33	green
group1	t34	green
group1	t35	green
group1	t36	green
group1	t37	green
group1	t38	green
group1	t39	green
group1	t4	green
group1	t40	green
group1	t42	green
group1	t43	green
group1	t44	green
group1	t45	green
group1	t46	green
group1	t47	green
group1	t48	green
group1	t49	green
group1	t5	green
group1	t50	green
group1	t51	green
group1	t52	green
group1	t53	green
group1	t54	green
group1	t55	green
group1	t56	green
group1	t57	green
group1	t59	green
group1	t6	green
group1	t60	green
group1	t7	green
group1	t8	green
group1	t9	green
group2	t17	purple
group2	t41	purple
group2	t58	purple
