V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
t20	-11.862	-5.923	-11.856	-6.426	-4.5	-13.286	-3.785	-8.894	-7.518	-7.579	-9.848	-6.724	-8.429	-13.281	-6.663	-3.769	-1.292	-13.814	-17.203	-7.379	-13.07	-4.22	-5.976	-11.827	-6.772	-11.843	-8.19	-6.797	-9.12	-8.962	-5.559	-5.773	-9.719	-10.447	-2.472	-5.623	-8.409	-9.479	-6.557	-8.757	-9.476	-5.669	-9.182	-4.971	-1.958	-12.027	-10.191	-8.482	-6.034	-14.552	-6.446	-4.974	-6.414	-7.755	-4.025	-9.348	-5.969	-8.263	-5.54	-8.116	-5.813	-10.69	-9.565	-7.811	-3.785	-9.78	-8.929	-10.087	-11.673	-8.789	-7.139	-8.984	-13.852	-9.565	-8.406	-9.914	-8.526	-10.772	-4.801	-8.89	-4.338	-5.209	-7.133	-8.111	-13.21	-7.483	-9.698	-9.712	-11.204	-10.181	-9.461	-10.137	-8.996	-9.093	-8.236	-11.466	-3.819	-1.428	-3.413	-8.135
t54	-8.643	-5.872	-12.625	-4.683	-9.433	-6.146	-13.798	-6.925	-6.398	-14.262	-8.685	-7.963	-10.236	-9.517	-12.133	-8.062	-10.495	-2.453	-5.596	-6.543	-6.199	-5.927	-16.964	-8.725	-10.699	-7.466	-11.217	-5.766	-1.951	-6.755	-9.423	-2.173	-7.459	-7.773	-2.232	-4.443	-12.066	-14.793	-3.956	-11.45	-8.438	-7.304	-5.458	-11.34	-3.852	-8.823	-6.389	-11.841	-10.025	-9.428	-10.41	-8.876	-9.556	-13.822	-7.514	-12.209	-7.169	-6.466	-8.033	-7.112	-8.975	-9.963	-7.003	-8.517	-9.066	-6.827	-3.938	-6.648	-7.894	-13.988	-10.588	-4.727	-11.927	-8.932	-9.569	-7.927	-7.775	-8.621	-4.769	-8.873	-11.852	-5.349	-12.103	-10.126	-7.231	-9.035	-12.606	-0.956	-9.29	-10.063	-9.96	-14.466	-10.359	-13.064	-8.22	-9.243	-10.712	-11.755	-6.677	-3.985
t47	-9.024	-6.199	-3.323	-12.112	-1.29	-7.763	-7.69	-7.01	-7.472	-4.762	-13.58	-6.191	-8.152	-12.736	-7.257	-7.582	-9.641	-11.053	-6.321	-5.627	-9.096	-13.292	-2.599	-6.494	-12.667	-13.818	-13.02	-11.173	-10.438	-9.312	-9.756	-7.02	-13.397	-11.995	-9.039	-7.579	-5.473	-2.565	-8.084	-6.05	-6.795	-12.532	-9.802	-10.482	-2.111	-9.131	-4.523	-6.279	-6.599	-10.394	-13.184	-8.153	-5.512	-8.937	-7.185	-14.972	-13.217	-10.044	-15.39	-13.533	-8.212	-10.888	-3.778	-4.902	-8.428	-12.579	-7.5	-11.812	-12.892	-9.864	-10.071	-10.597	-7.4	-10.512	-11.264	-13.651	-7.13	-6.268	-11.484	-12.448	-7.826	-10.408	-9.066	-7.619	-6.614	-8.616	-11.028	-1.298	-11.038	-12.928	-11.486	-12.645	-13.707	-3.539	-3.847	-11.16	-10.338	-8.375	-6.201	-8.44
t17	-10.53	-4.331	-10.258	-6.633	-10.37	-6.77	-7.326	-7.271	-14.318	-10.162	-17.646	-10.172	-9.857	-9.343	-11.424	-10.441	-14.437	-0.941	-9.718	-10.312	-2.098	-2.942	-8.719	-10.819	-13.646	-6.624	-10.756	-3.009	-7.192	-9.796	-12.711	-9.258	-15.823	-6.693	-7.428	-9.814	-5.646	-8.293	-10.164	-6.744	-11.896	-9.304	-8.18	-7.465	-4.303	-6.325	-5.236	-6.466	-3.824	-6.295	-6.956	-4.416	-11.809	-5.309	-7.732	-4.388	-4	-10.725	-10.226	-6.412	-5.525	-7.473	-6.187	-15.19	-7.214	-7.923	-7.408	-6.378	-15.346	-6.616	-6.64	-12.772	-8.924	-5.743	-6.629	-11.339	-2.308	-8.638	-13.005	-9.195	-8.665	-6.518	-11.465	-11.706	-2.566	-12.635	-12.002	-9.784	-13.375	-11.958	-8.485	-8.845	-11.199	-11.446	-8.436	-6.347	-2.931	-5.8	-5.112	-10.771
t26	-11.293	-9.941	-10.975	-11.417	-7.397	-9.022	-11.518	-15.347	-11.503	-3.842	-9.27	-9.592	-7.245	-11.452	-5.458	-11.955	-9.011	-10.811	-6.394	-5.672	-9.067	-7.023	-10.22	-10.055	-10.56	-7.562	-8.691	-8.022	-9.568	-7.169	-5.851	-13.982	-7.05	-9.606	-7.073	-9.955	-8.332	-9.251	-9.869	-9.519	-9.142	-16.073	-4.855	-7.217	-6.151	-7.353	-12.157	-6.832	-8.372	-13.633	-5.172	-8.651	-0.525	-9.564	-7.686	-8.698	-8.413	-9.207	-7.435	-5.804	-2.009	-11.484	-9.168	-8.058	-8.115	-9.111	-7.238	-9.789	-10.86	-1.765	-13.154	-7.196	-10.14	-9.813	-9.79	-11.684	-7.879	-13.614	-7.296	-9.129	-5.254	-4.197	-8.036	-10.438	-11.592	-13.032	-14.865	-11.118	-10.89	-10.216	-4.433	-9.96	-7.183	-15.46	-9.44	-10.506	-8.086	-10.109	-6.333	-10.495
t24	-6.166	-13.202	-13.162	-9.569	-15.096	-8.822	-5.501	-7.714	-9.389	-12.823	-8.586	-2.198	-7.223	-7.412	-9.964	-12.018	-13.46	-11.013	-11.191	-12.559	-7.126	-14.239	-13.302	-8.185	-9.835	-8.107	-8.33	-6.173	-7.543	-5.971	-8.17	-6.79	-11.538	-11.672	-11.479	-5.764	-7.794	-10.366	-9.849	-13.954	-15.641	-4.95	-2.641	-7.202	-5.128	-8.495	-8.942	-14.102	-7.875	-10.571	-10.912	-6.391	-7.293	-11.871	-11.941	-4.838	-8.57	-14.584	-8.113	-6.451	-6.841	-4.439	-7.505	-11.317	-10.332	-6.512	-7.864	-8.426	-10.001	-6.299	-12.911	-7.544	-10.824	-7.473	-7.186	-12.046	-7.484	-15.54	-6.566	-6.756	-6.925	-14.666	-13.315	-6.207	-10.739	-9.809	-12.245	-12.404	-7.471	-9.454	-0.311	-9.649	-4.751	-10.233	-11.097	-15.767	-8.172	-6.941	-11.052	-6.609
t44	-7.261	-6.731	-12.523	-10.738	-11.448	-7.043	-5.073	-9.469	-5.611	-5.357	-7.219	-6.438	-11.585	-8.215	-11.91	-10.587	-10.485	-14.062	-7.219	-10.86	-6.322	-6.299	-7.311	-9.613	-10.969	-6.851	-11.801	-8.575	-15.391	-8.971	-10.687	-7.682	-3.102	-3.686	-5.609	-6.492	-5.102	-11.801	-14.192	-3.787	-11.057	-6.887	-7.047	-9.335	-4.251	-11.241	-5.602	-5.212	-2.213	-9.617	-0.848	-14.692	-4.053	-8.861	-8.338	-7.056	-10.359	-8.666	-7.984	-9.666	-6.061	-7.185	-7.022	-7.75	-5.824	-13.113	-14.336	-11.378	-13.18	-11.705	-12.707	-9.586	-11.933	-8.376	-12.613	-12.366	-6.387	-6.052	-3.88	-8.962	-2.151	-14.238	-8.833	-6.746	-5.988	-6.484	-7.561	-10.264	-10.002	-13.001	-4.786	-8.748	-8.022	-2.497	-6.871	-4.61	-9.116	-13.741	-3.539	-7.864
t29	-6.615	-6.512	-13.694	-2.495	-10.913	-7.797	-7.364	-1.851	-11.262	-6.506	-11.519	-9.933	-6.468	-7.295	-9.449	-7.304	-12.489	-10.457	-11.144	-10.264	-8.754	-13.55	-8.385	-8.421	-5.022	-4.906	-9.087	-8.89	-8.409	-11.119	-7.676	-11.165	-9.143	-8.366	-7.341	-6.759	-5.057	-13.746	-8.744	-11.427	-8.722	-9.26	-6.85	-6.571	-5.838	-5.657	-8.124	-10.285	-11.209	-12.421	-2.941	-9.892	-5.046	-10.586	-6.262	-14.844	-14.885	-5.406	-8.526	-12.298	-9.03	-17.55	-10.202	-8.532	-6.149	-6.985	-9.383	-6.59	-5.211	-10.134	-5.671	-13.957	-7.788	-4.37	-9.349	-7.596	-7.072	-13.14	-5.511	-6.937	-10.693	-7.53	-9.744	-6.162	-3.149	-6.888	-10.653	-6.165	-0.605	-8.995	-4.463	-4.81	-8.458	-11.72	-11.937	-7.397	-10.096	-10.035	-5.746	-15.996
t32	-9.151	-4.998	-6.874	-15.392	-5.058	-8.949	-2.677	-9.829	-8.487	-12.669	-10.285	-6.489	-15.488	-13.754	-15.752	-8.834	-13.332	-8.857	-5.869	-8.862	-5.122	-9.797	-9.932	-6.646	-7.596	-8.331	-3.048	-11.843	-7.368	-11.296	-6.828	-11.487	-12.314	-9.376	-4.999	-13.639	-9.894	-10.991	-9.575	-7.556	-10.072	-9.619	-9.219	-9.07	-8.967	-7.569	-8.727	-6.978	-5.766	-9.04	-7.534	-4.056	-6.302	-12.008	-15.648	-5.476	-8.089	-5.873	-11.472	-9.406	-5.499	-3.498	-6.202	-12.894	-3.947	-6.471	-9.349	-4.016	-8.773	-4.773	-5.326	-8.011	-10.547	-5.628	-5.09	-8.331	-11.696	-8.741	-2.222	-7.698	-0.702	-8.69	-5.218	-6.776	-4.726	-11.042	-4.336	-8.129	-11.072	-11.169	-8.734	-8.211	-5.01	-7.916	-2.708	-10.439	-4.938	-9.362	-8.3	-14.234
t49	-7.12	-9.843	-8.276	-11.44	-9.405	-8.1	-11.296	-17.522	-9.031	-11.558	-12.495	-12.491	-12.314	-15.733	-10.982	-12.301	-11.291	-9.522	-6.013	-10.532	-4.172	-12.792	-9.335	-4.097	-7.418	-9.276	-6.819	-11.938	-9.062	-8.24	-12.068	-6.847	-11.146	-1.96	-12.147	-7.388	-8.48	-13.108	-13.182	-12.583	-7.307	-9.301	-10.593	-7.447	-5.068	-11.81	-14.09	-5.076	-2.78	-5.268	-9.496	-7.795	-3.051	-10.159	-4.816	-2.618	-5.114	-4.457	-11.802	-13.025	-7.868	-6.525	-8.672	-10.076	-5.328	-6.168	-9.857	-9.169	-7.584	-11.163	-13.364	-13.48	-8.127	-7.69	-9.638	-6.22	-9.925	-8.367	-9.406	-7.863	-8.54	-4.768	-14.132	-0.598	-11.678	-14.224	-5.758	-5.658	-12.802	-8.906	-14.693	-8.05	-9.742	-5.268	-10.081	-10.658	-11.165	-12.172	-5.032	-11.081
