V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t21	-4.003	-0.095	-3.568	0.738	-0.794	-0.16	-0.17	1.127	0.244	0.293	3.854	1.242	-0.379	1.266	1.118	2.046	-2.385	1.558	-5.624	-2.253	0.982	-0.26	4.49	0.728	-0.095	-2.751	1.438	0.59	1.717	-0.97
t1	-2.737	0.372	-1.058	0.549	0.083	-1.066	1.956	1.182	-1.065	1.669	2.015	-0.667	1.658	0.844	0.353	0.527	-1.832	-0.24	-2.64	0.328	1.439	-1.867	1.157	-0.566	0.442	-2.407	1.834	0.253	0.571	-1.092
t35	-3.264	0.167	-2.197	0.481	-0.262	-0.708	0.99	1.121	-1.118	1.073	3.079	0.342	0.943	1.302	0.534	1.36	-2.134	0.419	-3.733	-0.887	1.929	-1.571	2.694	0.018	0.251	-3.027	1.77	0.679	0.932	-1.196
t4	-3.134	0.329	-2.12	0.574	-0.55	-0.533	0.817	1.354	-0.128	0.958	2.649	0.122	0.485	1.1	0.789	1.161	-2.096	0.422	-3.855	-1.067	0.127	-0.737	2.684	0.171	0.262	-2.248	1.553	0.46	1.128	-0.685
t25	-2.348	0.935	-1.596	0.109	-0.962	-0.614	0.27	1.491	0.391	0.945	1.241	-0.93	0.336	1.697	0.556	0.791	-2.208	0.19	-2.912	-1.237	-0.179	-0.031	1.922	0.159	0.593	-1.772	1.549	1.161	0.414	0.037
t3	-0.851	1.693	0.413	-0.24	-0.794	-1.099	1.158	1.955	-0.304	1.624	0.038	-2.451	1.305	1.555	0.023	-0.286	-1.962	-1.367	-0.337	-0.032	-1.951	0.111	-0.571	-0.707	1.112	-0.787	1.646	1.039	-0.486	0.55
t24	-2.669	0.741	-1.496	0.498	-0.621	-0.786	0.639	1.376	-0.663	1.152	1.711	-0.617	0.907	1.607	0.393	0.889	-2.155	-0.014	-2.693	-0.891	0.787	-0.74	1.682	-0.096	0.562	-2.304	1.755	1.152	0.351	-0.462
t9	-2.976	0.583	-1.208	1.143	-0.356	-0.834	1.187	1.537	-0.858	1.327	1.989	-0.416	1.193	1.007	0.554	0.688	-1.976	-0.378	-2.604	-0.467	-0.358	-0.751	1.344	-0.226	0.475	-2.022	1.725	0.563	0.691	-0.579
t22	-2.809	0.527	-0.945	0.974	-0.073	-1.022	1.613	1.422	-1.498	1.566	2.112	-0.497	1.667	0.953	0.339	0.603	-1.906	-0.598	-2.234	-0.013	0.562	-1.369	0.991	-0.504	0.512	-2.339	1.856	0.514	0.492	-0.899
t5	-2.875	0.506	-1.317	0.852	-0.299	-0.849	1.295	1.386	-0.791	1.352	2.058	-0.423	1.19	1.017	0.516	0.723	-1.968	-0.193	-2.797	-0.367	0.302	-1.029	1.491	-0.264	0.442	-2.159	1.731	0.512	0.68	-0.727
t38	-2.574	0.655	-1.091	0.338	-0.328	-0.818	1.413	1.555	-0.102	1.391	1.792	-0.87	1.028	0.914	0.57	0.488	-1.914	-0.248	-2.724	-0.261	-0.55	-0.718	1.427	-0.273	0.506	-1.783	1.583	0.29	0.701	-0.402
t8	-1.947	0.933	-0.582	0.193	-0.384	-0.971	1.425	1.61	-0.656	1.519	1.483	-1.216	1.32	1.138	0.293	0.302	-1.93	-0.719	-1.803	-0.098	-0.541	-0.782	0.694	-0.5	0.695	-1.665	1.689	0.569	0.247	-0.32
t14	-2.375	0.87	-2.019	-0.024	-1.158	-0.44	-0.023	1.429	0.77	0.727	1.505	-0.662	-0.067	1.781	0.702	1.006	-2.28	0.537	-3.438	-1.609	-0.318	0.096	2.473	0.38	0.505	-1.712	1.469	1.161	0.623	0.085
