feature	pagel_lam_posterior_mean	pagel_lam_map	beta_alpha_mle	beta_beta_mle	hierarchical_converged	pagel_lam_sim
feature_1	0.0625000000005098	0.0625	0.001	200	TRUE	0.442
feature_2	0.0625000000006268	0.0625	0.001	200	TRUE	0.293
feature_3	0.0625000000029123	0.0625	0.001	200	TRUE	0.285
feature_4	0.0625000000005426	0.0625	0.001	200	TRUE	0.246
feature_5	0.062500000000266	0.0625	0.001	200	TRUE	0.174
feature_6	0.0625000000003421	0.0625	0.001	200	TRUE	0.022
feature_7	0.0625000000003076	0.0625	0.001	200	TRUE	0.312
feature_8	0.0625000000002408	0.0625	0.001	200	TRUE	0.025
feature_9	0.0625000000005286	0.0625	0.001	200	TRUE	0.365
feature_10	0.0625000000028945	0.0625	0.001	200	TRUE	0.069
feature_11	0.06250000000846	0.0625	0.001	200	TRUE	0.443
feature_12	0.0625000000002893	0.0625	0.001	200	TRUE	0.004
feature_13	0.0625000003589012	0.0625	0.001	200	TRUE	0.685
feature_14	0.0625000000027989	0.0625	0.001	200	TRUE	0.245
feature_15	0.0625000000086069	0.0625	0.001	200	TRUE	0.348
feature_16	0.0625000000002172	0.0625	0.001	200	TRUE	0.15
feature_17	0.0625000000003297	0.0625	0.001	200	TRUE	0.276
feature_18	0.0625000000003083	0.0625	0.001	200	TRUE	0.006
feature_19	0.0625000000005912	0.0625	0.001	200	TRUE	0.109
feature_20	0.0625000000001545	0.0625	0.001	200	TRUE	0.218
feature_21	0.0625000000007969	0.0625	0.001	200	TRUE	0.132
feature_22	0.0625000000001132	0.0625	0.001	200	TRUE	0.039
feature_23	0.0625000000002236	0.0625	0.001	200	TRUE	0.074
feature_24	0.0625000000011333	0.0625	0.001	200	TRUE	0.003
feature_25	0.0625000000001337	0.0625	0.001	200	TRUE	0.108
feature_26	0.0625000000017022	0.0625	0.001	200	TRUE	0.394
feature_27	0.06250000000009	0.0625	0.001	200	TRUE	0.179
feature_28	0.0625000000010613	0.0625	0.001	200	TRUE	0.268
feature_29	0.0625000000001393	0.0625	0.001	200	TRUE	0.311
feature_30	0.0625000000004952	0.0625	0.001	200	TRUE	0.261
feature_31	0.0625000000006474	0.0625	0.001	200	TRUE	0.167
feature_32	0.0625000000010192	0.0625	0.001	200	TRUE	0.037
feature_33	0.0625000000003062	0.0625	0.001	200	TRUE	0.003
feature_34	0.0625000000001424	0.0625	0.001	200	TRUE	0.001
feature_35	0.0625000000003419	0.0625	0.001	200	TRUE	0.309
feature_36	0.0625000000035169	0.0625	0.001	200	TRUE	0.279
feature_37	0.0625000000001468	0.0625	0.001	200	TRUE	0.2
feature_38	0.062500000000081	0.0625	0.001	200	TRUE	0.045
feature_39	0.0625000000015077	0.0625	0.001	200	TRUE	0.463
feature_40	0.0625000000096016	0.0625	0.001	200	TRUE	0.217
feature_41	0.0625000000002951	0.0625	0.001	200	TRUE	0.061
feature_42	0.0625000000019929	0.0625	0.001	200	TRUE	0.424
feature_43	0.0625000000002283	0.0625	0.001	200	TRUE	0.219
feature_44	0.0625000000004695	0.0625	0.001	200	TRUE	0.005
feature_45	0.0625000007130348	0.0625	0.001	200	TRUE	0.807
feature_46	0.062500000000189	0.0625	0.001	200	TRUE	0.115
feature_47	0.062500000000096	0.0625	0.001	200	TRUE	0.149
feature_48	0.0625000000001988	0.0625	0.001	200	TRUE	0.088
feature_49	0.062500000005744	0.0625	0.001	200	TRUE	0.045
feature_50	0.0625000000365658	0.0625	0.001	200	TRUE	0.488
feature_51	0.0625000000000889	0.0625	0.001	200	TRUE	0.078
feature_52	0.0625001541182814	0.0625	0.001	200	TRUE	0.453
feature_53	0.0625000000014554	0.0625	0.001	200	TRUE	0.047
feature_54	0.062500000000105	0.0625	0.001	200	TRUE	0.001
feature_55	0.062500000000119	0.0625	0.001	200	TRUE	0.284
feature_56	0.0625000000015089	0.0625	0.001	200	TRUE	0.165
feature_57	0.0625000000002135	0.0625	0.001	200	TRUE	0.009
feature_58	0.062500000000469	0.0625	0.001	200	TRUE	0.041
feature_59	0.0625000000009873	0.0625	0.001	200	TRUE	0.464
feature_60	0.0625000000002994	0.0625	0.001	200	TRUE	0.091
feature_61	0.062500000000099	0.0625	0.001	200	TRUE	0.028
feature_62	0.062500000000164	0.0625	0.001	200	TRUE	0.072
feature_63	0.0625000000019559	0.0625	0.001	200	TRUE	0.24
feature_64	0.0625000000007351	0.0625	0.001	200	TRUE	0.003
feature_65	0.0625000000131916	0.0625	0.001	200	TRUE	0.636
feature_66	0.0625000000584434	0.0625	0.001	200	TRUE	0.435
feature_67	0.0625000000001177	0.0625	0.001	200	TRUE	0.135
feature_68	0.0625000000000771	0.0625	0.001	200	TRUE	0.198
feature_69	0.0625000000001309	0.0625	0.001	200	TRUE	0.084
feature_70	0.0625000000001401	0.0625	0.001	200	TRUE	0.044
feature_71	0.0625000000001088	0.0625	0.001	200	TRUE	0.038
feature_72	0.0625000000001155	0.0625	0.001	200	TRUE	0.161
feature_73	0.0625000000004372	0.0625	0.001	200	TRUE	0.035
feature_74	0.0625000000000691	0.0625	0.001	200	TRUE	0.007
feature_75	0.0625000000002946	0.0625	0.001	200	TRUE	0.258
feature_76	0.0625000000002776	0.0625	0.001	200	TRUE	0.128
feature_77	0.0625000000000951	0.0625	0.001	200	TRUE	0.008
feature_78	0.0625000000001972	0.0625	0.001	200	TRUE	0.182
feature_79	0.0625000000001269	0.0625	0.001	200	TRUE	0.082
feature_80	0.0625000000032738	0.0625	0.001	200	TRUE	0.225
feature_81	0.0625000000004486	0.0625	0.001	200	TRUE	0.201
feature_82	0.0625000000004711	0.0625	0.001	200	TRUE	0.052
feature_83	0.0625000000009346	0.0625	0.001	200	TRUE	0.119
feature_84	0.062500000059072	0.0625	0.001	200	TRUE	0.569
feature_85	0.0625000000003201	0.0625	0.001	200	TRUE	0.36
feature_86	0.0625000000198815	0.0625	0.001	200	TRUE	0.46
feature_87	0.0625000000127306	0.0625	0.001	200	TRUE	0.257
feature_88	0.0625000000000969	0.0625	0.001	200	TRUE	0.112
feature_89	0.0625000000003472	0.0625	0.001	200	TRUE	0.072
feature_90	0.0625000000164284	0.0625	0.001	200	TRUE	0.737
feature_91	0.0625000000027694	0.0625	0.001	200	TRUE	0.521
feature_92	0.0625000000072897	0.0625	0.001	200	TRUE	0.232
feature_93	0.0625000000003306	0.0625	0.001	200	TRUE	0.493
feature_94	0.0625000000006809	0.0625	0.001	200	TRUE	0.036
feature_95	0.0625000000002302	0.0625	0.001	200	TRUE	0.067
feature_96	0.062500000000147	0.0625	0.001	200	TRUE	0.186
feature_97	0.0625000000001392	0.0625	0.001	200	TRUE	0.104
feature_98	0.0625000000033352	0.0625	0.001	200	TRUE	0.259
feature_99	0.0625000000093465	0.0625	0.001	200	TRUE	0.416
feature_100	0.0625000000003493	0.0625	0.001	200	TRUE	0.085
