V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t21	0	0.005	0	0.011	0.002	0.005	0.004	0.016	0.007	0.007	0.25	0.018	0.004	0.019	0.016	0.041	0	0.025	0	0.001	0.014	0.004	0.471	0.011	0.005	0	0.022	0.01	0.029	0.002
t1	0.001	0.024	0.006	0.028	0.018	0.006	0.115	0.053	0.006	0.086	0.122	0.008	0.085	0.038	0.023	0.028	0.003	0.013	0.001	0.023	0.069	0.003	0.052	0.009	0.025	0.001	0.102	0.021	0.029	0.005
t35	0	0.014	0.001	0.019	0.009	0.006	0.032	0.036	0.004	0.034	0.255	0.017	0.03	0.043	0.02	0.046	0.001	0.018	0	0.005	0.081	0.002	0.174	0.012	0.015	0.001	0.069	0.023	0.03	0.004
t4	0.001	0.02	0.002	0.025	0.008	0.008	0.032	0.055	0.013	0.037	0.202	0.016	0.023	0.043	0.031	0.046	0.002	0.022	0	0.005	0.016	0.007	0.209	0.017	0.019	0.002	0.067	0.023	0.044	0.007
t25	0.002	0.048	0.004	0.021	0.007	0.01	0.025	0.083	0.028	0.048	0.065	0.007	0.026	0.102	0.033	0.041	0.002	0.023	0.001	0.005	0.016	0.018	0.128	0.022	0.034	0.003	0.088	0.06	0.028	0.019
t3	0.008	0.1	0.028	0.014	0.008	0.006	0.058	0.129	0.014	0.093	0.019	0.002	0.068	0.087	0.019	0.014	0.003	0.005	0.013	0.018	0.003	0.02	0.01	0.009	0.056	0.008	0.095	0.052	0.011	0.032
t24	0.001	0.038	0.004	0.03	0.01	0.008	0.034	0.071	0.009	0.057	0.1	0.01	0.045	0.09	0.027	0.044	0.002	0.018	0.001	0.007	0.04	0.009	0.097	0.016	0.032	0.002	0.104	0.057	0.026	0.011
t9	0.001	0.032	0.005	0.057	0.013	0.008	0.059	0.084	0.008	0.068	0.132	0.012	0.06	0.05	0.032	0.036	0.003	0.012	0.001	0.011	0.013	0.009	0.069	0.014	0.029	0.002	0.102	0.032	0.036	0.01
t22	0.001	0.029	0.007	0.045	0.016	0.006	0.085	0.07	0.004	0.081	0.14	0.01	0.089	0.044	0.024	0.031	0.003	0.009	0.002	0.017	0.03	0.004	0.045	0.01	0.028	0.002	0.108	0.028	0.028	0.007
t5	0.001	0.03	0.005	0.042	0.013	0.008	0.065	0.072	0.008	0.069	0.14	0.012	0.059	0.05	0.03	0.037	0.003	0.015	0.001	0.012	0.024	0.006	0.08	0.014	0.028	0.002	0.101	0.03	0.035	0.009
t38	0.001	0.037	0.006	0.027	0.014	0.008	0.079	0.091	0.017	0.077	0.115	0.008	0.054	0.048	0.034	0.031	0.003	0.015	0.001	0.015	0.011	0.009	0.08	0.015	0.032	0.003	0.093	0.026	0.039	0.013
t8	0.003	0.05	0.011	0.024	0.013	0.007	0.082	0.099	0.01	0.09	0.087	0.006	0.074	0.061	0.026	0.027	0.003	0.01	0.003	0.018	0.011	0.009	0.039	0.012	0.039	0.004	0.107	0.035	0.025	0.014
t14	0.002	0.04	0.002	0.016	0.005	0.011	0.016	0.069	0.036	0.034	0.075	0.009	0.016	0.099	0.034	0.045	0.002	0.028	0.001	0.003	0.012	0.018	0.197	0.024	0.028	0.003	0.072	0.053	0.031	0.018
