V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t37	-3.924	-4.998	-4.249	-4.84	-5.006	-7.049	-3.199	-4.073	-4.298	-3.64	-5.875	-4.482	-4.814	-4.8	-0.892	-5.42	-3.395	-3.759	-4.189	-3.212	-5.269	-4.871	-4.419	-3.385	-3.856	-3.871	-3.555	-3.289	-2.433	-3.359
t129	-4.057	-3.217	-4.517	-4.294	-3.491	-5.82	-5.645	-3.208	-4.977	-2.951	-4.368	-3.737	-3.995	-4.559	-1.244	-4.797	-4.29	-4.876	-6.125	-3.537	-6.536	-4.953	-3.686	-6.015	-4.675	-4.338	-2.816	-4.318	-1.75	-2.788
t6	-4.78	-4.416	-4.828	-7.045	-5.33	-7.2	-5.103	-2.82	-4.943	-3.816	-6.471	-2.464	-4.719	-4.655	-1.05	-5.458	-3.964	-3.799	-4.449	-3.645	-6.094	-6.224	-4.02	-4.248	-4.113	-4.465	-3.42	-2.263	-3.793	-2.223
t67	-4.426	-3.795	-4.763	-4.993	-4.066	-6.058	-5.024	-3.222	-5.751	-3.041	-3.782	-1.853	-4.129	-4.808	-1.524	-4.925	-4.168	-4.15	-5.577	-3.506	-4.875	-5.037	-3.477	-5.393	-4.748	-4.315	-2.812	-4.597	-3.45	-1.797
t14	-3.976	-5.285	-4.626	-5.126	-5.38	-7.631	-4.512	-4.779	-4.44	-3.565	-6.022	-4.166	-5.17	-5.198	-0.732	-5.701	-3.592	-4.856	-4.44	-3.495	-6.756	-4.723	-4.651	-3.434	-3.833	-4.052	-3.855	-4.039	-1.979	-3.292
t91	-3.768	-4.539	-4.71	-3.089	-4.354	-6.451	-4.31	-5.145	-5.685	-2.708	-2.982	-1.989	-4.545	-5.529	-1.589	-5.163	-3.876	-5.066	-5.779	-3.349	-5.62	-3.422	-3.89	-4.621	-4.762	-3.957	-3.128	-5.951	-1.906	-3.189
t126	-5.304	-3.051	-5.303	-5.171	-3.395	-5.452	-6.022	-2.376	-7.149	-3.234	-2.925	-1.367	-3.874	-5.078	-2.585	-4.86	-5.26	-4.235	-7.238	-4.157	-4.212	-5.845	-3.199	-7.58	-6.005	-5.09	-2.643	-5.818	-4.576	-1.852
t87	-3.954	-5.252	-5.043	-5.59	-5.551	-7.728	-5.976	-5.353	-4.385	-3.534	-5.981	-4.01	-5.315	-5.273	-0.693	-5.86	-3.826	-5.904	-4.606	-3.662	-8.473	-4.764	-4.748	-3.967	-3.85	-4.295	-3.898	-4.17	-2.043	-2.505
t7	-6.279	-3.202	-5.452	-6.651	-4.027	-5.768	-5.303	-1.186	-7.54	-4.068	-4.38	-1.454	-4.062	-4.963	-3.136	-5.123	-5.468	-2.94	-7.116	-4.398	-3.478	-7.461	-3.427	-7.653	-6.441	-5.508	-2.921	-3.866	-6.19	-2.717
t4	-3.82	-6.174	-4.617	-4.661	-5.934	-8.126	-3.608	-5.928	-4.043	-4.01	-6.719	-5.862	-5.715	-5.503	-0.834	-6.155	-3.418	-5.034	-4.161	-3.501	-6.967	-4.524	-5.391	-2.828	-3.78	-4.034	-4.397	-3.979	-1.632	-4.343
t121	-4.001	-4.54	-4.761	-5.399	-4.961	-7.17	-5.577	-4.267	-4.477	-3.365	-5.676	-3.665	-4.838	-4.944	-0.79	-5.469	-3.876	-5.228	-4.838	-3.541	-7.731	-4.913	-4.292	-4.345	-3.98	-4.219	-3.5	-3.84	-2.056	-2.605
t162	-4.407	-4.719	-4.601	-5.928	-5.078	-6.989	-4.584	-3.653	-4.786	-3.66	-5.919	-3.253	-4.672	-4.687	-0.825	-5.37	-3.665	-3.783	-4.346	-3.495	-4.72	-5.69	-4.235	-3.975	-3.991	-4.233	-3.431	-2.986	-3.421	-2.301
t54	-4.872	-3.146	-4.82	-6.288	-4.113	-6.145	-6.309	-2.166	-5.177	-3.478	-5.505	-2.883	-4.063	-4.271	-1.246	-4.962	-4.446	-4.236	-5.704	-3.738	-6.713	-6.468	-3.661	-6.198	-4.721	-4.741	-2.875	-2.606	-3.412	-2.142
t183	-4.397	-5.133	-4.755	-5.89	-5.764	-8.014	-5.27	-4.563	-3.726	-4.398	-8.346	-6.547	-5.506	-4.977	-0.814	-6.106	-3.97	-5.216	-4.825	-3.86	-8.885	-6.093	-5.464	-4.209	-4.08	-4.62	-4.36	-2.148	-1.521	-4.919
t30	-5.593	-2.577	-4.808	-5.087	-3.261	-5.121	-5.038	-1.372	-6.627	-3.546	-4.051	-2.288	-3.573	-4.417	-2.476	-4.616	-4.915	-2.968	-7.091	-3.892	-3.809	-6.808	-3.313	-7.583	-6.061	-5.047	-2.515	-3.119	-4.502	-3.405
t175	-5.431	-2.225	-5.145	-4.262	-2.845	-4.844	-5.967	-1.942	-7.117	-3.12	-2.766	-1.68	-3.519	-4.791	-2.917	-4.584	-5.366	-4.162	-8.108	-4.054	-5.368	-6.056	-3.11	-8.578	-6.528	-5.202	-2.365	-4.484	-3.843	-3.329
