feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t84	-0.262	1.175	0.47	0.966	1.331	0.024	-1.786	-1.014	-0.767	-1.66	0.698	-1.213	-0.205	-0.624	0.717	-0.521	-1.8	0.64	-1.282	0.22	1.299	-0.129	1.466	-0.625	1.209	1.44	0.611	-0.057	-1.061	0.732
t163	-0.536	1.267	0.786	1.142	0.735	-0.133	-1.092	-0.665	-0.323	-2.342	0.697	-1.37	-0.461	-1.129	0.768	-0.772	-1.118	0.576	-1.549	0.528	0.959	-0.436	1.232	0.68	0.602	1.599	0.648	-0.264	-0.886	0.852
t125	0.202	1.352	1.025	1.078	1.214	0.008	-1.715	-2.429	-0.108	-2.012	0.739	-1.87	-0.437	-1.232	0.971	-0.947	-1.161	0.991	-0.941	0.51	1.498	-0.183	1.186	-0.813	0.938	1.602	0.757	-0.166	-0.999	0.93
t134	0.067	0.988	0.668	1.245	1.204	0.097	-1.465	-1.935	-0.49	-2.383	0.717	-1.3	-0.559	-1.183	0.884	-0.864	-1.58	0.981	-1.496	0.314	1.266	-0.359	1.508	0.187	0.767	1.662	0.983	-0.207	-0.641	0.918
t97	0.111	1.082	0.579	1.092	1.242	-0.085	-1.46	-1.589	-0.565	-2.32	0.724	-1.288	-0.931	-0.644	0.822	-0.459	-1.593	0.861	-1.733	0.667	0.915	-0.461	1.601	0.61	0.77	1.606	0.886	-0.25	-1.078	0.88
t118	0.099	0.861	0.181	1.141	1.518	-0.147	-1.477	-1.185	-0.944	-2.238	0.642	-1.007	-0.861	-0.201	0.693	-0.779	-1.85	0.865	-1.729	0.587	0.856	-0.438	1.62	1.088	1.111	1.492	0.789	-0.242	-1.172	0.717
t178	0.273	1.206	0.348	0.983	1.06	-0.263	-1.76	-1.18	-0.477	-2.646	0.65	-1.183	-0.388	-0.47	0.643	-0.73	-1.069	1.039	-1.501	0.722	1.155	-0.46	1.141	0.337	0.953	1.527	0.721	-0.249	-1.182	0.793
t13	-0.192	1.024	0.648	0.938	1.459	0.029	-1.805	-0.243	-0.811	-1.829	0.713	-0.95	-0.763	-0.923	0.892	-0.631	-1.658	0.505	-1.382	0.504	0.731	-0.258	1.474	-0.292	0.868	1.539	0.559	-0.155	-0.817	0.822
t176	0.057	0.984	0.903	0.945	1.442	-0.133	-2.051	-0.513	-0.729	-2.103	0.665	-1.032	-0.514	-1.004	0.93	-0.9	-1.028	0.429	-1.019	0.919	0.468	-0.279	0.996	-0.517	1.184	1.585	0.298	-0.207	-0.671	0.886
t133	0.796	0.971	0.41	0.947	1.817	-0.098	-2.02	-1.586	-0.75	-1.957	0.72	-0.975	-1.063	-0.366	0.96	-1.162	-1.342	0.887	-1.069	0.825	0.74	-0.269	1.29	-0.369	0.909	1.561	0.619	-0.225	-1.068	0.858
