V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t194	0.001	0.003	0.013	0.023	0.033	0.038	0.084	0.003	0.012	0.004	0.014	0.006	0.095	0.001	0.027	0.008	0.002	0.008	0.008	0.035	0.01	0.003	0.013	0.032	0.333	0.08	0.001	0.028	0.069	0.013
t111	0	0.053	0.001	0.005	0.007	0.003	0.003	0.008	0.001	0	0.002	0.001	0.002	0.014	0	0.015	0.03	0.005	0	0.001	0.003	0.017	0.002	0.037	0.117	0.581	0.002	0	0.033	0.057
t4	0.003	0.002	0.015	0.025	0.039	0.045	0.051	0.003	0.014	0.004	0.017	0.011	0.064	0.003	0.02	0.006	0.006	0.006	0.007	0.035	0.008	0.008	0.014	0.024	0.304	0.161	0.005	0.025	0.068	0.008
t140	0.002	0.001	0.009	0.017	0.03	0.014	0.015	0.005	0.008	0.004	0.013	0.008	0.024	0.006	0.004	0.007	0.041	0.006	0.003	0.015	0.01	0.012	0.008	0.024	0.254	0.329	0.02	0.01	0.083	0.015
t56	0.002	0.003	0.009	0.019	0.025	0.024	0.024	0.004	0.007	0.002	0.012	0.005	0.035	0.004	0.008	0.007	0.012	0.007	0.004	0.021	0.009	0.007	0.009	0.038	0.357	0.219	0.017	0.009	0.086	0.015
t186	0.002	0.004	0.01	0.017	0.029	0.03	0.016	0.003	0.009	0.003	0.012	0.009	0.028	0.004	0.008	0.005	0.014	0.004	0.005	0.023	0.009	0.008	0.01	0.005	0.179	0.46	0.004	0.026	0.061	0.005
t154	0.006	0.001	0.012	0.02	0.031	0.064	0.057	0.002	0.015	0.008	0.014	0.011	0.186	0.002	0.041	0.002	0.002	0.003	0.007	0.038	0.015	0.007	0.013	0.012	0.292	0.063	0.003	0.028	0.042	0.005
t34	0.003	0.005	0.007	0.012	0.026	0.024	0.006	0.006	0.005	0.002	0.014	0.015	0.012	0.015	0.002	0.005	0.107	0.003	0.002	0.01	0.014	0.012	0.006	0.01	0.076	0.523	0.011	0.006	0.055	0.01
t177	0	0.004	0.004	0.009	0.013	0.005	0.004	0.006	0.002	0.001	0.006	0.003	0.006	0.006	0.002	0.008	0.029	0.007	0.001	0.005	0.003	0.015	0.003	0.033	0.251	0.46	0.027	0.001	0.057	0.03
t144	0	0.027	0.001	0.005	0.004	0.002	0.003	0.004	0	0	0.002	0	0.004	0.002	0.002	0.007	0.002	0.01	0	0.002	0	0.006	0.002	0.036	0.279	0.501	0.004	0	0.044	0.051
t50	0	0.012	0.006	0.016	0.018	0.021	0.014	0.004	0.004	0.001	0.008	0.005	0.035	0.003	0.013	0.006	0.004	0.008	0.004	0.017	0.004	0.005	0.007	0.013	0.301	0.371	0.001	0.004	0.077	0.017
t180	0	0.014	0.004	0.012	0.013	0.007	0.008	0.005	0.002	0	0.005	0.002	0.009	0.003	0.005	0.01	0.004	0.012	0.001	0.007	0.001	0.005	0.004	0.034	0.378	0.347	0.003	0.001	0.06	0.042
t17	0.001	0.003	0.011	0.019	0.031	0.022	0.046	0.004	0.009	0.002	0.011	0.005	0.029	0.003	0.014	0.009	0.006	0.007	0.004	0.02	0.005	0.01	0.01	0.055	0.417	0.165	0.007	0.008	0.055	0.014
t198	0.002	0	0.014	0.016	0.031	0.019	0.085	0.002	0.013	0.003	0.01	0.003	0.042	0.001	0.02	0.004	0.005	0.005	0.006	0.025	0.007	0.007	0.01	0.058	0.449	0.054	0.037	0.023	0.044	0.005
t3	0.001	0.002	0.013	0.021	0.025	0.027	0.039	0.003	0.009	0.002	0.01	0.004	0.042	0.002	0.024	0.005	0.003	0.007	0.006	0.034	0.006	0.004	0.011	0.026	0.388	0.187	0.006	0.019	0.069	0.007
t78	0.006	0.001	0.012	0.02	0.029	0.042	0.029	0.003	0.01	0.009	0.014	0.008	0.127	0.005	0.022	0.003	0.008	0.004	0.008	0.031	0.014	0.024	0.01	0.009	0.317	0.145	0.009	0.011	0.065	0.006
t65	0.002	0.003	0.008	0.016	0.02	0.024	0.011	0.003	0.006	0.007	0.01	0.009	0.063	0.004	0.015	0.002	0.005	0.003	0.003	0.019	0.005	0.018	0.008	0.006	0.326	0.332	0.004	0.005	0.054	0.009
t83	0.018	0	0.018	0.02	0.051	0.084	0.059	0.002	0.026	0.005	0.021	0.015	0.065	0.004	0.013	0.003	0.02	0.002	0.011	0.04	0.049	0.009	0.015	0.006	0.117	0.13	0.009	0.14	0.045	0.002
t127	0.009	0	0.014	0.012	0.033	0.043	0.138	0.001	0.029	0.006	0.011	0.006	0.116	0	0.035	0.001	0.001	0.001	0.014	0.04	0.023	0.002	0.011	0.006	0.142	0.015	0.002	0.266	0.019	0.001
t145	0.006	0.001	0.013	0.015	0.038	0.121	0.053	0.002	0.018	0.009	0.015	0.011	0.106	0.003	0.019	0.003	0.01	0.001	0.014	0.044	0.066	0.003	0.012	0.001	0.116	0.097	0	0.165	0.035	0.001
t94	0.003	0	0.016	0.019	0.033	0.027	0.08	0.001	0.02	0.003	0.013	0.007	0.058	0.001	0.023	0.003	0.003	0.004	0.006	0.039	0.01	0.002	0.013	0.059	0.385	0.047	0.015	0.061	0.043	0.004
t89	0.002	0.002	0.012	0.021	0.045	0.024	0.06	0.007	0.012	0.002	0.016	0.005	0.025	0.007	0.005	0.019	0.034	0.007	0.004	0.017	0.022	0.012	0.011	0.074	0.227	0.194	0.02	0.021	0.075	0.019
t77	0.005	0.001	0.008	0.016	0.026	0.02	0.015	0.003	0.007	0.006	0.011	0.01	0.047	0.006	0.01	0.004	0.012	0.004	0.003	0.017	0.01	0.023	0.008	0.015	0.346	0.291	0.006	0.006	0.053	0.012
t165	0	0.014	0.008	0.016	0.02	0.014	0.022	0.005	0.005	0.001	0.009	0.003	0.015	0.003	0.005	0.014	0.012	0.009	0.002	0.016	0.007	0.003	0.007	0.079	0.241	0.348	0.005	0.007	0.084	0.023
