V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.078	-0.072	0.026	0.021	-0.013	-0.025	0.083	0.009	-0.028	0.009	0.013	-0.071	0.111	0	0.07	0.008	0.15	-0.076	0.066	0.053	0.002	0.05	0.015	0.051	0.021	0.02	-0.087	-0.006	-0.053	0.007	-0.038
2	-0.072	0.3	-0.093	-0.057	0.04	0.055	-0.178	0	0.087	-0.037	-0.047	0.238	-0.355	-0.044	-0.144	-0.049	-0.234	0.27	-0.158	-0.154	0.053	-0.157	0.033	-0.132	-0.086	-0.055	0.329	0.026	0.149	-0.1	0.092
3	0.026	-0.093	0.047	0.027	-0.014	-0.02	0.067	-0.003	-0.045	0.013	0.029	-0.084	0.137	0.012	0.069	0.017	0.078	-0.107	0.059	0.067	-0.026	0.057	-0.032	0.044	0.032	0.028	-0.125	-0.011	-0.065	0.022	-0.04
4	0.021	-0.057	0.027	0.022	-0.009	-0.014	0.021	-0.006	-0.025	0.009	0.025	-0.055	0.084	0.013	0.052	0.015	0.029	-0.063	0.04	0.041	-0.017	0.038	-0.01	0.04	0.018	0.018	-0.092	-0.005	-0.046	0.021	-0.028
5	-0.013	0.04	-0.014	-0.009	0.01	0.008	-0.036	-0.001	0.016	-0.005	-0.01	0.037	-0.051	-0.003	-0.021	-0.011	-0.028	0.042	-0.038	-0.021	0.017	-0.027	0.015	-0.018	-0.014	-0.016	0.054	0.005	0.031	-0.021	0.013
6	-0.025	0.055	-0.02	-0.014	0.008	0.014	-0.047	0	0.018	-0.007	-0.013	0.05	-0.076	-0.01	-0.04	-0.01	-0.051	0.054	-0.039	-0.035	0.015	-0.034	-0.001	-0.031	-0.016	-0.012	0.069	0.004	0.036	-0.017	0.024
7	0.083	-0.178	0.067	0.021	-0.036	-0.047	0.372	0.026	-0.078	0.016	0.019	-0.167	0.275	0.021	0.098	0.022	0.29	-0.197	0.164	0.131	-0.093	0.111	0.028	0.049	0.071	0.027	-0.186	-0.016	-0.106	0.027	-0.086
8	0.009	0	-0.003	-0.006	-0.001	0	0.026	0.027	0.004	-0.001	-0.009	0.005	0.012	-0.005	-0.007	-0.013	0.045	0	-0.006	0	0.017	-0.005	0.026	-0.011	0.005	-0.011	0.02	0	0.005	-0.031	-0.002
9	-0.028	0.087	-0.045	-0.025	0.016	0.018	-0.078	0.004	0.06	-0.012	-0.034	0.082	-0.141	-0.009	-0.062	-0.012	-0.105	0.107	-0.06	-0.071	0.026	-0.056	0.038	-0.043	-0.032	-0.03	0.128	0.016	0.065	-0.019	0.045
10	0.009	-0.037	0.013	0.009	-0.005	-0.007	0.016	-0.001	-0.012	0.005	0.009	-0.031	0.047	0.008	0.023	0.008	0.02	-0.034	0.021	0.021	-0.008	0.021	-0.004	0.021	0.011	0.007	-0.047	-0.003	-0.023	0.013	-0.014
11	0.013	-0.047	0.029	0.025	-0.01	-0.013	0.019	-0.009	-0.034	0.009	0.038	-0.055	0.089	0.014	0.054	0.012	0.008	-0.066	0.04	0.047	-0.028	0.039	-0.027	0.041	0.017	0.024	-0.107	-0.008	-0.056	0.025	-0.032
12	-0.071	0.238	-0.084	-0.055	0.037	0.05	-0.167	0.005	0.082	-0.031	-0.055	0.208	-0.308	-0.04	-0.144	-0.045	-0.172	0.229	-0.155	-0.139	0.066	-0.14	0.041	-0.121	-0.071	-0.058	0.299	0.021	0.149	-0.092	0.087
13	0.111	-0.355	0.137	0.084	-0.051	-0.076	0.275	0.012	-0.141	0.047	0.089	-0.308	0.503	0.062	0.228	0.049	0.326	-0.359	0.208	0.233	-0.078	0.204	-0.032	0.173	0.114	0.07	-0.442	-0.036	-0.22	0.08	-0.151
14	0	-0.044	0.012	0.013	-0.003	-0.01	0.021	-0.005	-0.009	0.008	0.014	-0.04	0.062	0.03	0.038	0.011	-0.016	-0.026	0.018	0.028	-0.019	0.024	0.021	0.033	0.01	-0.005	-0.062	0.001	-0.028	0.018	-0.026
15	0.07	-0.144	0.069	0.052	-0.021	-0.04	0.098	-0.007	-0.062	0.023	0.054	-0.144	0.228	0.038	0.147	0.032	0.105	-0.151	0.105	0.112	-0.04	0.097	-0.009	0.102	0.044	0.036	-0.216	-0.01	-0.12	0.04	-0.08
16	0.008	-0.049	0.017	0.015	-0.011	-0.01	0.022	-0.013	-0.012	0.008	0.012	-0.045	0.049	0.011	0.032	0.026	-0.008	-0.043	0.05	0.021	-0.03	0.033	-0.012	0.029	0.014	0.018	-0.069	-0.001	-0.035	0.038	-0.014
17	0.15	-0.234	0.078	0.029	-0.028	-0.051	0.29	0.045	-0.105	0.02	0.008	-0.172	0.326	-0.016	0.105	-0.008	0.576	-0.25	0.114	0.156	0.035	0.113	0.06	0.07	0.077	0.019	-0.183	-0.034	-0.072	-0.047	-0.1
18	-0.076	0.27	-0.107	-0.063	0.042	0.054	-0.197	0	0.107	-0.034	-0.066	0.229	-0.359	-0.026	-0.151	-0.043	-0.25	0.289	-0.167	-0.168	0.067	-0.156	0.06	-0.118	-0.088	-0.072	0.336	0.031	0.16	-0.079	0.096
19	0.066	-0.158	0.059	0.04	-0.038	-0.039	0.164	-0.006	-0.06	0.021	0.04	-0.155	0.208	0.018	0.105	0.05	0.114	-0.167	0.165	0.092	-0.08	0.111	-0.031	0.083	0.054	0.059	-0.22	-0.013	-0.124	0.083	-0.06
20	0.053	-0.154	0.067	0.041	-0.021	-0.035	0.131	0	-0.071	0.021	0.047	-0.139	0.233	0.028	0.112	0.021	0.156	-0.168	0.092	0.115	-0.04	0.092	-0.015	0.079	0.051	0.034	-0.205	-0.017	-0.1	0.03	-0.074
21	0.002	0.053	-0.026	-0.017	0.017	0.015	-0.093	0.017	0.026	-0.008	-0.028	0.066	-0.078	-0.019	-0.04	-0.03	0.035	0.067	-0.08	-0.04	0.08	-0.048	0.033	-0.028	-0.022	-0.031	0.108	0.003	0.06	-0.063	0.023
22	0.05	-0.157	0.057	0.038	-0.027	-0.034	0.111	-0.005	-0.056	0.021	0.039	-0.14	0.204	0.024	0.097	0.033	0.113	-0.156	0.111	0.092	-0.048	0.096	-0.031	0.082	0.048	0.044	-0.205	-0.015	-0.103	0.065	-0.057
23	0.015	0.033	-0.032	-0.01	0.015	-0.001	0.028	0.026	0.038	-0.004	-0.027	0.041	-0.032	0.021	-0.009	-0.012	0.06	0.06	-0.031	-0.015	0.033	-0.031	0.195	-0.01	-0.011	-0.069	0.081	0.019	0.058	-0.082	-0.018
24	0.051	-0.132	0.044	0.04	-0.018	-0.031	0.049	-0.011	-0.043	0.021	0.041	-0.121	0.173	0.033	0.102	0.029	0.07	-0.118	0.083	0.079	-0.028	0.082	-0.01	0.094	0.033	0.031	-0.188	-0.009	-0.093	0.06	-0.057
25	0.021	-0.086	0.032	0.018	-0.014	-0.016	0.071	0.005	-0.032	0.011	0.017	-0.071	0.114	0.01	0.044	0.014	0.077	-0.088	0.054	0.051	-0.022	0.048	-0.011	0.033	0.03	0.019	-0.1	-0.009	-0.049	0.021	-0.03
26	0.02	-0.055	0.028	0.018	-0.016	-0.012	0.027	-0.011	-0.03	0.007	0.024	-0.058	0.07	-0.005	0.036	0.018	0.019	-0.072	0.059	0.034	-0.031	0.044	-0.069	0.031	0.019	0.044	-0.096	-0.011	-0.055	0.049	-0.011
27	-0.087	0.329	-0.125	-0.092	0.054	0.069	-0.186	0.02	0.128	-0.047	-0.107	0.299	-0.442	-0.062	-0.216	-0.069	-0.183	0.336	-0.22	-0.205	0.108	-0.205	0.081	-0.188	-0.1	-0.096	0.471	0.033	0.231	-0.147	0.129
28	-0.006	0.026	-0.011	-0.005	0.005	0.004	-0.016	0	0.016	-0.003	-0.008	0.021	-0.036	0.001	-0.01	-0.001	-0.034	0.031	-0.013	-0.017	0.003	-0.015	0.019	-0.009	-0.009	-0.011	0.033	0.006	0.015	-0.008	0.008
29	-0.053	0.149	-0.065	-0.046	0.031	0.036	-0.106	0.005	0.065	-0.023	-0.056	0.149	-0.22	-0.028	-0.12	-0.035	-0.072	0.16	-0.124	-0.1	0.06	-0.103	0.058	-0.093	-0.049	-0.055	0.231	0.015	0.132	-0.073	0.065
30	0.007	-0.1	0.022	0.021	-0.021	-0.017	0.027	-0.031	-0.019	0.013	0.025	-0.092	0.08	0.018	0.04	0.038	-0.047	-0.079	0.083	0.03	-0.063	0.065	-0.082	0.06	0.021	0.049	-0.147	-0.008	-0.073	0.121	-0.009
31	-0.038	0.092	-0.04	-0.028	0.013	0.024	-0.086	-0.002	0.045	-0.014	-0.032	0.087	-0.151	-0.026	-0.08	-0.014	-0.1	0.096	-0.06	-0.074	0.023	-0.057	-0.018	-0.057	-0.03	-0.011	0.129	0.008	0.065	-0.009	0.057
