group	sample	color
group1	t1	green
group1	t100	green
group1	t101	green
group1	t103	green
group1	t104	green
group1	t106	green
group1	t107	green
group1	t109	green
group1	t112	green
group1	t113	green
group1	t114	green
group1	t115	green
group1	t118	green
group1	t119	green
group1	t12	green
group1	t120	green
group1	t122	green
group1	t124	green
group1	t125	green
group1	t126	green
group1	t127	green
group1	t129	green
group1	t13	green
group1	t133	green
group1	t134	green
group1	t135	green
group1	t136	green
group1	t139	green
group1	t14	green
group1	t140	green
group1	t141	green
group1	t142	green
group1	t143	green
group1	t144	green
group1	t148	green
group1	t150	green
group1	t151	green
group1	t152	green
group1	t153	green
group1	t154	green
group1	t157	green
group1	t158	green
group1	t16	green
group1	t160	green
group1	t162	green
group1	t164	green
group1	t166	green
group1	t168	green
group1	t17	green
group1	t170	green
group1	t173	green
group1	t174	green
group1	t175	green
group1	t178	green
group1	t179	green
group1	t180	green
group1	t182	green
group1	t183	green
group1	t184	green
group1	t187	green
group1	t189	green
group1	t190	green
group1	t191	green
group1	t192	green
group1	t193	green
group1	t196	green
group1	t197	green
group1	t198	green
group1	t199	green
group1	t20	green
group1	t200	green
group1	t21	green
group1	t22	green
group1	t24	green
group1	t25	green
group1	t26	green
group1	t27	green
group1	t28	green
group1	t30	green
group1	t34	green
group1	t36	green
group1	t38	green
group1	t39	green
group1	t4	green
group1	t40	green
group1	t42	green
group1	t43	green
group1	t46	green
group1	t48	green
group1	t5	green
group1	t50	green
group1	t53	green
group1	t54	green
group1	t57	green
group1	t59	green
group1	t62	green
group1	t63	green
group1	t64	green
group1	t66	green
group1	t7	green
group1	t70	green
group1	t71	green
group1	t74	green
group1	t75	green
group1	t76	green
group1	t77	green
group1	t78	green
group1	t79	green
group1	t8	green
group1	t80	green
group1	t81	green
group1	t83	green
group1	t85	green
group1	t86	green
group1	t87	green
group1	t89	green
group1	t9	green
group1	t90	green
group1	t91	green
group1	t92	green
group1	t96	green
group2	t10	purple
group2	t102	purple
group2	t105	purple
group2	t108	purple
group2	t11	purple
group2	t110	purple
group2	t111	purple
group2	t116	purple
group2	t117	purple
group2	t121	purple
group2	t123	purple
group2	t128	purple
group2	t130	purple
group2	t131	purple
group2	t132	purple
group2	t137	purple
group2	t138	purple
group2	t145	purple
group2	t146	purple
group2	t147	purple
group2	t149	purple
group2	t15	purple
group2	t155	purple
group2	t156	purple
group2	t159	purple
group2	t161	purple
group2	t163	purple
group2	t165	purple
group2	t167	purple
group2	t169	purple
group2	t171	purple
group2	t172	purple
group2	t176	purple
group2	t177	purple
group2	t18	purple
group2	t181	purple
group2	t185	purple
group2	t186	purple
group2	t188	purple
group2	t19	purple
group2	t194	purple
group2	t195	purple
group2	t2	purple
group2	t23	purple
group2	t29	purple
group2	t3	purple
group2	t31	purple
group2	t32	purple
group2	t33	purple
group2	t35	purple
group2	t37	purple
group2	t41	purple
group2	t44	purple
group2	t45	purple
group2	t47	purple
group2	t49	purple
group2	t51	purple
group2	t52	purple
group2	t55	purple
group2	t56	purple
group2	t58	purple
group2	t6	purple
group2	t60	purple
group2	t61	purple
group2	t65	purple
group2	t67	purple
group2	t68	purple
group2	t69	purple
group2	t72	purple
group2	t73	purple
group2	t82	purple
group2	t84	purple
group2	t88	purple
group2	t93	purple
group2	t94	purple
group2	t95	purple
group2	t97	purple
group2	t98	purple
group2	t99	purple
