V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t129	-1.052	1.078	0.628	-1.176	-1.453	2.335	-0.576	-0.651	0.041	-1.538	-0.944	-1.335	1.754	-0.043	-0.653	0.353	-0.177	2.229	1.127	-0.102	0.999	-1.167	-0.045	-1.062	1.058	-0.368	-0.391	-0.137	0.136	1.129
t104	-1.673	-0.069	1.627	-1.464	-1.956	2.448	-0.58	0.112	0.637	-0.482	-1.065	-0.403	0.753	0.688	-0.429	-0.071	-0.058	2.522	1.472	-0.067	0.725	-1.387	-0.326	-1.044	1.252	-0.826	-0.874	-0.826	1.457	-0.095
t158	-0.508	3.492	-0.459	-0.351	-0.359	2.365	-0.658	-2.381	1.384	-4.184	-0.42	-1.991	2.563	-1.196	-0.914	1.128	-1.12	2.34	0.856	0.376	1.095	-0.332	0.227	-1.034	1.24	-0.659	-0.356	-0.199	-1.188	1.233
t70	-1.196	0.895	0.216	0.158	-1.373	2.242	-0.318	-1.196	-0.771	-0.626	-0.523	-1.371	-0.151	-0.293	-0.9	-0.55	-0.4	2.072	0.958	0.34	1.633	-1.14	0.463	-0.964	1.633	-0.488	0.013	-0.018	-0.313	1.965
t92	-0.457	2.051	-0.905	-0.324	0.533	2.469	-0.316	-1.79	1.585	-4.045	-0.158	-2.737	3.017	-1.285	-0.715	1.946	-0.811	2.372	0.852	-0.661	1.511	0.285	-0.119	-1.009	0.905	0.295	0.293	-1.745	-1.321	0.274
t79	0.539	3.661	-1.606	0.143	0.658	2.393	-0.573	-3.062	1.564	-5.42	0	-3.323	3.556	-2.113	-1.039	2.355	-1.359	2.269	0.535	-0.084	1.63	0.408	0.046	-1.048	1.149	0.136	0.542	-0.523	-2.612	1.133
t121	-1.2	2.295	0.429	-1.47	-0.904	2.47	-0.629	-1.698	2.408	-3.108	-0.788	-0.762	3.102	-0.451	-0.571	0.301	-0.308	2.609	1.066	-0.016	0.388	-0.818	-0.165	-0.977	0.45	-0.776	-0.72	-0.792	0.056	0.572
t154	-1.521	1.342	-1.124	0.235	0.177	2.234	0.256	-1.487	0.557	-2.955	-0.25	-2.095	1.887	-1.67	-0.892	3.118	-0.461	2.04	0.852	-0.383	2.014	-0.108	-0.075	-1.06	1.534	-0.012	0.352	-1.965	-1.465	0.917
t163	-3.945	0.429	4.836	-5.058	-5.278	2.528	-0.636	2.723	1.307	1.79	-2.947	3.928	0.917	2.057	0.167	-0.279	1.7	2.678	2.505	1.287	-1.2	-3.389	-1.345	-1.354	0.531	-2.408	-3.376	-2.523	5.055	-0.918
t91	-3.13	-0.767	3.077	-2.169	-4.09	2.333	-0.287	1.45	-0.376	2.401	-1.755	1.341	-0.557	1.773	-0.334	-2.552	0.778	2.359	1.891	0.767	0.043	-2.863	0.027	-1.113	0.957	-1.509	-1.567	-0.27	3.188	0.934
t164	-1.625	-0.858	1.618	-1.744	-2.777	2.378	-0.709	0.399	0.165	0.135	-1.329	-0.133	0.556	0.506	-0.442	0.481	0.17	2.407	1.534	0.216	0.572	-1.619	-0.359	-1.033	1.343	-0.653	-0.728	-0.561	1.783	0.302
t197	-1.192	0.558	0.778	-1.423	-1.947	2.368	-0.639	-0.51	0.645	-1.433	-1.113	-0.694	1.718	-0.392	-0.58	1.446	-0.135	2.349	1.321	0.147	0.736	-1.167	-0.322	-1.098	1.154	-0.509	-0.584	-0.836	0.739	0.612
t23	-0.719	1.296	0.033	-0.794	-1.055	2.354	-0.762	-1.646	0.734	-2.117	-0.689	-1.209	1.851	-0.634	-0.744	0.75	-0.321	2.337	0.934	-0.072	1.051	-0.901	0.043	-0.937	1.097	-0.309	-0.178	-0.388	-0.311	1.303
t128	0.843	1.739	-2.105	1.286	1.115	2.273	-0.969	-4.052	0.969	-4.324	0.466	-4.031	2.839	-1.287	-1.153	-0.343	-1.597	2.333	0.107	-0.98	1.726	0.204	1	-0.678	0.922	0.454	1.253	2.161	-2.77	2.575
t143	-1.317	1.424	0.477	-1.028	-1.157	2.463	-0.716	-1.024	1.528	-2.409	-0.671	-1.497	2.177	-0.054	-0.584	-0.193	-0.643	2.551	1.265	-0.097	0.542	-0.813	0.389	-0.947	0.915	-0.443	-0.564	-0.574	0.543	0.456
t106	-1.781	1.192	0.574	-0.674	-1.291	2.226	-0.276	-1.037	0.315	-1.439	-0.862	-0.785	1.28	-0.05	-0.744	0.247	-0.222	2.209	1.035	0.039	1.116	-1.312	0.058	-1.054	1.166	-0.974	-0.629	0.154	0.044	1.473
t93	-1.266	0.704	0.64	-0.86	-1.052	2.388	-0.554	-0.95	0.696	-1.679	-0.68	-1.504	1.449	0.411	-0.58	-0.878	-0.384	2.416	1.064	-0.266	0.853	-0.872	0.175	-0.892	0.815	-0.474	-0.319	0.165	0.348	1.084
t186	-2.478	1.123	2.232	-2.749	-2.917	2.466	-0.588	0.152	1.701	-0.385	-1.654	1.342	1.83	0.639	-0.29	-0.541	0.611	2.607	1.67	0.523	-0.239	-2.098	-0.441	-1.107	0.463	-1.384	-1.718	-1.343	2.27	0.296
