V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	1	0.625	-0.026	-0.704	-0.431	0.95	-0.086	-0.973	-0.809	-0.93	0.41	0.82	-0.91	-0.233	0.537	-0.954	-0.943	0.291	-0.341	0.904	0.32	-0.905	0.834	0.015	-0.121	-0.948	-0.178	0.593	-0.005	-0.277	-0.632
2	0.625	1	-0.039	-0.458	-0.225	0.71	0.096	-0.526	-0.438	-0.313	0.119	0.241	-0.315	-0.454	0.575	-0.43	-0.415	0.371	-0.359	0.606	0.084	-0.76	0.9	0.141	0.494	-0.4	-0.093	-0.08	0.25	-0.094	-0.634
3	-0.026	-0.039	1	0.724	-0.884	0.197	-0.974	-0.009	-0.544	-0.006	0.878	0.409	-0.169	0.895	0.666	-0.169	-0.215	-0.936	0.932	0.385	-0.932	0.214	-0.177	-0.988	-0.643	0.197	0.945	0.527	-0.923	-0.929	0.714
4	-0.704	-0.458	0.724	1	-0.333	-0.511	-0.628	0.669	0.166	0.635	0.344	-0.272	0.502	0.797	0.089	0.534	0.496	-0.864	0.894	-0.347	-0.879	0.77	-0.703	-0.707	-0.377	0.79	0.782	-0.031	-0.649	-0.473	0.94
5	-0.431	-0.225	-0.884	-0.333	1	-0.617	0.909	0.437	0.87	0.432	-0.989	-0.755	0.582	-0.709	-0.807	0.595	0.625	0.715	-0.684	-0.763	0.692	0.235	-0.206	0.88	0.654	0.26	-0.745	-0.753	0.833	0.978	-0.352
6	0.95	0.71	0.197	-0.511	-0.617	1	-0.259	-0.892	-0.902	-0.824	0.58	0.832	-0.868	-0.085	0.677	-0.923	-0.911	0.106	-0.15	0.976	0.057	-0.899	0.845	-0.181	-0.142	-0.82	0.016	0.581	-0.15	-0.485	-0.514
7	-0.086	0.096	-0.974	-0.628	0.909	-0.259	1	0.152	0.621	0.174	-0.921	-0.541	0.317	-0.913	-0.681	0.303	0.356	0.92	-0.904	-0.457	0.839	-0.176	0.168	0.989	0.764	-0.041	-0.918	-0.682	0.969	0.935	-0.691
8	-0.973	-0.526	-0.009	0.669	0.437	-0.892	0.152	1	0.789	0.956	-0.424	-0.833	0.91	0.158	-0.577	0.949	0.956	-0.228	0.277	-0.871	-0.313	0.801	-0.748	0.037	0.211	0.949	0.094	-0.658	0.096	0.272	0.536
9	-0.809	-0.438	-0.544	0.166	0.87	-0.902	0.621	0.789	1	0.787	-0.862	-0.947	0.883	-0.345	-0.748	0.905	0.912	0.306	-0.254	-0.971	0.262	0.644	-0.557	0.553	0.523	0.688	-0.347	-0.824	0.532	0.787	0.115
10	-0.93	-0.313	-0.006	0.635	0.432	-0.824	0.174	0.956	0.787	1	-0.454	-0.899	0.965	0.051	-0.413	0.968	0.968	-0.164	0.228	-0.822	-0.341	0.728	-0.588	0.064	0.399	0.972	0.144	-0.779	0.145	0.302	0.452
11	0.41	0.119	0.878	0.344	-0.989	0.58	-0.921	-0.424	-0.862	-0.454	1	0.783	-0.612	0.756	0.734	-0.603	-0.632	-0.742	0.705	0.736	-0.673	-0.194	0.128	-0.894	-0.743	-0.275	0.726	0.809	-0.865	-0.982	0.392
12	0.82	0.241	0.409	-0.272	-0.755	0.832	-0.541	-0.833	-0.947	-0.899	0.783	1	-0.956	0.331	0.573	-0.949	-0.956	-0.238	0.172	0.902	-0.08	-0.598	0.447	-0.459	-0.65	-0.797	0.21	0.923	-0.49	-0.678	-0.129
