V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t5	-3.177	-2.59	-4.473	-5.001	-3.233	-4.703	-4.144	-5.119	-3.319	-3.939	-5.223	-3.917	-4.548	-3.278	-5.429	-3.5	-3.771	-3.444	-3.271	-5.201	-3.322	-1.274	-3.128	-4.249	-5.261	-4.024	-3.391	-2.925	-4.01	-3.503
t158	-4.624	-2.272	-5.799	-4.863	-3.267	-3.956	-2.212	-5.2	-3.699	-3.438	-5.045	-5.935	-5.609	-3.874	-7.186	-4.558	-5.689	-4.282	-2.971	-2.655	-2.769	-1.645	-3.386	-4.612	-4.052	-4.607	-4.697	-2.515	-4.109	-3.493
t132	-3.598	-2.355	-5.872	-5.224	-3.516	-4.414	-3.165	-5.302	-3.948	-3.608	-4.937	-5.307	-5.536	-3.722	-6.893	-3.997	-4.937	-3.794	-2.476	-3.921	-3.04	-1.283	-3.32	-4.528	-3.819	-4.433	-4.377	-2.405	-4.003	-4.26
t32	-3.57	-3.344	-3.226	-4.815	-3.826	-3.882	-4.52	-4.624	-2.635	-4.347	-6.01	-2.857	-3.458	-3.547	-3.381	-5.481	-2.67	-2.371	-4.642	-6.342	-5.041	-2.336	-3.118	-4.063	-7.282	-3.939	-3.881	-4.245	-3.619	-1.82
t2	-3.134	-2.63	-6.319	-5.875	-4.458	-3.603	-2.876	-4.703	-5.013	-2.993	-4.999	-4.84	-5.397	-4.282	-5.957	-5.964	-4.15	-1.951	-2.988	-4.226	-4.528	-1.588	-3.187	-4.27	-3.53	-4.325	-5.165	-2.695	-3.026	-3.772
t123	-3.772	-2.863	-5.331	-5.121	-4.644	-2.58	-2.621	-4.344	-4.149	-3.406	-5.348	-4.518	-4.672	-4.239	-4.929	-7.14	-3.637	-1.808	-2.728	-4.458	-5.296	-2.249	-3.125	-4.121	-5.194	-4.327	-6.115	-3.37	-2.88	-2.383
t169	-3.334	-2.679	-4.837	-5.479	-3.004	-5.542	-4.323	-5.478	-3.322	-3.863	-5.342	-4.265	-4.951	-3.571	-5.957	-2.982	-4.477	-3.844	-4.552	-4.902	-2.941	-1.259	-3.309	-4.509	-4.504	-4.158	-2.286	-2.898	-4.332	-4.105
t28	-2.612	-3.481	-3.882	-5.185	-4.476	-4.035	-5.289	-4.889	-2.263	-4.747	-5.836	-2.907	-3.762	-3.788	-3.536	-5.468	-2.356	-1.9	-3.442	-7.549	-5.627	-2.244	-3.141	-4.139	-6.088	-4.001	-3.821	-4.057	-3.416	-3.215
t25	-3.777	-2.788	-3.532	-4.614	-3.045	-4.219	-3.866	-4.759	-2.63	-3.928	-5.581	-3.479	-3.858	-3.239	-4.433	-4.26	-3.549	-3.208	-4.51	-4.976	-3.63	-1.787	-3.039	-4.085	-6.293	-3.895	-3.264	-3.512	-3.892	-2.158
t44	-3.277	-2.465	-6.504	-5.695	-4.119	-3.96	-2.877	-5.038	-4.425	-3.206	-4.867	-5.361	-5.692	-4.159	-6.694	-5.137	-4.781	-2.741	-2.644	-3.894	-3.796	-1.448	-3.263	-4.437	-2.91	-4.433	-4.764	-2.399	-3.406	-4.39
t90	-3.079	-2.821	-6.677	-6.433	-3.567	-6.661	-4.962	-6.435	-4.293	-4.244	-5.272	-5.539	-6.394	-4.073	-7.931	-2.372	-5.593	-4.676	-3.711	-5.267	-2.691	-1.082	-3.874	-5.2	-2.915	-4.785	-2.627	-2.465	-4.955	-6.503
