group	sample	color
group1	t100	green
group1	t101	green
group1	t104	green
group1	t106	green
group1	t112	green
group1	t113	green
group1	t115	green
group1	t116	green
group1	t119	green
group1	t122	green
group1	t127	green
group1	t128	green
group1	t13	green
group1	t132	green
group1	t135	green
group1	t136	green
group1	t137	green
group1	t138	green
group1	t144	green
group1	t148	green
group1	t149	green
group1	t15	green
group1	t150	green
group1	t151	green
group1	t154	green
group1	t162	green
group1	t164	green
group1	t166	green
group1	t181	green
group1	t185	green
group1	t187	green
group1	t189	green
group1	t193	green
group1	t194	green
group1	t196	green
group1	t23	green
group1	t24	green
group1	t25	green
group1	t26	green
group1	t30	green
group1	t32	green
group1	t34	green
group1	t36	green
group1	t39	green
group1	t4	green
group1	t40	green
group1	t42	green
group1	t45	green
group1	t50	green
group1	t51	green
group1	t52	green
group1	t54	green
group1	t55	green
group1	t57	green
group1	t58	green
group1	t59	green
group1	t63	green
group1	t64	green
group1	t67	green
group1	t76	green
group1	t77	green
group1	t81	green
group1	t87	green
group1	t90	green
group1	t94	green
group1	t95	green
group1	t99	green
group2	t1	purple
group2	t10	purple
group2	t102	purple
group2	t103	purple
group2	t105	purple
group2	t107	purple
group2	t108	purple
group2	t109	purple
group2	t11	purple
group2	t110	purple
group2	t111	purple
group2	t114	purple
group2	t117	purple
group2	t118	purple
group2	t12	purple
group2	t120	purple
group2	t121	purple
group2	t123	purple
group2	t124	purple
group2	t125	purple
group2	t126	purple
group2	t129	purple
group2	t130	purple
group2	t131	purple
group2	t133	purple
group2	t134	purple
group2	t139	purple
group2	t14	purple
group2	t140	purple
group2	t141	purple
group2	t142	purple
group2	t143	purple
group2	t145	purple
group2	t146	purple
group2	t147	purple
group2	t152	purple
group2	t153	purple
group2	t155	purple
group2	t156	purple
group2	t157	purple
group2	t158	purple
group2	t159	purple
group2	t16	purple
group2	t160	purple
group2	t161	purple
group2	t163	purple
group2	t165	purple
group2	t167	purple
group2	t168	purple
group2	t169	purple
group2	t17	purple
group2	t170	purple
group2	t171	purple
group2	t172	purple
group2	t173	purple
group2	t174	purple
group2	t175	purple
group2	t176	purple
group2	t177	purple
group2	t178	purple
group2	t179	purple
group2	t18	purple
group2	t180	purple
group2	t182	purple
group2	t183	purple
group2	t184	purple
group2	t186	purple
group2	t188	purple
group2	t19	purple
group2	t190	purple
group2	t191	purple
group2	t192	purple
group2	t195	purple
group2	t197	purple
group2	t198	purple
group2	t199	purple
group2	t2	purple
group2	t20	purple
group2	t200	purple
group2	t21	purple
group2	t22	purple
group2	t27	purple
group2	t28	purple
group2	t29	purple
group2	t3	purple
group2	t31	purple
group2	t33	purple
group2	t35	purple
group2	t37	purple
group2	t38	purple
group2	t41	purple
group2	t43	purple
group2	t44	purple
group2	t46	purple
group2	t47	purple
group2	t48	purple
group2	t49	purple
group2	t5	purple
group2	t53	purple
group2	t56	purple
group2	t6	purple
group2	t60	purple
group2	t61	purple
group2	t62	purple
group2	t65	purple
group2	t66	purple
group2	t68	purple
group2	t69	purple
group2	t7	purple
group2	t70	purple
group2	t71	purple
group2	t72	purple
group2	t73	purple
group2	t74	purple
group2	t75	purple
group2	t78	purple
group2	t79	purple
group2	t8	purple
group2	t80	purple
group2	t82	purple
group2	t83	purple
group2	t84	purple
group2	t85	purple
group2	t86	purple
group2	t88	purple
group2	t89	purple
group2	t9	purple
group2	t91	purple
group2	t92	purple
group2	t93	purple
group2	t96	purple
group2	t97	purple
group2	t98	purple
