feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t56	1.111	-0.761	-0.948	0.183	0.851	0.222	0.437	-0.985	-0.423	-0.075	0.125	1.351	0.54	1.261	-0.411	-0.299	-1.623	-0.505	-1.929	1.058	-0.364	0.025	0.07	0.535	-0.261	0.664	0.317	0.185	-0.131	-0.224
t143	1.369	-0.652	-0.87	-0.351	1.089	0.219	0.659	-0.825	-0.44	-0.247	-0.084	1.086	0.32	1.545	-0.172	-0.476	-1.41	-0.773	-1.683	0.841	-0.257	0.19	0.204	0.314	-0.577	0.671	0.212	-0.245	0.113	0.228
t90	1.085	-0.768	-0.963	0.232	0.828	0.222	0.415	-1	-0.422	-0.061	0.145	1.381	0.559	1.236	-0.458	-0.233	-1.647	-0.481	-1.961	1.073	-0.378	0.008	0.056	0.558	-0.223	0.66	0.328	0.21	-0.154	-0.252
t68	1.202	-0.715	-0.932	-0.014	0.936	0.22	0.517	-0.926	-0.431	-0.141	0.049	1.263	0.455	1.37	-0.363	-0.285	-1.551	-0.605	-1.853	0.969	-0.331	0.082	0.117	0.458	-0.363	0.661	0.28	0.002	-0.042	-0.034
t60	0.766	-0.902	-1.062	0.891	0.533	0.226	0.141	-1.198	-0.402	0.152	0.404	1.711	0.83	0.886	-0.761	0	-1.912	-0.15	-2.267	1.339	-0.512	-0.197	-0.109	0.831	0.17	0.651	0.459	0.735	-0.456	-0.804
t172	1.111	-0.755	-0.957	0.176	0.852	0.221	0.438	-0.983	-0.424	-0.079	0.123	1.355	0.535	1.267	-0.439	-0.241	-1.625	-0.51	-1.937	1.049	-0.368	0.025	0.07	0.535	-0.254	0.66	0.317	0.161	-0.128	-0.2
t117	0.892	-0.85	-1.02	0.633	0.649	0.224	0.249	-1.12	-0.41	0.07	0.303	1.58	0.724	1.023	-0.633	-0.11	-1.807	-0.279	-2.144	1.237	-0.458	-0.116	-0.044	0.723	0.013	0.656	0.407	0.535	-0.338	-0.592
t8	1	-0.806	-0.984	0.41	0.749	0.223	0.342	-1.053	-0.416	-0.002	0.215	1.466	0.633	1.14	-0.522	-0.207	-1.716	-0.391	-2.037	1.149	-0.411	-0.046	0.013	0.63	-0.123	0.66	0.363	0.362	-0.236	-0.41
t122	1.007	-0.807	-0.978	0.4	0.755	0.223	0.347	-1.05	-0.416	-0.004	0.21	1.457	0.63	1.144	-0.502	-0.241	-1.709	-0.396	-2.026	1.148	-0.406	-0.041	0.017	0.624	-0.135	0.663	0.36	0.363	-0.231	-0.41
t104	0.9	-0.844	-1.021	0.613	0.657	0.224	0.256	-1.114	-0.411	0.062	0.295	1.573	0.715	1.035	-0.637	-0.091	-1.801	-0.29	-2.139	1.226	-0.456	-0.111	-0.039	0.716	0.006	0.654	0.404	0.511	-0.329	-0.568
t120	1.355	-0.667	-0.861	-0.313	1.076	0.22	0.646	-0.836	-0.437	-0.231	-0.071	1.093	0.339	1.521	-0.139	-0.563	-1.417	-0.753	-1.683	0.867	-0.255	0.183	0.198	0.325	-0.572	0.678	0.216	-0.186	0.096	0.17
t187	0.753	-0.911	-1.061	0.922	0.521	0.226	0.129	-1.207	-0.4	0.164	0.416	1.722	0.844	0.868	-0.756	-0.028	-1.922	-0.134	-2.274	1.356	-0.515	-0.205	-0.116	0.842	0.182	0.653	0.464	0.771	-0.47	-0.84
t165	0.548	-0.991	-1.132	1.34	0.332	0.228	-0.046	-1.332	-0.388	0.296	0.581	1.937	1.013	0.649	-0.978	0.179	-2.095	0.075	-2.479	1.518	-0.604	-0.337	-0.222	1.018	0.442	0.643	0.548	1.087	-0.662	-1.173
t52	1.223	-0.716	-0.91	-0.046	0.954	0.221	0.533	-0.917	-0.43	-0.147	0.035	1.234	0.447	1.381	-0.293	-0.408	-1.53	-0.619	-1.818	0.969	-0.315	0.097	0.129	0.439	-0.402	0.669	0.271	0.008	-0.027	-0.037
t2	0.885	-0.86	-1.013	0.655	0.642	0.225	0.242	-1.127	-0.408	0.079	0.31	1.582	0.736	1.008	-0.607	-0.174	-1.81	-0.268	-2.14	1.254	-0.456	-0.119	-0.047	0.728	0.013	0.661	0.409	0.572	-0.347	-0.63
t109	1.064	-0.778	-0.968	0.277	0.808	0.222	0.397	-1.013	-0.421	-0.045	0.163	1.402	0.577	1.213	-0.471	-0.233	-1.664	-0.458	-1.978	1.092	-0.386	-0.005	0.046	0.575	-0.199	0.66	0.337	0.249	-0.175	-0.291
