V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t75	0	0.076	0.024	0.001	0.013	0.004	0.14	0.08	0	0.019	0.041	0.005	0.012	0	0.003	0	0.05	0.068	0.004	0.032	0.244	0	0.024	0.001	0	0.008	0.09	0.057	0	0.001
t92	0.002	0.041	0.017	0.006	0.012	0.023	0.065	0.111	0.005	0.016	0.045	0.029	0.014	0.002	0.009	0.002	0.092	0.081	0.026	0.04	0.05	0.002	0.025	0.001	0.001	0.006	0.231	0.039	0.003	0.005
t168	0.045	0.007	0.005	0.021	0.007	0.173	0.014	0.042	0.126	0.003	0.016	0.08	0.008	0.018	0.013	0.013	0.085	0.028	0.103	0.023	0.003	0.01	0.007	0.005	0.008	0.001	0.079	0.011	0.017	0.03
t173	0.024	0.013	0.008	0.018	0.009	0.12	0.025	0.07	0.063	0.006	0.025	0.068	0.012	0.012	0.015	0.01	0.105	0.047	0.094	0.032	0.007	0.007	0.012	0.004	0.006	0.002	0.133	0.018	0.012	0.022
t62	0.001	0.05	0.022	0.005	0.014	0.025	0.093	0.119	0.005	0.014	0.042	0.017	0.016	0.002	0.009	0.003	0.097	0.085	0.032	0.047	0.059	0.001	0.025	0.002	0.003	0.006	0.15	0.047	0.003	0.005
t183	0.078	0.002	0.002	0.016	0.004	0.226	0.005	0.011	0.292	0.001	0.006	0.088	0.004	0.021	0.009	0.013	0.046	0.008	0.054	0.01	0.001	0.01	0.002	0.006	0.005	0	0.016	0.004	0.019	0.041
t157	0.1	0.001	0.001	0.014	0.003	0.218	0.003	0.006	0.355	0	0.004	0.085	0.002	0.02	0.006	0.011	0.031	0.005	0.04	0.006	0	0.01	0.001	0.005	0.003	0	0.009	0.002	0.018	0.039
t13	0.069	0.003	0.003	0.019	0.006	0.207	0.009	0.019	0.214	0.002	0.011	0.111	0.006	0.019	0.011	0.011	0.066	0.015	0.058	0.015	0.002	0.011	0.004	0.007	0.004	0.001	0.033	0.007	0.018	0.039
t108	0.009	0.028	0.015	0.012	0.019	0.077	0.064	0.07	0.032	0.012	0.045	0.073	0.018	0.005	0.014	0.006	0.127	0.059	0.034	0.044	0.036	0.005	0.019	0.005	0.002	0.004	0.105	0.038	0.008	0.017
t7	0.026	0.009	0.007	0.018	0.007	0.15	0.019	0.063	0.086	0.004	0.016	0.047	0.009	0.016	0.014	0.014	0.091	0.038	0.146	0.027	0.003	0.007	0.009	0.004	0.017	0.002	0.098	0.014	0.015	0.025
t162	0.028	0.01	0.007	0.019	0.007	0.143	0.019	0.064	0.082	0.004	0.018	0.054	0.01	0.015	0.014	0.013	0.094	0.04	0.133	0.028	0.004	0.008	0.009	0.004	0.012	0.002	0.108	0.014	0.015	0.024
t56	0.013	0.021	0.013	0.013	0.016	0.112	0.051	0.069	0.053	0.008	0.034	0.064	0.016	0.008	0.016	0.009	0.125	0.053	0.059	0.042	0.019	0.006	0.015	0.006	0.005	0.003	0.086	0.029	0.011	0.023
t150	0.01	0.017	0.012	0.012	0.01	0.125	0.04	0.083	0.056	0.005	0.021	0.029	0.013	0.011	0.015	0.015	0.106	0.051	0.136	0.039	0.008	0.004	0.012	0.004	0.03	0.002	0.076	0.022	0.013	0.022
t31	0.047	0.004	0.003	0.017	0.005	0.208	0.009	0.03	0.181	0.002	0.009	0.054	0.006	0.022	0.012	0.018	0.065	0.019	0.136	0.017	0.001	0.009	0.004	0.005	0.018	0.001	0.04	0.006	0.02	0.034
t23	0.039	0.008	0.006	0.017	0.011	0.179	0.022	0.032	0.143	0.004	0.021	0.116	0.01	0.014	0.014	0.011	0.097	0.026	0.052	0.026	0.006	0.01	0.008	0.008	0.004	0.002	0.047	0.014	0.016	0.036
t195	0	0.051	0.025	0.003	0.008	0.017	0.083	0.179	0.003	0.009	0.025	0.004	0.013	0.001	0.007	0.004	0.073	0.097	0.07	0.044	0.031	0.001	0.021	0.001	0.019	0.005	0.162	0.04	0.002	0.003
t102	0	0.101	0.032	0	0.007	0.002	0.165	0.129	0	0.013	0.024	0.001	0.009	0	0.002	0	0.034	0.083	0.007	0.031	0.187	0	0.023	0	0.002	0.008	0.085	0.054	0	0
t155	0.147	0.001	0.001	0.017	0.002	0.189	0.002	0.007	0.308	0.001	0.004	0.12	0.002	0.02	0.006	0.008	0.031	0.005	0.04	0.005	0	0.012	0.001	0.004	0.002	0	0.016	0.002	0.015	0.033
t147	0.057	0.003	0.003	0.019	0.004	0.192	0.007	0.033	0.164	0.002	0.008	0.054	0.005	0.023	0.011	0.016	0.061	0.019	0.159	0.015	0.001	0.009	0.004	0.004	0.017	0.001	0.056	0.006	0.019	0.029
