V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.078	-0.064	0.165	-0.021	-0.035	0.054	-0.124	-0.129	-0.102	0.102	0.14	-0.114	-0.032	-0.098	0.039	0.073	0.08	0.084	-0.106	-0.022	-0.086	-0.029	-0.008	0.081	-0.082	0.059	0.103	0.052	-0.127	-0.023	-0.043
2	-0.064	0.061	-0.157	0.042	0.021	-0.052	0.099	0.107	0.084	-0.092	-0.108	0.088	0.027	0.084	-0.038	-0.068	-0.086	-0.094	0.078	0.018	0.072	-0.008	0.007	-0.06	0.082	-0.047	-0.097	-0.036	0.103	0.04	0.029
3	0.165	-0.157	0.403	-0.105	-0.055	0.133	-0.258	-0.276	-0.217	0.237	0.28	-0.229	-0.069	-0.217	0.097	0.175	0.219	0.24	-0.203	-0.046	-0.187	0.015	-0.018	0.156	-0.21	0.122	0.249	0.094	-0.268	-0.101	-0.075
4	-0.021	0.042	-0.105	0.075	-0.012	-0.035	0.027	0.037	0.027	-0.051	-0.02	0.017	0.009	0.037	-0.026	-0.043	-0.08	-0.094	0.004	0.005	0.03	-0.082	0.003	-0.003	0.064	-0.012	-0.065	0.006	0.032	0.067	-0.007
5	-0.035	0.021	-0.055	-0.012	0.023	-0.018	0.058	0.057	0.046	-0.038	-0.068	0.055	0.014	0.041	-0.013	-0.025	-0.017	-0.015	0.055	0.01	0.036	0.042	0.003	-0.042	0.023	-0.027	-0.034	-0.03	0.058	-0.009	0.025
6	0.054	-0.052	0.133	-0.035	-0.018	0.044	-0.085	-0.091	-0.071	0.078	0.092	-0.075	-0.023	-0.072	0.032	0.058	0.073	0.08	-0.066	-0.015	-0.062	0.006	-0.006	0.051	-0.07	0.04	0.082	0.03	-0.088	-0.034	-0.024
7	-0.124	0.099	-0.258	0.027	0.058	-0.085	0.198	0.206	0.163	-0.161	-0.224	0.183	0.052	0.156	-0.061	-0.114	-0.121	-0.127	0.171	0.035	0.136	0.055	0.013	-0.131	0.127	-0.094	-0.16	-0.085	0.203	0.031	0.07
8	-0.129	0.107	-0.276	0.037	0.057	-0.091	0.206	0.215	0.17	-0.17	-0.231	0.188	0.054	0.164	-0.066	-0.122	-0.134	-0.141	0.175	0.037	0.142	0.046	0.013	-0.135	0.137	-0.097	-0.171	-0.086	0.211	0.04	0.071
9	-0.102	0.084	-0.217	0.027	0.046	-0.071	0.163	0.17	0.134	-0.134	-0.184	0.15	0.043	0.129	-0.052	-0.096	-0.104	-0.109	0.139	0.029	0.112	0.039	0.011	-0.107	0.107	-0.077	-0.134	-0.069	0.167	0.03	0.057
10	0.102	-0.092	0.237	-0.051	-0.038	0.078	-0.161	-0.17	-0.134	0.142	0.177	-0.145	-0.043	-0.132	0.057	0.104	0.124	0.134	-0.13	-0.029	-0.115	-0.008	-0.011	0.1	-0.122	0.076	0.147	0.062	-0.166	-0.051	-0.05
11	0.14	-0.108	0.28	-0.02	-0.068	0.092	-0.224	-0.231	-0.184	0.177	0.255	-0.208	-0.058	-0.174	0.067	0.125	0.127	0.131	-0.196	-0.04	-0.152	-0.077	-0.014	0.151	-0.136	0.106	0.174	0.099	-0.229	-0.025	-0.082
12	-0.114	0.088	-0.229	0.017	0.055	-0.075	0.183	0.188	0.15	-0.145	-0.208	0.169	0.047	0.142	-0.055	-0.102	-0.104	-0.108	0.16	0.033	0.124	0.061	0.012	-0.123	0.111	-0.087	-0.142	-0.08	0.186	0.021	0.067
13	-0.032	0.027	-0.069	0.009	0.014	-0.023	0.052	0.054	0.043	-0.043	-0.058	0.047	0.013	0.041	-0.017	-0.031	-0.034	-0.036	0.044	0.009	0.036	0.011	0.003	-0.034	0.034	-0.024	-0.043	-0.022	0.053	0.01	0.018
14	-0.098	0.084	-0.217	0.037	0.041	-0.072	0.156	0.164	0.129	-0.132	-0.174	0.142	0.041	0.126	-0.052	-0.096	-0.109	-0.116	0.13	0.028	0.109	0.024	0.01	-0.1	0.109	-0.074	-0.135	-0.063	0.16	0.038	0.052
15	0.039	-0.038	0.097	-0.026	-0.013	0.032	-0.061	-0.066	-0.052	0.057	0.067	-0.055	-0.017	-0.052	0.023	0.042	0.053	0.058	-0.048	-0.011	-0.045	0.005	-0.004	0.037	-0.051	0.029	0.06	0.022	-0.064	-0.025	-0.018
16	0.073	-0.068	0.175	-0.043	-0.025	0.058	-0.114	-0.122	-0.096	0.104	0.125	-0.102	-0.031	-0.096	0.042	0.076	0.094	0.102	-0.091	-0.02	-0.083	0.002	-0.008	0.07	-0.091	0.054	0.108	0.042	-0.118	-0.042	-0.034
17	0.08	-0.086	0.219	-0.08	-0.017	0.073	-0.121	-0.134	-0.104	0.124	0.127	-0.104	-0.034	-0.109	0.053	0.094	0.13	0.146	-0.087	-0.022	-0.093	0.046	-0.009	0.067	-0.119	0.057	0.136	0.037	-0.128	-0.074	-0.028
18	0.084	-0.094	0.24	-0.094	-0.015	0.08	-0.127	-0.141	-0.109	0.134	0.131	-0.108	-0.036	-0.116	0.058	0.102	0.146	0.165	-0.088	-0.023	-0.099	0.062	-0.01	0.068	-0.132	0.059	0.148	0.036	-0.134	-0.087	-0.027
19	-0.106	0.078	-0.203	0.004	0.055	-0.066	0.171	0.175	0.139	-0.13	-0.196	0.16	0.044	0.13	-0.048	-0.091	-0.087	-0.088	0.153	0.03	0.114	0.073	0.011	-0.118	0.096	-0.081	-0.126	-0.078	0.174	0.009	0.065
20	-0.022	0.018	-0.046	0.005	0.01	-0.015	0.035	0.037	0.029	-0.029	-0.04	0.033	0.009	0.028	-0.011	-0.02	-0.022	-0.023	0.03	0.006	0.024	0.01	0.002	-0.023	0.023	-0.017	-0.029	-0.015	0.036	0.006	0.013
21	-0.086	0.072	-0.187	0.03	0.036	-0.062	0.136	0.142	0.112	-0.115	-0.152	0.124	0.036	0.109	-0.045	-0.083	-0.093	-0.099	0.114	0.024	0.095	0.024	0.009	-0.088	0.094	-0.064	-0.116	-0.055	0.14	0.031	0.046
22	-0.029	-0.008	0.015	-0.082	0.042	0.006	0.055	0.046	0.039	-0.008	-0.077	0.061	0.011	0.024	0.005	0.002	0.046	0.062	0.073	0.01	0.024	0.127	0.002	-0.056	-0.024	-0.027	0.009	-0.045	0.051	-0.069	0.041
23	-0.008	0.007	-0.018	0.003	0.003	-0.006	0.013	0.013	0.011	-0.011	-0.014	0.012	0.003	0.01	-0.004	-0.008	-0.009	-0.01	0.011	0.002	0.009	0.002	0.001	-0.008	0.009	-0.006	-0.011	-0.005	0.013	0.003	0.004
24	0.081	-0.06	0.156	-0.003	-0.042	0.051	-0.131	-0.135	-0.107	0.1	0.151	-0.123	-0.034	-0.1	0.037	0.07	0.067	0.068	-0.118	-0.023	-0.088	-0.056	-0.008	0.09	-0.074	0.062	0.097	0.06	-0.134	-0.007	-0.05
25	-0.082	0.082	-0.21	0.064	0.023	-0.07	0.127	0.137	0.107	-0.122	-0.136	0.111	0.034	0.109	-0.051	-0.091	-0.119	-0.132	0.096	0.023	0.094	-0.024	0.009	-0.074	0.112	-0.06	-0.13	-0.043	0.132	0.061	0.034
26	0.059	-0.047	0.122	-0.012	-0.027	0.04	-0.094	-0.097	-0.077	0.076	0.106	-0.087	-0.024	-0.074	0.029	0.054	0.057	0.059	-0.081	-0.017	-0.064	-0.027	-0.006	0.062	-0.06	0.045	0.075	0.04	-0.096	-0.014	-0.034
27	0.103	-0.097	0.249	-0.065	-0.034	0.082	-0.16	-0.171	-0.134	0.147	0.174	-0.142	-0.043	-0.135	0.06	0.108	0.136	0.148	-0.126	-0.029	-0.116	0.009	-0.011	0.097	-0.13	0.075	0.155	0.058	-0.166	-0.062	-0.047
28	0.052	-0.036	0.094	0.006	-0.03	0.03	-0.085	-0.086	-0.069	0.062	0.099	-0.08	-0.022	-0.063	0.022	0.042	0.037	0.036	-0.078	-0.015	-0.055	-0.045	-0.005	0.06	-0.043	0.04	0.058	0.041	-0.086	0.002	-0.034
29	-0.127	0.103	-0.268	0.032	0.058	-0.088	0.203	0.211	0.167	-0.166	-0.229	0.186	0.053	0.16	-0.064	-0.118	-0.128	-0.134	0.174	0.036	0.14	0.051	0.013	-0.134	0.132	-0.096	-0.166	-0.086	0.208	0.035	0.071
30	-0.023	0.04	-0.101	0.067	-0.009	-0.034	0.031	0.04	0.03	-0.051	-0.025	0.021	0.01	0.038	-0.025	-0.042	-0.074	-0.087	0.009	0.006	0.031	-0.069	0.003	-0.007	0.061	-0.014	-0.062	0.002	0.035	0.059	-0.004
31	-0.043	0.029	-0.075	-0.007	0.025	-0.024	0.07	0.071	0.057	-0.05	-0.082	0.067	0.018	0.052	-0.018	-0.034	-0.028	-0.027	0.065	0.013	0.046	0.041	0.004	-0.05	0.034	-0.034	-0.047	-0.034	0.071	-0.004	0.029
