V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t112	1.441	-1.509	1.397	0.394	-0.929	0.736	-3.151	2.235	0.251	-1.116	-0.219	2.459	3.991	-1.7	0.141	-0.65	-2.985	-3.288	2.212	-2.273	1.099	-0.574	1.415	0.491	0.951	0.343	-1.084	-1.039	0.391	0.557
t70	2.651	-0.989	2.078	0.87	-1.875	0.41	-4.128	3.891	-0.015	-2.207	-0.732	2.977	4.897	-2.998	0.505	-0.348	-4.544	-4.69	2.758	-2.894	1.376	-1.043	2.057	0.205	1.572	1.815	-2.562	-0.09	0.519	0.439
t130	-2.637	-3.03	-0.915	-1.274	2.321	1.819	0.27	-3.437	1.143	1.728	1.508	0.618	0.956	2.511	-1.323	-2.048	2.235	1.741	0.368	-0.442	0.274	0.974	-0.721	1.478	-1.264	-3.915	4.069	-4.035	0.056	0.943
t95	0.576	-1.845	0.909	0.047	-0.237	0.972	-2.427	1.036	0.445	-0.556	0.153	2.065	3.349	-0.8	-0.147	-0.952	-1.874	-2.29	1.795	-1.879	0.915	-0.237	0.954	0.708	0.483	-0.563	0.026	-1.608	0.329	0.647
t46	1.475	-1.737	1.431	0.474	-1.034	0.734	-3.32	2.397	0.247	-0.406	-0.239	2.566	3.999	-1.621	0.393	-0.316	-3.037	-3.7	2.131	-2.058	0.994	-0.558	1.395	0.459	1.089	-0.328	-1.276	-1.053	0.314	0.568
t14	1.484	-1.569	1.425	0.432	-0.976	0.732	-3.225	2.32	0.244	-0.982	-0.234	2.496	4.02	-1.687	0.244	-0.53	-3.024	-3.533	2.23	-2.215	1.069	-0.575	1.419	0.477	1.007	0.208	-1.178	-1.027	0.373	0.561
t190	-1.286	-2.701	-0.137	-0.672	1.19	1.468	-0.962	-1.477	0.852	1.301	0.935	1.293	1.949	1.2	-0.662	-1.356	0.501	-0.209	0.903	-0.881	0.464	0.486	-0.039	1.137	-0.445	-3.007	2.262	-3.052	0.113	0.828
t66	-0.748	-2.244	0.158	-0.514	0.852	1.327	-1.256	-0.848	0.742	0.024	0.724	1.434	2.37	0.5	-0.715	-1.565	-0.183	-0.554	1.178	-1.381	0.69	0.263	0.281	1.048	-0.285	-1.666	1.79	-2.468	0.267	0.777
t59	-2.201	-2.816	-0.668	-1.104	1.996	1.708	-0.059	-2.853	1.053	1.175	1.332	0.789	1.288	2.029	-1.209	-2	1.676	1.23	0.544	-0.698	0.384	0.811	-0.489	1.389	-1.057	-3.276	3.582	-3.604	0.126	0.909
t196	2.293	-1.205	1.877	0.743	-1.611	0.509	-3.872	3.422	0.061	-1.68	-0.582	2.844	4.625	-2.563	0.46	-0.333	-4.073	-4.384	2.614	-2.642	1.266	-0.898	1.854	0.28	1.419	1.212	-2.177	-0.441	0.453	0.474
t11	-1.389	-2.541	-0.206	-0.765	1.345	1.496	-0.753	-1.717	0.878	0.687	0.99	1.165	1.889	1.21	-0.888	-1.68	0.644	0.158	0.912	-1.029	0.534	0.509	-0.067	1.191	-0.603	-2.505	2.541	-3.028	0.184	0.835
t42	-1.685	-2.685	-0.376	-0.879	1.558	1.567	-0.532	-2.103	0.937	1.067	1.107	1.049	1.666	1.524	-0.969	-1.729	1.007	0.56	0.761	-0.87	0.462	0.616	-0.226	1.251	-0.743	-2.941	2.875	-3.273	0.139	0.857
t193	0.418	-2.101	0.829	0.034	-0.177	1.016	-2.412	0.908	0.479	0.198	0.212	2.07	3.217	-0.533	-0.009	-0.723	-1.677	-2.377	1.671	-1.614	0.792	-0.157	0.842	0.721	0.497	-1.314	0.085	-1.808	0.241	0.669
t162	0.535	-1.637	0.876	-0.027	-0.121	0.984	-2.256	0.869	0.457	-1.289	0.183	1.956	3.337	-0.863	-0.373	-1.28	-1.803	-1.977	1.855	-2.074	1.008	-0.239	0.964	0.749	0.346	0.075	0.239	-1.553	0.412	0.646
t168	1.267	-1.408	1.294	0.284	-0.728	0.786	-2.9	1.914	0.296	-1.629	-0.131	2.31	3.876	-1.615	-0.076	-0.981	-2.756	-2.882	2.141	-2.368	1.138	-0.517	1.345	0.565	0.767	0.686	-0.714	-1.006	0.455	0.577
t145	-1.509	-2.692	-0.27	-0.787	1.398	1.525	-0.721	-1.828	0.901	1.133	1.033	1.151	1.792	1.384	-0.828	-1.572	0.788	0.207	0.821	-0.879	0.461	0.561	-0.147	1.203	-0.614	-2.953	2.612	-3.154	0.132	0.847
t2	0.533	-1.747	0.877	-0.003	-0.171	0.977	-2.328	0.927	0.451	-0.83	0.171	2.008	3.324	-0.816	-0.281	-1.114	-1.82	-2.023	1.819	-1.969	0.962	-0.238	0.952	0.726	0.406	-0.299	0.142	-1.64	0.358	0.641
t74	0.557	-1.86	0.9	0.042	-0.226	0.977	-2.417	1.016	0.45	-0.505	0.161	2.063	3.333	-0.783	-0.148	-0.95	-1.853	-2.266	1.774	-1.863	0.908	-0.229	0.945	0.711	0.478	-0.622	0.046	-1.619	0.324	0.65
t191	1.732	-1.487	1.571	0.539	-1.186	0.665	-3.444	2.681	0.192	-1.111	-0.34	2.621	4.202	-1.967	0.337	-0.453	-3.358	-3.808	2.29	-2.325	1.115	-0.67	1.553	0.418	1.149	0.407	-1.487	-0.791	0.395	0.54
t32	0.335	-2.208	0.786	0.018	-0.141	1.036	-2.393	0.832	0.493	0.538	0.24	2.064	3.149	-0.41	0.032	-0.635	-1.573	-2.329	1.624	-1.503	0.741	-0.123	0.786	0.726	0.492	-1.645	0.124	-1.934	0.199	0.675
t63	0.241	-1.886	0.721	-0.108	0.06	1.063	-2.096	0.533	0.524	-0.616	0.303	1.886	3.104	-0.511	-0.348	-1.2	-1.443	-1.779	1.64	-1.81	0.884	-0.113	0.796	0.805	0.258	-0.677	0.524	-1.78	0.34	0.682
t185	0.213	-2.107	0.709	-0.07	0.002	1.065	-2.204	0.595	0.521	0.173	0.297	1.957	3.068	-0.366	-0.161	-0.885	-1.42	-1.965	1.6	-1.59	0.785	-0.092	0.75	0.773	0.354	-1.347	0.38	-1.962	0.243	0.68
t120	-2.631	-3.146	-0.907	-1.238	2.277	1.821	0.198	-3.372	1.143	2.063	1.504	0.661	0.954	2.561	-1.201	-1.898	2.217	1.545	0.309	-0.338	0.219	0.987	-0.737	1.467	-1.204	-4.237	3.995	-4.013	0.021	0.951
t124	-0.927	-2.358	0.053	-0.58	0.977	1.37	-1.137	-1.077	0.773	0.366	0.791	1.372	2.234	0.73	-0.735	-1.525	0.05	-0.373	1.135	-1.246	0.634	0.329	0.178	1.076	-0.355	-2.001	1.951	-2.713	0.22	0.786
t128	1.708	-1.241	1.542	0.461	-1.08	0.667	-3.269	2.525	0.197	-1.896	-0.321	2.513	4.203	-2.065	0.075	-0.813	-3.32	-3.427	2.364	-2.559	1.231	-0.687	1.579	0.453	1.009	1.139	-1.286	-0.736	0.484	0.531
t81	0.102	-2.011	0.642	-0.148	0.145	1.098	-2.024	0.373	0.55	-0.241	0.355	1.853	2.995	-0.32	-0.329	-1.125	-1.266	-1.698	1.583	-1.671	0.825	-0.057	0.711	0.824	0.223	-1.045	0.631	-1.963	0.293	0.692
t151	0.533	-1.907	0.89	0.042	-0.215	0.985	-2.418	0.996	0.456	-0.361	0.171	2.068	3.312	-0.731	-0.117	-0.89	-1.814	-2.326	1.775	-1.805	0.884	-0.214	0.929	0.712	0.485	-0.76	0.044	-1.687	0.306	0.653
t4	-0.805	-2.466	0.131	-0.489	0.822	1.337	-1.334	-0.828	0.746	0.804	0.732	1.491	2.311	0.668	-0.546	-1.273	-0.121	-0.699	1.123	-1.156	0.59	0.296	0.221	1.026	-0.21	-2.353	1.691	-2.665	0.173	0.78
t152	-1.734	-2.861	-0.394	-0.856	1.549	1.586	-0.581	-2.1	0.951	1.586	1.125	1.087	1.617	1.656	-0.829	-1.527	1.068	0.355	0.686	-0.692	0.378	0.656	-0.274	1.247	-0.691	-3.454	2.837	-3.35	0.082	0.871
t84	-0.477	-2.293	0.319	-0.368	0.584	1.253	-1.58	-0.401	0.677	0.37	0.597	1.616	2.56	0.312	-0.47	-1.229	-0.524	-1.069	1.307	-1.346	0.675	0.169	0.397	0.956	-0.059	-1.846	1.315	-2.419	0.22	0.75
