feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t6	-0.744	2.125	-0.648	-0.582	-1.206	0.803	0.001	-1.235	-0.578	2.175	2.114	-0.838	0.951	0.585	0.441	-0.51	-0.346	-0.597	0.014	-1.805	0.43	1.061	-0.056	1.218	-0.293	-1.072	-2.067	1.802	-0.97	-0.193
t117	-0.4	1.225	-0.621	-0.242	-1.006	0.525	-0.218	-0.724	-0.042	0.778	1.315	-0.572	1.013	0.688	-0.449	0.411	-0.34	-0.517	0.691	-1.1	0.615	0.876	-0.25	0.528	-0.645	-0.557	-1.427	1.269	-0.89	0.058
t63	-0.233	1.282	-0.638	0.027	-0.698	0.377	0.069	-0.618	0.153	0.903	1.227	-0.777	0.985	0.694	-0.544	0.372	-1.04	-0.461	0.512	-1.748	0.951	1.084	-0.273	0.87	-0.659	-0.857	-1.082	1.278	-1.163	-0.003
t62	-0.654	0.823	-0.602	0.595	-0.349	0.504	0.175	-0.533	0.702	0.087	0.744	-0.913	1.14	0.813	-1.082	0.284	-1.361	-0.303	0.904	-1.52	1.327	1.028	-0.46	0.758	-0.95	-0.612	-0.466	0.985	-1.335	0.261
t43	-0.642	1.611	-0.641	-0.19	-0.951	0.882	-0.074	-1.044	-0.032	1.239	1.589	-0.853	1.058	0.656	-0.173	-0.217	-0.6	-0.489	0.49	-1.393	0.668	0.928	-0.242	0.926	-0.613	-0.816	-1.516	1.446	-1.059	0.042
t123	-1.178	0.755	-0.562	1.041	0.024	0.367	0.568	-0.425	0.896	0.048	0.558	-1.121	1.183	0.901	-1.217	0.061	-1.938	-0.184	0.772	-2.134	1.773	1.249	-0.495	1.086	-0.97	-0.727	-0.029	0.981	-1.594	0.294
t153	-1.299	1.002	-0.59	0.691	-0.248	0.942	0.233	-0.693	0.79	0.182	0.817	-1.079	1.231	0.824	-0.986	-0.038	-1.547	-0.232	0.875	-1.616	1.4	0.991	-0.497	0.977	-1.018	-0.676	-0.46	1.055	-1.397	0.353
t48	0.578	1.578	-0.674	-1.15	-1.661	0.093	-0.571	-0.737	-0.842	1.603	1.874	-0.153	0.76	0.525	0.138	0.866	0.55	-0.798	0.364	-0.921	-0.079	0.852	0.001	0.281	-0.255	-0.653	-2.34	1.536	-0.473	-0.303
t165	-0.811	1.59	-0.612	0.181	-0.529	0.321	0.453	-0.717	0.014	1.477	1.428	-0.992	0.977	0.722	-0.255	-0.115	-1.402	-0.416	0.116	-2.503	1.184	1.336	-0.2	1.37	-0.498	-1.132	-1.059	1.505	-1.348	-0.1
t81	-0.256	0.924	-0.618	-0.022	-0.789	0.266	-0.143	-0.452	0.195	0.415	1.011	-0.532	0.997	0.726	-0.791	0.806	-0.652	-0.473	0.811	-1.216	0.837	0.938	-0.317	0.441	-0.749	-0.534	-1.057	1.093	-0.955	0.086
t137	-0.845	1.258	-0.608	0.206	-0.607	0.618	0.133	-0.725	0.264	0.785	1.185	-0.874	1.08	0.745	-0.573	0.083	-1.058	-0.389	0.59	-1.677	1.05	1.048	-0.322	0.93	-0.732	-0.765	-0.99	1.265	-1.198	0.116
t190	-0.391	1.441	-0.64	-0.187	-0.958	0.662	-0.104	-0.913	-0.015	1.062	1.471	-0.754	1.026	0.666	-0.306	0.029	-0.543	-0.507	0.564	-1.314	0.671	0.934	-0.245	0.772	-0.619	-0.739	-1.443	1.363	-1.024	0.029
t112	-0.827	1.899	-0.636	-0.366	-1.057	0.874	0	-1.147	-0.317	1.739	1.86	-0.867	1.015	0.629	0.161	-0.413	-0.508	-0.53	0.222	-1.667	0.574	1.009	-0.143	1.121	-0.444	-0.953	-1.788	1.647	-1.028	-0.07
t29	0.586	1.972	-0.686	-1.114	-1.468	-0.158	-0.176	-0.696	-1.016	2.363	2.106	-0.345	0.654	0.494	0.44	0.699	-0.082	-0.801	-0.172	-1.983	0.156	1.19	0.109	0.86	-0.046	-1.15	-2.315	1.787	-0.703	-0.531
t95	0.696	1.167	-0.668	-0.517	-1.063	-0.131	-0.261	-0.323	-0.226	0.951	1.279	-0.334	0.797	0.611	-0.499	1.244	-0.486	-0.637	0.507	-1.456	0.546	1.025	-0.158	0.426	-0.507	-0.764	-1.459	1.255	-0.828	-0.196
