V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31
1	0.065	-0.038	-0.014	-0.067	-0.051	0.11	-0.068	-0.031	0.076	0.022	-0.035	-0.076	0.071	0.037	0.013	-0.018	0.041	-0.048	0.062	0.036	0.07	-0.035	-0.012	-0.004	-0.005	-0.032	-0.028	0.038	-0.037	0.05	0.03
2	-0.038	0.14	0.016	0.095	0.066	-0.199	0.096	0.009	-0.089	-0.081	0.049	0.069	-0.103	-0.031	-0.033	0.026	-0.042	0.087	-0.073	-0.041	-0.074	0.115	0.008	0.012	-0.027	0.064	0.03	-0.019	0.049	-0.082	-0.027
3	-0.014	0.016	0.01	0.028	0.021	-0.045	0.036	0.01	-0.03	-0.023	0.013	0.033	-0.034	-0.027	-0.009	0.011	-0.021	0.028	-0.029	-0.014	-0.02	0.028	0.005	-0.004	-0.003	0.022	0.015	-0.01	0.023	-0.028	-0.007
4	-0.067	0.095	0.028	0.112	0.081	-0.198	0.128	0.035	-0.116	-0.078	0.054	0.112	-0.122	-0.072	-0.033	0.036	-0.07	0.101	-0.103	-0.055	-0.087	0.101	0.018	-0.002	-0.015	0.072	0.049	-0.042	0.073	-0.099	-0.035
5	-0.051	0.066	0.021	0.081	0.062	-0.137	0.089	0.023	-0.085	-0.053	0.042	0.088	-0.1	-0.057	-0.027	0.026	-0.05	0.069	-0.076	-0.04	-0.078	0.082	0.012	-0.001	-0.002	0.058	0.035	-0.026	0.053	-0.076	-0.024
6	0.11	-0.199	-0.045	-0.198	-0.137	0.373	-0.222	-0.057	0.199	0.145	-0.094	-0.174	0.195	0.103	0.053	-0.06	0.115	-0.182	0.171	0.094	0.135	-0.171	-0.03	-0.004	0.044	-0.115	-0.081	0.075	-0.122	0.164	0.064
7	-0.068	0.096	0.036	0.128	0.089	-0.222	0.159	0.046	-0.131	-0.099	0.057	0.126	-0.127	-0.094	-0.034	0.044	-0.088	0.125	-0.12	-0.063	-0.074	0.104	0.024	-0.011	-0.027	0.079	0.062	-0.053	0.093	-0.112	-0.037
8	-0.031	0.009	0.01	0.035	0.023	-0.057	0.046	0.024	-0.04	-0.016	0.013	0.036	-0.022	-0.024	-0.002	0.011	-0.028	0.033	-0.035	-0.019	-0.014	0.002	0.01	-0.004	-0.007	0.01	0.019	-0.028	0.025	-0.023	-0.016
9	0.076	-0.089	-0.03	-0.116	-0.085	0.199	-0.131	-0.04	0.123	0.073	-0.057	-0.121	0.128	0.077	0.032	-0.037	0.074	-0.101	0.108	0.058	0.096	-0.097	-0.019	0.002	0.01	-0.072	-0.052	0.047	-0.075	0.101	0.038
10	0.022	-0.081	-0.023	-0.078	-0.053	0.145	-0.099	-0.016	0.073	0.078	-0.034	-0.068	0.081	0.056	0.027	-0.028	0.051	-0.083	0.07	0.035	0.036	-0.087	-0.012	0.007	0.026	-0.057	-0.036	0.019	-0.059	0.074	0.016
11	-0.035	0.049	0.013	0.054	0.042	-0.094	0.057	0.013	-0.057	-0.034	0.029	0.058	-0.069	-0.035	-0.019	0.017	-0.031	0.045	-0.049	-0.026	-0.056	0.058	0.007	0.002	-0.001	0.039	0.022	-0.016	0.033	-0.051	-0.017
12	-0.076	0.069	0.033	0.112	0.088	-0.174	0.126	0.036	-0.121	-0.068	0.058	0.135	-0.146	-0.093	-0.038	0.039	-0.075	0.094	-0.111	-0.057	-0.113	0.112	0.018	-0.006	0.005	0.084	0.053	-0.038	0.078	-0.109	-0.033
13	0.071	-0.103	-0.034	-0.122	-0.1	0.195	-0.127	-0.022	0.128	0.081	-0.069	-0.146	0.182	0.097	0.052	-0.041	0.073	-0.098	0.116	0.059	0.145	-0.161	-0.013	0.001	-0.011	-0.108	-0.051	0.021	-0.079	0.129	0.03
