group	sample	color
group1	t1	green
group1	t10	green
group1	t100	green
group1	t102	green
group1	t104	green
group1	t105	green
group1	t106	green
group1	t108	green
group1	t109	green
group1	t11	green
group1	t113	green
group1	t115	green
group1	t117	green
group1	t121	green
group1	t124	green
group1	t125	green
group1	t126	green
group1	t13	green
group1	t131	green
group1	t134	green
group1	t135	green
group1	t136	green
group1	t143	green
group1	t144	green
group1	t151	green
group1	t154	green
group1	t158	green
group1	t16	green
group1	t162	green
group1	t169	green
group1	t17	green
group1	t172	green
group1	t173	green
group1	t176	green
group1	t177	green
group1	t179	green
group1	t182	green
group1	t186	green
group1	t187	green
group1	t189	green
group1	t190	green
group1	t191	green
group1	t192	green
group1	t193	green
group1	t20	green
group1	t200	green
group1	t24	green
group1	t25	green
group1	t26	green
group1	t28	green
group1	t29	green
group1	t3	green
group1	t33	green
group1	t35	green
group1	t36	green
group1	t38	green
group1	t39	green
group1	t4	green
group1	t40	green
group1	t41	green
group1	t43	green
group1	t45	green
group1	t51	green
group1	t56	green
group1	t57	green
group1	t60	green
group1	t62	green
group1	t63	green
group1	t64	green
group1	t67	green
group1	t69	green
group1	t7	green
group1	t75	green
group1	t76	green
group1	t78	green
group1	t80	green
group1	t82	green
group1	t85	green
group1	t87	green
group1	t90	green
group1	t93	green
group1	t95	green
group1	t96	green
group2	t101	purple
group2	t103	purple
group2	t107	purple
group2	t110	purple
group2	t111	purple
group2	t112	purple
group2	t114	purple
group2	t116	purple
group2	t118	purple
group2	t119	purple
group2	t12	purple
group2	t120	purple
group2	t122	purple
group2	t123	purple
group2	t127	purple
group2	t128	purple
group2	t129	purple
group2	t130	purple
group2	t132	purple
group2	t133	purple
group2	t137	purple
group2	t138	purple
group2	t139	purple
group2	t14	purple
group2	t140	purple
group2	t141	purple
group2	t142	purple
group2	t145	purple
group2	t146	purple
group2	t147	purple
group2	t148	purple
group2	t149	purple
group2	t15	purple
group2	t150	purple
group2	t152	purple
group2	t153	purple
group2	t155	purple
group2	t156	purple
group2	t157	purple
group2	t159	purple
group2	t160	purple
group2	t161	purple
group2	t163	purple
group2	t164	purple
group2	t165	purple
group2	t166	purple
group2	t167	purple
group2	t168	purple
group2	t170	purple
group2	t171	purple
group2	t174	purple
group2	t175	purple
group2	t178	purple
group2	t18	purple
group2	t180	purple
group2	t181	purple
group2	t183	purple
group2	t184	purple
group2	t185	purple
group2	t188	purple
group2	t19	purple
group2	t194	purple
group2	t195	purple
group2	t196	purple
group2	t197	purple
group2	t198	purple
group2	t199	purple
group2	t2	purple
group2	t21	purple
group2	t22	purple
group2	t23	purple
group2	t27	purple
group2	t30	purple
group2	t31	purple
group2	t32	purple
group2	t34	purple
group2	t37	purple
group2	t42	purple
group2	t44	purple
group2	t46	purple
group2	t47	purple
group2	t48	purple
group2	t49	purple
group2	t5	purple
group2	t50	purple
group2	t52	purple
group2	t53	purple
group2	t54	purple
group2	t55	purple
group2	t58	purple
group2	t59	purple
group2	t6	purple
group2	t61	purple
group2	t65	purple
group2	t66	purple
group2	t68	purple
group2	t70	purple
group2	t71	purple
group2	t72	purple
group2	t73	purple
group2	t74	purple
group2	t77	purple
group2	t79	purple
group2	t8	purple
group2	t81	purple
group2	t83	purple
group2	t84	purple
group2	t86	purple
group2	t88	purple
group2	t89	purple
group2	t9	purple
group2	t91	purple
group2	t92	purple
group2	t94	purple
group2	t97	purple
group2	t98	purple
group2	t99	purple
