V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t123	-7.376	-4.542	-4.019	-2.125	-1.834	-8.596	-2.014	-4.294	-9.661	-9.305	-2.067	-2.546	-8.748	-9.721	-5.402	-5.291	-8.315	-3.626	-6.74	-6.519	-5.327	-2.369	-3.78	-7.144	-5.887	-2.3	-3.822	-6.445	-2.976	-8.409
t34	-4.558	-6.137	-3.849	-4.402	-3.096	-1.431	-5.181	-4.145	-4.932	-5.13	-2.434	-4.888	-3.668	-5.755	-3.042	-5.348	-4.675	-5.949	-2.183	-3.623	-1.955	-4.746	-3.155	-5.56	-3.949	-3.59	-4.336	-4.085	-4.354	-3.869
t132	-5.5	-4.716	-3.589	-3.223	-2.162	-3.101	-4.326	-3.512	-5.742	-4.822	-1.622	-3.887	-4.083	-5.173	-2.814	-4.989	-4.665	-5.263	-2.519	-3.827	-2.821	-4.202	-2.773	-4.875	-3.666	-3.208	-3.916	-4.469	-3.914	-3.962
t66	-5.946	-6.193	-3.392	-3.143	-1.961	-2.649	-3.866	-3.329	-6.335	-5.052	-1.676	-2.916	-5.138	-6.74	-3.188	-4.869	-5.458	-5.214	-3.368	-4.222	-3.504	-4.11	-2.786	-5.512	-3.31	-2.784	-3.634	-4.718	-3.443	-4.777
t162	-5.133	-3.54	-3.759	-2.955	-2.041	-5.149	-3.736	-4.685	-6.802	-7.373	-1.751	-3.681	-6.687	-7.006	-4.364	-5.069	-5.763	-4.598	-3.911	-4.615	-4.022	-1.62	-3.435	-5.727	-4.579	-2.03	-4.087	-4.089	-3.586	-6.199
t96	-5.568	-4.652	-3.552	-3.114	-2.014	-3.175	-4.22	-3.566	-5.921	-5.059	-1.549	-3.611	-4.687	-5.518	-3.07	-4.94	-4.822	-5.146	-2.767	-3.917	-3.293	-3.634	-2.838	-4.961	-3.557	-2.858	-3.861	-4.329	-3.858	-4.338
t43	-6.225	-3.038	-3.962	-2.605	-1.803	-6.229	-3.747	-4.437	-7.489	-7.048	-1.526	-3.45	-6.929	-6.525	-4.32	-5.202	-5.841	-4.624	-4.207	-4.93	-4.883	-1.926	-3.461	-5.411	-4.536	-2.302	-4.172	-4.705	-3.823	-6.189
t182	-5.493	-5.568	-3.305	-2.813	-1.941	-4.012	-2.942	-3.604	-6.855	-6.648	-1.796	-2.871	-5.783	-7.735	-3.727	-4.736	-6.199	-4.347	-4.112	-4.611	-3.073	-3.18	-2.895	-6.071	-4.245	-2.362	-3.447	-4.818	-2.92	-5.752
t3	-3.941	-5.033	-3.799	-4.294	-2.838	-1.642	-5.339	-4.846	-4.814	-5.66	-2.165	-4.697	-4.801	-5.896	-3.564	-5.252	-4.452	-5.903	-2.152	-3.512	-2.789	-2.769	-3.362	-5.422	-3.757	-2.684	-4.447	-3.173	-4.332	-4.494
t37	-4.157	-4.711	-3.782	-4.072	-2.847	-2.139	-5.036	-4.412	-4.851	-5.468	-2.142	-4.955	-3.879	-5.242	-3.122	-5.208	-4.376	-5.612	-1.991	-3.485	-1.984	-3.614	-3.132	-5.2	-4.085	-3.163	-4.327	-3.629	-4.24	-3.97
