V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t123	-2.004	0.831	1.354	3.248	3.54	-3.228	3.36	1.079	-4.304	-3.943	3.306	2.827	-3.381	-4.364	-0.029	0.083	-2.946	1.747	-1.367	-1.146	0.046	3.004	1.594	-1.772	-0.515	3.074	1.552	-1.073	2.397	-3.04
t34	-0.424	-2.003	0.285	-0.268	1.038	2.703	-1.047	-0.011	-0.798	-0.996	1.7	-0.754	0.466	-1.621	1.093	-1.214	-0.541	-1.815	1.951	0.512	2.179	-0.612	0.979	-1.426	0.185	0.544	-0.202	0.049	-0.22	0.265
t132	-1.589	-0.804	0.322	0.688	1.749	0.811	-0.414	0.399	-1.831	-0.911	2.289	0.025	-0.172	-1.262	1.098	-1.078	-0.754	-1.352	1.392	0.085	1.09	-0.291	1.138	-0.964	0.246	0.704	-0.005	-0.558	-0.003	-0.051
t66	-1.838	-2.085	0.716	0.965	2.146	1.458	0.242	0.779	-2.228	-0.944	2.431	1.192	-1.03	-2.633	0.92	-0.761	-1.35	-1.106	0.74	-0.114	0.603	-0.002	1.322	-1.405	0.797	1.324	0.473	-0.61	0.665	-0.669
t162	-0.733	0.859	0.641	1.444	2.359	-0.75	0.663	-0.286	-2.403	-2.975	2.649	0.719	-2.288	-2.608	0.036	-0.669	-1.363	-0.198	0.488	-0.215	0.378	2.779	0.965	-1.327	-0.179	2.37	0.312	0.311	0.814	-1.8
t96	-1.622	-0.705	0.394	0.833	1.933	0.772	-0.274	0.381	-1.975	-1.113	2.397	0.335	-0.74	-1.572	0.877	-0.994	-0.875	-1.2	1.18	0.03	0.653	0.313	1.109	-1.015	0.389	1.088	0.086	-0.382	0.088	-0.392
t43	-1.707	1.48	0.556	1.913	2.715	-1.711	0.772	0.081	-2.973	-2.531	2.992	1.068	-2.412	-2.007	0.198	-0.684	-1.323	-0.106	0.311	-0.412	-0.365	2.592	1.058	-0.893	-0.018	2.217	0.346	-0.187	0.696	-1.671
t182	-1.231	-1.306	0.957	1.449	2.321	0.25	1.32	0.658	-2.594	-2.387	2.466	1.391	-1.521	-3.475	0.535	-0.474	-1.938	-0.085	0.15	-0.349	1.189	1.082	1.367	-1.81	0.017	1.9	0.815	-0.556	1.342	-1.491
t3	0.12	-0.972	0.262	-0.233	1.223	2.419	-1.278	-0.785	-0.753	-1.6	1.896	-0.636	-0.741	-1.835	0.497	-1.192	-0.391	-1.842	1.909	0.549	1.272	1.292	0.699	-1.361	0.304	1.377	-0.386	0.888	-0.271	-0.433
t37	-0.196	-0.75	0.179	-0.111	1.114	1.822	-1.075	-0.452	-0.89	-1.508	1.819	-0.994	0.082	-1.281	0.839	-1.247	-0.415	-1.652	1.97	0.476	1.977	0.347	0.829	-1.239	-0.124	0.798	-0.366	0.332	-0.279	-0.009
t28	-0.123	-0.205	0.438	0.477	1.601	0.933	-0.256	-0.487	-1.437	-2.401	2.101	-0.256	-1.046	-2.163	0.366	-0.953	-0.903	-0.976	1.293	0.211	1.452	1.625	0.864	-1.446	-0.199	1.651	-0.036	0.513	0.305	-0.945
t109	-1.468	0.241	0.656	1.553	2.51	-0.575	0.603	0.166	-2.614	-2.139	2.773	1.064	-2.039	-2.423	0.362	-0.688	-1.342	-0.478	0.472	-0.291	0.023	1.845	1.127	-1.151	0.241	2.031	0.382	-0.157	0.768	-1.456
t92	0.163	-2.166	0.349	-0.453	0.833	2.943	-0.928	-0.242	-0.575	-1.401	1.511	-0.952	0.59	-1.968	1.014	-1.178	-0.649	-1.712	1.987	0.564	2.798	-0.384	0.948	-1.7	-0.119	0.603	-0.182	0.213	-0.056	0.147
t125	-0.232	-1.681	0.523	0.264	1.12	1.422	0.225	0.375	-1.262	-2.067	1.634	-0.681	0.812	-2.189	1.112	-0.949	-1.218	-0.748	1.386	0.218	3.385	-0.791	1.218	-1.81	-0.756	0.529	0.245	-0.505	0.504	-0.087
t156	-1.219	-1.221	0.717	1.064	2.062	0.725	0.574	0.492	-2.185	-1.928	2.348	0.802	-1.137	-2.749	0.668	-0.706	-1.468	-0.562	0.641	-0.123	1.141	0.698	1.232	-1.553	0.166	1.578	0.496	-0.368	0.812	-1.001
t69	0.083	-0.178	0.219	0.052	1.257	1.351	-0.894	-0.641	-0.965	-2.1	1.899	-0.967	-0.39	-1.503	0.524	-1.172	-0.479	-1.413	1.803	0.449	1.782	1.031	0.764	-1.278	-0.234	1.236	-0.335	0.663	-0.143	-0.421
t145	-1.649	1.076	0.349	1.46	2.218	-1.293	0.268	0.232	-2.47	-1.888	2.668	0.187	-0.966	-1.175	0.733	-0.932	-0.954	-0.569	0.925	-0.208	0.612	0.948	1.11	-0.752	-0.261	1.23	0.102	-0.54	0.268	-0.731
t172	-0.927	-1.023	0.464	0.59	1.635	1.07	-0.097	0.207	-1.684	-1.624	2.119	0.004	-0.389	-1.965	0.856	-0.956	-1.017	-1.017	1.229	0.11	1.607	0.284	1.102	-1.37	-0.025	1.061	0.136	-0.264	0.311	-0.432
t180	-0.589	-0.93	0.825	1.131	1.936	0.242	1.103	0.327	-2.174	-2.762	2.201	0.608	-0.99	-3.155	0.546	-0.594	-1.753	-0.073	0.485	-0.185	2.008	1.058	1.253	-1.865	-0.49	1.676	0.625	-0.357	1.167	-1.282
t30	-2.246	-0.204	1.022	2.451	2.907	-1.877	2.255	1.387	-3.535	-2.596	2.894	1.816	-1.634	-3.16	0.664	-0.312	-2.281	0.746	-0.447	-0.763	0.789	0.7	1.62	-1.485	-0.288	1.833	1.154	-1.369	1.597	-1.651
t19	-0.36	-3.119	0.227	-0.799	0.623	3.892	-1.419	0.175	-0.367	-0.47	1.344	-1.147	1.407	-1.453	1.407	-1.338	-0.419	-2.273	2.317	0.702	2.993	-1.77	1.037	-1.563	0.242	-0.009	-0.285	-0.089	-0.361	0.866
t98	-1.009	-0.624	0.658	1.188	1.865	-0.239	0.955	0.654	-2.187	-2.387	2.191	0.18	-0.249	-2.355	0.867	-0.729	-1.537	-0.144	0.699	-0.168	2.215	0.014	1.327	-1.557	-0.632	1.103	0.528	-0.753	0.863	-0.741
t41	-0.721	0.466	0.488	1.03	2.069	-0.065	0.082	-0.357	-2.038	-2.423	2.484	0.321	-1.724	-2.138	0.259	-0.848	-1.035	-0.709	0.914	-0.029	0.588	2.157	0.917	-1.213	-0.038	1.958	0.088	0.323	0.475	-1.286
t32	-0.301	-0.37	0.184	0.034	1.356	1.666	-1.159	-0.606	-1.032	-1.57	2.021	-0.689	-0.632	-1.368	0.578	-1.215	-0.367	-1.687	1.847	0.445	1.167	1.111	0.743	-1.123	0.164	1.227	-0.392	0.623	-0.322	-0.338
t93	-0.811	0.142	0.237	0.496	1.78	0.943	-0.878	-0.442	-1.52	-1.651	2.334	-0.185	-1.29	-1.414	0.415	-1.113	-0.493	-1.454	1.495	0.262	0.364	1.572	0.782	-0.948	0.369	1.584	-0.267	0.561	-0.19	-0.682
t18	-0.047	-2.863	0.316	-0.744	0.8	3.981	-1.405	-0.299	-0.437	-0.846	1.497	-0.729	0.369	-1.995	1.02	-1.242	-0.497	-2.19	2.122	0.672	2.339	-0.338	0.886	-1.674	0.445	0.672	-0.282	0.401	-0.197	0.26
t159	-0.309	-1.919	0.438	-0.097	1.295	2.725	-0.783	-0.269	-1.054	-1.439	1.848	-0.184	-0.512	-2.276	0.711	-1.053	-0.79	-1.624	1.592	0.4	1.685	0.614	0.919	-1.6	0.36	1.239	-0.078	0.391	0.161	-0.393
t190	-0.878	-1.464	0.569	0.583	1.672	1.377	0.042	0.244	-1.714	-1.663	2.101	0.239	-0.536	-2.362	0.824	-0.88	-1.166	-0.989	1.101	0.085	1.648	0.313	1.143	-1.535	0.089	1.2	0.242	-0.24	0.524	-0.571
t147	-0.466	-1.417	0.583	0.422	1.676	1.775	-0.173	-0.097	-1.508	-1.952	2.082	0.239	-1.059	-2.657	0.5	-0.869	-1.089	-1.113	1.129	0.193	1.336	1.042	1.002	-1.628	0.272	1.656	0.166	0.327	0.507	-0.883
t9	0.257	-1.922	0.19	-0.749	0.813	3.545	-1.708	-0.7	-0.273	-1.048	1.576	-1.055	0.075	-1.646	0.805	-1.332	-0.221	-2.284	2.315	0.746	1.934	0.321	0.715	-1.462	0.357	0.839	-0.505	0.794	-0.52	0.14
t161	-0.985	-1.135	0.193	0.05	1.459	2.092	-1.306	-0.165	-1.155	-0.711	2.102	-0.368	-0.374	-1.219	0.889	-1.246	-0.32	-2.027	1.872	0.416	0.823	0.16	0.885	-0.98	0.643	0.9	-0.341	0.23	-0.414	0.028
t89	-0.403	-0.104	0.517	0.798	1.754	0.321	0.204	-0.192	-1.765	-2.502	2.194	-0.047	-0.984	-2.252	0.466	-0.859	-1.134	-0.615	1.035	0.048	1.563	1.408	0.995	-1.46	-0.375	1.583	0.156	0.128	0.519	-1
t166	0.386	-1.624	0.369	-0.42	1.151	3.146	-1.289	-0.877	-0.586	-1.579	1.792	-0.482	-0.903	-2.331	0.432	-1.141	-0.499	-1.947	1.891	0.594	1.368	1.452	0.691	-1.606	0.449	1.532	-0.325	1.059	-0.146	-0.561
t155	-0.952	-0.067	0.796	1.505	2.431	-0.424	0.913	0.112	-2.49	-2.652	2.646	1.075	-2.096	-3.045	0.232	-0.576	-1.565	-0.203	0.328	-0.272	0.466	2.019	1.144	-1.488	0.045	2.252	0.538	-0.007	1.036	-1.709
t11	-1.352	-1.058	0.728	1.192	2.231	0.48	0.515	0.425	-2.294	-1.729	2.511	1.002	-1.387	-2.723	0.647	-0.702	-1.396	-0.712	0.621	-0.172	0.651	0.826	1.236	-1.415	0.369	1.663	0.465	-0.35	0.802	-1.077
t168	-0.636	-0.881	0.351	0.297	1.534	1.556	-0.719	-0.201	-1.3	-1.334	2.116	-0.223	-0.62	-1.754	0.747	-1.09	-0.656	-1.489	1.577	0.285	1.11	0.688	0.924	-1.228	0.241	1.136	-0.13	0.182	-0.113	-0.372
t26	-0.366	0.578	0.145	0.275	1.754	1.156	-1.415	-1.041	-1.223	-1.7	2.382	-0.359	-1.759	-1.317	0.15	-1.206	-0.159	-1.862	1.753	0.409	-0.167	2.36	0.572	-0.826	0.59	1.898	-0.548	1.19	-0.413	-0.856
t170	0.058	-0.651	0.448	0.299	1.329	1.2	-0.153	-0.351	-1.26	-2.387	1.884	-0.513	-0.424	-2.196	0.594	-0.971	-0.986	-0.868	1.392	0.256	2.235	1.062	0.927	-1.625	-0.498	1.279	0.02	0.247	0.315	-0.663
t194	-0.312	-0.199	0.354	0.414	1.585	1.032	-0.546	-0.472	-1.364	-1.966	2.148	-0.32	-0.975	-1.851	0.484	-1.042	-0.714	-1.199	1.46	0.255	1.143	1.457	0.839	-1.269	-0.03	1.475	-0.136	0.446	0.019	-0.718
t131	0.728	-1.226	-0.129	-1.194	0.309	3.433	-2.316	-1.036	0.268	-1.123	1.283	-2.234	1.04	-0.629	0.959	-1.609	0.271	-2.547	2.946	1.001	2.77	-0.147	0.56	-1.247	-0.163	0.277	-0.908	0.945	-1.026	0.736
t137	-0.249	0.106	0.405	0.61	1.622	0.464	-0.169	-0.405	-1.526	-2.32	2.157	-0.329	-0.858	-1.924	0.485	-0.973	-0.885	-0.883	1.309	0.155	1.483	1.451	0.9	-1.333	-0.367	1.449	-0.037	0.276	0.213	-0.829
t8	-0.412	-0.193	0.844	1.387	2.017	-0.632	1.482	0.251	-2.36	-3.402	2.241	0.478	-1.067	-3.161	0.409	-0.526	-1.886	0.343	0.31	-0.282	2.28	1.386	1.258	-1.883	-0.91	1.83	0.684	-0.345	1.388	-1.535
t196	-1.148	-0.365	1.037	1.896	2.618	-0.83	1.82	0.505	-2.98	-3.135	2.669	1.594	-2.175	-3.706	0.233	-0.334	-2.157	0.443	-0.222	-0.531	0.961	2.008	1.348	-1.811	-0.253	2.391	0.936	-0.436	1.673	-2.058
t80	-0.046	-0.637	0.528	0.418	1.652	1.362	-0.278	-0.578	-1.416	-2.287	2.13	0.052	-1.358	-2.555	0.304	-0.902	-0.967	-1.099	1.229	0.21	1.21	1.888	0.859	-1.564	0.051	1.841	0.009	0.628	0.416	-1.103
t130	-0.378	-0.521	0.754	0.965	2.108	0.73	0.438	-0.355	-2.014	-2.687	2.402	0.844	-2.157	-3.218	0.089	-0.655	-1.418	-0.575	0.615	-0.061	0.721	2.514	0.972	-1.688	0.139	2.375	0.346	0.497	0.931	-1.716
t134	-0.131	-1.732	0.596	0.12	1.612	2.655	-0.558	-0.47	-1.225	-1.862	2.045	0.373	-1.57	-2.963	0.268	-0.892	-0.978	-1.453	1.254	0.322	0.91	1.79	0.849	-1.732	0.612	1.99	0.05	0.827	0.373	-1.083
